Source,Length,stNum,sqNum,goID,heartbeat,dif_stNum,dif_sqNum,Circuit breaker Open/Close Status,I-high VT,I-high VT- Tran,I-low VT- Tran,I-amongst-feeders,Label
ipcas_21:73:31,146,1,2,LIED12PROT/LLN0$Alarm,1.0462535160000002,0.0,1.0,1,308.0,257.8888888888889,926.0,307.6666666666667,Normal
ipcas_21:73:20,147,1,214,LIED33PROT/LLN0$Alarm,1.044517911000014,0.0,1.0,1,309.5,256.77777777777777,924.6666666666666,306.1666666666667,Normal
ipcas_21:73:24,150,1,512,LIED30CTRL/LLN0$Status,1.0604853579999372,0.0,1.0,1,308.6666666666667,259.5555555555556,924.3333333333334,306.0,Normal
ipcas_21:73:31,149,1,70,LIED12CTRL/LLN0$Status,1.0810323210000092,0.0,1.0,1,309.5,257.6111111111111,922.0,310.1666666666667,Normal
ipcas_21:73:33,147,1,560,LIED10PROT/LLN0$Alarm,1.0227028909999945,0.0,1.0,1,311.5,257.7222222222222,924.3333333333334,307.1666666666667,Normal
ipcas_21:73:17,198,1,98,LIED43MEAS/LLN0$Measurement,1.0468526679999997,0.0,1.0,1,309.6666666666667,257.8333333333333,930.3333333333334,308.1666666666667,Normal
ipcas_21:73:20,149,1,66,LIED33CTRL/LLN0$Status,1.0508214070000008,0.0,1.0,1,310.3333333333333,258.38888888888886,918.6666666666666,309.5,Normal
ipcas_21:73:30,147,1,509,LIED20PROT/LLN0$Alarm,1.031747333999988,0.0,1.0,1,310.6666666666667,257.5,924.0,310.5,Normal
ipcas_21:73:21,146,1,51,LIED32PROT/LLN0$Alarm,1.0445958740000023,0.0,1.0,1,309.1666666666667,257.27777777777777,922.3333333333334,309.0,Normal
ipcas_21:73:21,199,1,268,LIED32MEAS/LLN0$Measurement,1.0422985580000272,0.0,1.0,1,311.0,257.44444444444446,929.0,307.8333333333333,Normal
ipcas_21:73:19,147,1,342,LIED41PROT/LLN0$Alarm,1.0399372900000117,0.0,1.0,1,310.1666666666667,258.8333333333333,919.3333333333334,307.8333333333333,Normal
ipcas_21:73:25,144,1,443,BIED100PROT/LLN0$Alarm,1.5256655160000037,0.0,1.0,0,309.6666666666667,258.4444444444444,925.0,307.0,Normal
ipcas_21:73:27,150,1,360,TIED13PROT/LLN0$Alarm,1.0400684179999755,0.0,1.0,1,309.8333333333333,259.3333333333333,920.6666666666666,310.6666666666667,Normal
