file,N_REAL_REF,AUROC,Binary_F1,MCC,status
Test_new data_LIST_REAL_REF.ipynb,1,0.9910714285714286,0.9629629629629629,0.9424429732158732,SUCCESS
Test_new data_LIST_REAL_REF.ipynb,2,0.9910714285714286,0.8,0.674199862463242,SUCCESS
Test_new data_LIST_REAL_REF.ipynb,5,0.9959415584415585,0.9491525423728814,0.9174106107621619,SUCCESS
Test_new data_LIST_REAL_REF.ipynb,10,0.9951298701298702,0.9180327868852459,0.8672174558335869,SUCCESS
SSRDT_VERSION 2-real_data-LIST_REAL_REF.ipynb,1,0.9748376623376624,0.6,0.5606119105813882,SUCCESS
SSRDT_VERSION 2-real_data-LIST_REAL_REF.ipynb,2,0.9748376623376624,0.8,0.674199862463242,SUCCESS
SSRDT_VERSION 2-real_data-LIST_REAL_REF.ipynb,5,0.9926948051948052,0.9310344827586207,0.8860912478088324,SUCCESS
SSRDT_VERSION 2-real_data-LIST_REAL_REF.ipynb,10,0.9918831168831168,0.9310344827586207,0.8860912478088324,SUCCESS
Deep_SAD-real_data-LIST_REAL_REF.ipynb,1,0.81575,0.0,0.0,SUCCESS
Deep_SAD-real_data-LIST_REAL_REF.ipynb,2,0.82305,0.76471,0.59884,SUCCESS
Deep_SAD-real_data-LIST_REAL_REF.ipynb,5,0.96023,0.87273,0.79446,SUCCESS
Deep_SAD-real_data-LIST_REAL_REF.ipynb,10,0.95942,0.85714,0.76623,SUCCESS
