"No.","Time","Source","Length","stNum","sqNum","goID"
"12","0.000000000","ipcas_21:73:33","203","1","0","LIED10MEAS/LLN0$Measurement"
"68","1.032296508","ipcas_21:73:33","203","1","1","LIED10MEAS/LLN0$Measurement"
"125","1.043005389","ipcas_21:73:33","203","1","2","LIED10MEAS/LLN0$Measurement"
"183","1.046475083","ipcas_21:73:33","203","1","3","LIED10MEAS/LLN0$Measurement"
"240","1.042867295","ipcas_21:73:33","203","1","4","LIED10MEAS/LLN0$Measurement"
"297","1.051355916","ipcas_21:73:33","203","1","5","LIED10MEAS/LLN0$Measurement"
"354","1.059305112","ipcas_21:73:33","203","1","6","LIED10MEAS/LLN0$Measurement"
"411","1.060795979","ipcas_21:73:33","203","1","7","LIED10MEAS/LLN0$Measurement"
"468","1.060692378","ipcas_21:73:33","203","1","8","LIED10MEAS/LLN0$Measurement"
"526","1.047861605","ipcas_21:73:33","203","1","9","LIED10MEAS/LLN0$Measurement"
"587","1.046263014","ipcas_21:73:33","203","1","10","LIED10MEAS/LLN0$Measurement"
"588","0.003048645","ipcas_21:73:33","203","1","11","LIED10MEAS/LLN0$Measurement"
"647","1.060941167","ipcas_21:73:33","203","1","11","LIED10MEAS/LLN0$Measurement"
"703","1.057542078","ipcas_21:73:33","203","1","12","LIED10MEAS/LLN0$Measurement"
"760","1.053653615","ipcas_21:73:33","203","1","13","LIED10MEAS/LLN0$Measurement"
"818","1.061907646","ipcas_21:73:33","203","1","14","LIED10MEAS/LLN0$Measurement"
"881","1.055586314","ipcas_21:73:33","203","1","15","LIED10MEAS/LLN0$Measurement"
"938","1.054310512","ipcas_21:73:33","203","1","16","LIED10MEAS/LLN0$Measurement"
"994","1.039758035","ipcas_21:73:33","203","1","17","LIED10MEAS/LLN0$Measurement"
"1051","1.058619633","ipcas_21:73:33","203","1","18","LIED10MEAS/LLN0$Measurement"
"1109","1.054681167","ipcas_21:73:33","203","1","19","LIED10MEAS/LLN0$Measurement"
"1174","1.040023264","ipcas_21:73:33","203","1","20","LIED10MEAS/LLN0$Measurement"
"1175","0.003286199","ipcas_21:73:33","203","1","21","LIED10MEAS/LLN0$Measurement"
"1232","1.058346021","ipcas_21:73:33","203","1","21","LIED10MEAS/LLN0$Measurement"
"1287","1.070991524","ipcas_21:73:33","203","1","22","LIED10MEAS/LLN0$Measurement"
"1344","1.038239388","ipcas_21:73:33","203","1","23","LIED10MEAS/LLN0$Measurement"
"1404","1.062411042","ipcas_21:73:33","203","1","24","LIED10MEAS/LLN0$Measurement"
"1465","1.073707754","ipcas_21:73:33","203","1","25","LIED10MEAS/LLN0$Measurement"
"1523","1.030067037","ipcas_21:73:33","203","1","26","LIED10MEAS/LLN0$Measurement"
"1578","1.057243585","ipcas_21:73:33","203","1","27","LIED10MEAS/LLN0$Measurement"
"1637","1.044535744","ipcas_21:73:33","203","1","28","LIED10MEAS/LLN0$Measurement"
"1697","1.053375509","ipcas_21:73:33","203","1","29","LIED10MEAS/LLN0$Measurement"
"1758","1.072526339","ipcas_21:73:33","203","1","30","LIED10MEAS/LLN0$Measurement"
"1771","0.017657480","ipcas_21:73:33","203","1","31","LIED10MEAS/LLN0$Measurement"
"1817","1.035244180","ipcas_21:73:33","203","1","31","LIED10MEAS/LLN0$Measurement"
"1872","1.060620820","ipcas_21:73:33","203","1","32","LIED10MEAS/LLN0$Measurement"
"1929","1.049866192","ipcas_21:73:33","203","1","33","LIED10MEAS/LLN0$Measurement"
"1988","1.073130821","ipcas_21:73:33","203","1","34","LIED10MEAS/LLN0$Measurement"
