"No.","Time","Source","Length","stNum","sqNum","goID","integer","integer","integer"
"16","0.015257171","ipcas_21:73:28","149","1","0","LIED22CTRL/LLN0$Status","1","1","0"
"17","0.015263399","ipcas_21:73:28","146","1","0","LIED22PROT/LLN0$Alarm","1","",""
"18","0.015634647","ipcas_21:73:28","203","1","0","LIED22MEAS/LLN0$Measurement","314","310","313"
"69","1.065919531","ipcas_21:73:28","149","1","1","LIED22CTRL/LLN0$Status","1","1","0"
"70","1.069158098","ipcas_21:73:28","146","1","1","LIED22PROT/LLN0$Alarm","1","",""
"71","1.069161687","ipcas_21:73:28","203","1","1","LIED22MEAS/LLN0$Measurement","307","309","315"
"122","2.104444913","ipcas_21:73:28","149","1","2","LIED22CTRL/LLN0$Status","1","1","0"
"123","2.104448587","ipcas_21:73:28","146","1","2","LIED22PROT/LLN0$Alarm","1","",""
"124","2.104449526","ipcas_21:73:28","203","1","2","LIED22MEAS/LLN0$Measurement","305","310","315"
"175","3.146865205","ipcas_21:73:28","149","1","3","LIED22CTRL/LLN0$Status","1","1","0"
"176","3.146866933","ipcas_21:73:28","146","1","3","LIED22PROT/LLN0$Alarm","1","",""
"177","3.146902137","ipcas_21:73:28","203","1","3","LIED22MEAS/LLN0$Measurement","308","305","311"
"228","4.185924235","ipcas_21:73:28","149","1","4","LIED22CTRL/LLN0$Status","1","1","0"
"229","4.186674045","ipcas_21:73:28","146","1","4","LIED22PROT/LLN0$Alarm","1","",""
"230","4.186730345","ipcas_21:73:28","203","1","4","LIED22MEAS/LLN0$Measurement","311","311","306"
"281","5.252738761","ipcas_21:73:28","149","1","5","LIED22CTRL/LLN0$Status","1","1","0"
"282","5.252744348","ipcas_21:73:28","146","1","5","LIED22PROT/LLN0$Alarm","1","",""
"283","5.252745517","ipcas_21:73:28","203","1","5","LIED22MEAS/LLN0$Measurement","308","308","309"
"334","6.318508377","ipcas_21:73:28","149","1","6","LIED22CTRL/LLN0$Status","1","1","0"
"335","6.318511302","ipcas_21:73:28","146","1","6","LIED22PROT/LLN0$Alarm","1","",""
"336","6.318664991","ipcas_21:73:28","203","1","6","LIED22MEAS/LLN0$Measurement","311","311","305"
"387","7.373951133","ipcas_21:73:28","149","1","7","LIED22CTRL/LLN0$Status","1","1","0"
"388","7.373952186","ipcas_21:73:28","146","1","7","LIED22PROT/LLN0$Alarm","1","",""
"389","7.373953122","ipcas_21:73:28","203","1","7","LIED22MEAS/LLN0$Measurement","306","306","310"
"440","8.423657838","ipcas_21:73:28","149","1","8","LIED22CTRL/LLN0$Status","1","1","0"
"441","8.423661436","ipcas_21:73:28","146","1","8","LIED22PROT/LLN0$Alarm","1","",""
"442","8.423681052","ipcas_21:73:28","203","1","8","LIED22MEAS/LLN0$Measurement","308","306","306"
"493","9.473713828","ipcas_21:73:28","149","1","9","LIED22CTRL/LLN0$Status","1","1","0"
"494","9.473716584","ipcas_21:73:28","146","1","9","LIED22PROT/LLN0$Alarm","1","",""
"495","9.473717135","ipcas_21:73:28","203","1","9","LIED22MEAS/LLN0$Measurement","306","310","315"
"546","10.528486854","ipcas_21:73:28","149","1","10","LIED22CTRL/LLN0$Status","1","1","0"
"547","10.528490181","ipcas_21:73:28","146","1","10","LIED22PROT/LLN0$Alarm","1","",""
"548","10.528490651","ipcas_21:73:28","203","1","10","LIED22MEAS/LLN0$Measurement","313","314","308"
"599","11.595026929","ipcas_21:73:28","149","1","11","LIED22CTRL/LLN0$Status","1","1","0"
"600","11.595032783","ipcas_21:73:28","146","1","11","LIED22PROT/LLN0$Alarm","1","",""
"601","11.595034166","ipcas_21:73:28","203","1","11","LIED22MEAS/LLN0$Measurement","313","315","311"
"652","12.707114248","ipcas_21:73:28","149","1","12","LIED22CTRL/LLN0$Status","1","1","0"
"653","12.707115005","ipcas_21:73:28","146","1","12","LIED22PROT/LLN0$Alarm","1","",""
"654","12.707115483","ipcas_21:73:28","203","1","12","LIED22MEAS/LLN0$Measurement","305","309","312"
"705","13.700464289","ipcas_21:73:28","149","1","13","LIED22CTRL/LLN0$Status","1","1","0"
"706","13.700469986","ipcas_21:73:28","146","1","13","LIED22PROT/LLN0$Alarm","1","",""
"707","13.700471068","ipcas_21:73:28","203","1","13","LIED22MEAS/LLN0$Measurement","315","308","315"
"758","14.764685444","ipcas_21:73:28","149","1","14","LIED22CTRL/LLN0$Status","1","1","0"
"759","14.764691418","ipcas_21:73:28","146","1","14","LIED22PROT/LLN0$Alarm","1","",""
"760","14.764692698","ipcas_21:73:28","203","1","14","LIED22MEAS/LLN0$Measurement","315","308","314"
"811","15.811336753","ipcas_21:73:28","149","1","15","LIED22CTRL/LLN0$Status","1","1","0"
"812","15.812138261","ipcas_21:73:28","146","1","15","LIED22PROT/LLN0$Alarm","1","",""
"813","15.812651333","ipcas_21:73:28","203","1","15","LIED22MEAS/LLN0$Measurement","315","313","315"
