"No.","Time","Source","Length","stNum","sqNum","goID"
"583","0.000000000","ipcas_21:73:33","149","1","10","LIED10CTRL/LLN0$Status"
"586","0.006275870","ipcas_21:73:33","142","0","0","LIED10CTRL/LLN0$Status"
"587","0.002006623","ipcas_21:73:33","142","0","1","LIED10CTRL/LLN0$Status"
"591","0.001848505","ipcas_21:73:33","142","0","2","LIED10CTRL/LLN0$Status"
"592","0.002098075","ipcas_21:73:33","142","0","3","LIED10CTRL/LLN0$Status"
"593","0.002122453","ipcas_21:73:33","142","0","4","LIED10CTRL/LLN0$Status"
"594","0.001907580","ipcas_21:73:33","142","0","5","LIED10CTRL/LLN0$Status"
"598","0.002070797","ipcas_21:73:33","142","0","6","LIED10CTRL/LLN0$Status"
"599","0.002011663","ipcas_21:73:33","142","0","7","LIED10CTRL/LLN0$Status"
"603","0.001872200","ipcas_21:73:33","142","0","8","LIED10CTRL/LLN0$Status"
"604","0.002056805","ipcas_21:73:33","142","0","9","LIED10CTRL/LLN0$Status"
"605","0.001988006","ipcas_21:73:33","142","0","10","LIED10CTRL/LLN0$Status"
"606","0.002000378","ipcas_21:73:33","142","0","11","LIED10CTRL/LLN0$Status"
"607","0.002098359","ipcas_21:73:33","142","0","12","LIED10CTRL/LLN0$Status"
"609","0.002187130","ipcas_21:73:33","142","0","13","LIED10CTRL/LLN0$Status"
"610","0.001818927","ipcas_21:73:33","142","0","14","LIED10CTRL/LLN0$Status"
"613","0.002089449","ipcas_21:73:33","142","0","15","LIED10CTRL/LLN0$Status"
"617","0.001804898","ipcas_21:73:33","142","0","16","LIED10CTRL/LLN0$Status"
"618","0.001979367","ipcas_21:73:33","142","0","17","LIED10CTRL/LLN0$Status"
"622","0.001968129","ipcas_21:73:33","142","0","18","LIED10CTRL/LLN0$Status"
"623","0.002066260","ipcas_21:73:33","142","0","19","LIED10CTRL/LLN0$Status"
"627","0.001974737","ipcas_21:73:33","142","0","20","LIED10CTRL/LLN0$Status"
"628","0.002729892","ipcas_21:73:33","142","0","21","LIED10CTRL/LLN0$Status"
"632","0.001302059","ipcas_21:73:33","142","0","22","LIED10CTRL/LLN0$Status"
"633","0.002881147","ipcas_21:73:33","142","0","23","LIED10CTRL/LLN0$Status"
"637","0.001123297","ipcas_21:73:33","142","0","24","LIED10CTRL/LLN0$Status"
"638","0.001626121","ipcas_21:73:33","142","0","25","LIED10CTRL/LLN0$Status"
"639","0.001359534","ipcas_21:73:33","142","0","26","LIED10CTRL/LLN0$Status"
"640","0.001944824","ipcas_21:73:33","142","0","27","LIED10CTRL/LLN0$Status"
"641","0.002253700","ipcas_21:73:33","142","0","28","LIED10CTRL/LLN0$Status"
"642","0.001765449","ipcas_21:73:33","142","0","29","LIED10CTRL/LLN0$Status"
"643","0.002223315","ipcas_21:73:33","142","0","30","LIED10CTRL/LLN0$Status"
"644","0.001645659","ipcas_21:73:33","142","0","31","LIED10CTRL/LLN0$Status"
"645","0.002047061","ipcas_21:73:33","142","0","32","LIED10CTRL/LLN0$Status"
"646","0.001971370","ipcas_21:73:33","142","0","33","LIED10CTRL/LLN0$Status"
"647","0.002127205","ipcas_21:73:33","142","0","34","LIED10CTRL/LLN0$Status"
"648","0.002035533","ipcas_21:73:33","142","0","35","LIED10CTRL/LLN0$Status"
"649","0.001832823","ipcas_21:73:33","142","0","36","LIED10CTRL/LLN0$Status"
"650","0.002045240","ipcas_21:73:33","142","0","37","LIED10CTRL/LLN0$Status"
"651","0.002018357","ipcas_21:73:33","142","0","38","LIED10CTRL/LLN0$Status"
"652","0.002007499","ipcas_21:73:33","142","0","39","LIED10CTRL/LLN0$Status"
"653","0.002081564","ipcas_21:73:33","142","0","40","LIED10CTRL/LLN0$Status"
"654","0.002050292","ipcas_21:73:33","142","0","41","LIED10CTRL/LLN0$Status"
"655","0.001964838","ipcas_21:73:33","142","0","42","LIED10CTRL/LLN0$Status"
"656","0.002034281","ipcas_21:73:33","142","0","43","LIED10CTRL/LLN0$Status"
"657","0.001834200","ipcas_21:73:33","142","0","44","LIED10CTRL/LLN0$Status"
"658","0.002075126","ipcas_21:73:33","142","0","45","LIED10CTRL/LLN0$Status"
"659","0.002075441","ipcas_21:73:33","142","0","46","LIED10CTRL/LLN0$Status"
"660","0.001846427","ipcas_21:73:33","142","0","47","LIED10CTRL/LLN0$Status"
"661","0.002065835","ipcas_21:73:33","142","0","48","LIED10CTRL/LLN0$Status"
"662","0.002128515","ipcas_21:73:33","142","0","49","LIED10CTRL/LLN0$Status"
"663","0.001941135","ipcas_21:73:33","142","0","50","LIED10CTRL/LLN0$Status"
"664","0.001850001","ipcas_21:73:33","142","0","51","LIED10CTRL/LLN0$Status"
"665","0.001956774","ipcas_21:73:33","142","0","52","LIED10CTRL/LLN0$Status"
"666","0.002084772","ipcas_21:73:33","142","0","53","LIED10CTRL/LLN0$Status"
"667","0.001965355","ipcas_21:73:33","142","0","54","LIED10CTRL/LLN0$Status"
"668","0.002137173","ipcas_21:73:33","142","0","55","LIED10CTRL/LLN0$Status"
"669","0.002052922","ipcas_21:73:33","142","0","56","LIED10CTRL/LLN0$Status"
"670","0.001864551","ipcas_21:73:33","142","0","57","LIED10CTRL/LLN0$Status"
"671","0.002002213","ipcas_21:73:33","142","0","58","LIED10CTRL/LLN0$Status"
"672","0.001934634","ipcas_21:73:33","142","0","59","LIED10CTRL/LLN0$Status"
"673","0.001987077","ipcas_21:73:33","142","0","60","LIED10CTRL/LLN0$Status"
