"No.","Time","Source","Length","stNum","sqNum","goID","integer","integer","integer"
"583","12.475887474","ipcas_21:73:33","149","1","10","LIED10CTRL/LLN0$Status","1","1","0"
"584","12.476473230","ipcas_21:73:33","146","1","10","LIED10PROT/LLN0$Alarm","1","",""
"585","12.476494573","ipcas_21:73:33","203","1","10","LIED10MEAS/LLN0$Measurement","311","305","309"
"586","12.482163344","ipcas_21:73:33","142","0","0","LIED10CTRL/LLN0$Status","1234","5678",""
"587","12.484169967","ipcas_21:73:33","142","0","1","LIED10CTRL/LLN0$Status","1234","5678",""
"591","12.486018472","ipcas_21:73:33","142","0","2","LIED10CTRL/LLN0$Status","1234","5678",""
"592","12.488116547","ipcas_21:73:33","142","0","3","LIED10CTRL/LLN0$Status","1234","5678",""
"593","12.490239000","ipcas_21:73:33","142","0","4","LIED10CTRL/LLN0$Status","1234","5678",""
"594","12.492146580","ipcas_21:73:33","142","0","5","LIED10CTRL/LLN0$Status","1234","5678",""
"598","12.494217377","ipcas_21:73:33","142","0","6","LIED10CTRL/LLN0$Status","1234","5678",""
"599","12.496229040","ipcas_21:73:33","142","0","7","LIED10CTRL/LLN0$Status","1234","5678",""
"603","12.498101240","ipcas_21:73:33","142","0","8","LIED10CTRL/LLN0$Status","1234","5678",""
"604","12.500158045","ipcas_21:73:33","142","0","9","LIED10CTRL/LLN0$Status","1234","5678",""
"605","12.502146051","ipcas_21:73:33","142","0","10","LIED10CTRL/LLN0$Status","1234","5678",""
"606","12.504146429","ipcas_21:73:33","142","0","11","LIED10CTRL/LLN0$Status","1234","5678",""
"607","12.506244788","ipcas_21:73:33","142","0","12","LIED10CTRL/LLN0$Status","1234","5678",""
"609","12.508431918","ipcas_21:73:33","142","0","13","LIED10CTRL/LLN0$Status","1234","5678",""
"610","12.510250845","ipcas_21:73:33","142","0","14","LIED10CTRL/LLN0$Status","1234","5678",""
"613","12.512340294","ipcas_21:73:33","142","0","15","LIED10CTRL/LLN0$Status","1234","5678",""
"617","12.514145192","ipcas_21:73:33","142","0","16","LIED10CTRL/LLN0$Status","1234","5678",""
"618","12.516124559","ipcas_21:73:33","142","0","17","LIED10CTRL/LLN0$Status","1234","5678",""
