"No.","Time","Source","Length","stNum","sqNum","goID","integer","integer","integer"
"3","3.444556327","ipcas_21:73:33","149","1","0","LIED10CTRL/LLN0$Status","1","1","0"
"4","3.444568234","ipcas_21:73:33","146","1","0","LIED10PROT/LLN0$Alarm","1","",""
"5","3.445647089","ipcas_21:73:33","203","1","0","LIED10MEAS/LLN0$Measurement","313","308","315"
"57","4.477111697","ipcas_21:73:33","149","1","1","LIED10CTRL/LLN0$Status","1","1","0"
"58","4.477118769","ipcas_21:73:33","146","1","1","LIED10PROT/LLN0$Alarm","1","",""
"59","4.477119962","ipcas_21:73:33","203","1","1","LIED10MEAS/LLN0$Measurement","308","312","313"
"112","5.520641185","ipcas_21:73:33","149","1","2","LIED10CTRL/LLN0$Status","1","1","0"
"113","5.520645373","ipcas_21:73:33","146","1","2","LIED10PROT/LLN0$Alarm","1","",""
"114","5.520646076","ipcas_21:73:33","203","1","2","LIED10MEAS/LLN0$Measurement","314","306","305"
"165","6.566168869","ipcas_21:73:33","149","1","3","LIED10CTRL/LLN0$Status","1","1","0"
"166","6.566202780","ipcas_21:73:33","146","1","3","LIED10PROT/LLN0$Alarm","1","",""
"167","6.566204759","ipcas_21:73:33","203","1","3","LIED10MEAS/LLN0$Measurement","310","315","307"
"218","7.609963704","ipcas_21:73:33","149","1","4","LIED10CTRL/LLN0$Status","1","1","0"
"219","7.609968011","ipcas_21:73:33","146","1","4","LIED10PROT/LLN0$Alarm","1","",""
"220","7.609968740","ipcas_21:73:33","203","1","4","LIED10MEAS/LLN0$Measurement","311","315","311"
"272","8.660638854","ipcas_21:73:33","149","1","5","LIED10CTRL/LLN0$Status","1","1","0"
"273","8.660648561","ipcas_21:73:33","146","1","5","LIED10PROT/LLN0$Alarm","1","",""
"274","8.660649499","ipcas_21:73:33","203","1","5","LIED10MEAS/LLN0$Measurement","314","314","315"
"326","9.719328447","ipcas_21:73:33","149","1","6","LIED10CTRL/LLN0$Status","1","1","0"
"327","9.719334143","ipcas_21:73:33","146","1","6","LIED10PROT/LLN0$Alarm","1","",""
"328","9.719335190","ipcas_21:73:33","203","1","6","LIED10MEAS/LLN0$Measurement","308","305","312"
"379","10.782050048","ipcas_21:73:33","149","1","7","LIED10CTRL/LLN0$Status","1","1","0"
"380","10.782213279","ipcas_21:73:33","146","1","7","LIED10PROT/LLN0$Alarm","1","",""
"381","10.782219206","ipcas_21:73:33","203","1","7","LIED10MEAS/LLN0$Measurement","314","313","308"
"433","11.840352455","ipcas_21:73:33","149","1","8","LIED10CTRL/LLN0$Status","1","1","0"
"434","11.840357052","ipcas_21:73:33","146","1","8","LIED10PROT/LLN0$Alarm","1","",""
"435","11.840474047","ipcas_21:73:33","203","1","8","LIED10MEAS/LLN0$Measurement","306","311","310"
"486","12.889210943","ipcas_21:73:33","149","1","9","LIED10CTRL/LLN0$Status","1","1","0"
"487","12.890296611","ipcas_21:73:33","146","1","9","LIED10PROT/LLN0$Alarm","1","",""
"488","12.890301485","ipcas_21:73:33","203","1","9","LIED10MEAS/LLN0$Measurement","314","305","309"
"539","13.936225626","ipcas_21:73:33","149","1","10","LIED10CTRL/LLN0$Status","1","1","0"
"540","13.936260410","ipcas_21:73:33","146","1","10","LIED10PROT/LLN0$Alarm","1","",""
"541","13.936261719","ipcas_21:73:33","203","1","10","LIED10MEAS/LLN0$Measurement","311","305","309"
"542","13.939850506","ipcas_21:73:33","150","9999","10","LIED10CTRL/LLN0$Status","1","1","0"
"593","14.998401850","ipcas_21:73:33","149","1","11","LIED10CTRL/LLN0$Status","1","1","0"
"594","15.000476641","ipcas_21:73:33","146","1","11","LIED10PROT/LLN0$Alarm","1","",""
"595","15.000482619","ipcas_21:73:33","203","1","11","LIED10MEAS/LLN0$Measurement","311","314","306"
"647","16.058520717","ipcas_21:73:33","149","1","12","LIED10CTRL/LLN0$Status","1","1","0"
"648","16.058543515","ipcas_21:73:33","146","1","12","LIED10PROT/LLN0$Alarm","1","",""
"649","16.058779474","ipcas_21:73:33","203","1","12","LIED10MEAS/LLN0$Measurement","307","309","315"
"700","17.111939208","ipcas_21:73:33","149","1","13","LIED10CTRL/LLN0$Status","1","1","0"
"701","17.111947169","ipcas_21:73:33","146","1","13","LIED10PROT/LLN0$Alarm","1","",""
"702","17.111947803","ipcas_21:73:33","203","1","13","LIED10MEAS/LLN0$Measurement","314","313","313"
"753","18.173655182","ipcas_21:73:33","149","1","14","LIED10CTRL/LLN0$Status","1","1","0"
"754","18.173662435","ipcas_21:73:33","146","1","14","LIED10PROT/LLN0$Alarm","1","",""
"755","18.173663681","ipcas_21:73:33","203","1","14","LIED10MEAS/LLN0$Measurement","313","313","312"
"808","19.229642961","ipcas_21:73:33","149","1","15","LIED10CTRL/LLN0$Status","1","1","0"
"809","19.229652087","ipcas_21:73:33","146","1","15","LIED10PROT/LLN0$Alarm","1","",""
"810","19.229652566","ipcas_21:73:33","203","1","15","LIED10MEAS/LLN0$Measurement","310","310","305"
"861","20.281169779","ipcas_21:73:33","149","1","16","LIED10CTRL/LLN0$Status","1","1","0"
"862","20.281178696","ipcas_21:73:33","146","1","16","LIED10PROT/LLN0$Alarm","1","",""
"863","20.281358503","ipcas_21:73:33","203","1","16","LIED10MEAS/LLN0$Measurement","315","310","315"
"914","21.323103887","ipcas_21:73:33","149","1","17","LIED10CTRL/LLN0$Status","1","1","0"
"915","21.323109946","ipcas_21:73:33","146","1","17","LIED10PROT/LLN0$Alarm","1","",""
"916","21.323202635","ipcas_21:73:33","203","1","17","LIED10MEAS/LLN0$Measurement","314","308","309"
"969","22.381185968","ipcas_21:73:33","149","1","18","LIED10CTRL/LLN0$Status","1","1","0"
"970","22.382318454","ipcas_21:73:33","146","1","18","LIED10PROT/LLN0$Alarm","1","",""
"971","22.382323909","ipcas_21:73:33","203","1","18","LIED10MEAS/LLN0$Measurement","310","307","307"
"1022","23.435966002","ipcas_21:73:33","149","1","19","LIED10CTRL/LLN0$Status","1","1","0"
"1023","23.435972283","ipcas_21:73:33","146","1","19","LIED10PROT/LLN0$Alarm","1","",""
"1024","23.436120087","ipcas_21:73:33","203","1","19","LIED10MEAS/LLN0$Measurement","310","311","305"
"1077","24.476039189","ipcas_21:73:33","149","1","20","LIED10CTRL/LLN0$Status","1","1","0"
"1078","24.476044287","ipcas_21:73:33","146","1","20","LIED10PROT/LLN0$Alarm","1","",""
"1079","24.476045333","ipcas_21:73:33","203","1","20","LIED10MEAS/LLN0$Measurement","309","310","307"
"1130","25.536888755","ipcas_21:73:33","149","1","21","LIED10CTRL/LLN0$Status","1","1","0"
"1131","25.536893726","ipcas_21:73:33","146","1","21","LIED10PROT/LLN0$Alarm","1","",""
"1132","25.537516520","ipcas_21:73:33","203","1","21","LIED10MEAS/LLN0$Measurement","315","307","309"
"1183","26.601145928","ipcas_21:73:33","149","1","22","LIED10CTRL/LLN0$Status","1","1","0"
"1184","26.607866672","ipcas_21:73:33","146","1","22","LIED10PROT/LLN0$Alarm","1","",""
"1185","26.607875908","ipcas_21:73:33","203","1","22","LIED10MEAS/LLN0$Measurement","307","313","307"
"1236","27.646899851","ipcas_21:73:33","149","1","23","LIED10CTRL/LLN0$Status","1","1","0"
"1237","27.646906991","ipcas_21:73:33","146","1","23","LIED10PROT/LLN0$Alarm","1","",""
"1238","27.646908170","ipcas_21:73:33","203","1","23","LIED10MEAS/LLN0$Measurement","311","309","312"
"1289","28.708418406","ipcas_21:73:33","149","1","24","LIED10CTRL/LLN0$Status","1","1","0"
"1290","28.708425419","ipcas_21:73:33","146","1","24","LIED10PROT/LLN0$Alarm","1","",""
"1291","28.708426635","ipcas_21:73:33","203","1","24","LIED10MEAS/LLN0$Measurement","313","312","311"
"1342","29.782680414","ipcas_21:73:33","149","1","25","LIED10CTRL/LLN0$Status","1","1","0"
"1343","29.782687530","ipcas_21:73:33","146","1","25","LIED10PROT/LLN0$Alarm","1","",""
"1344","29.782688446","ipcas_21:73:33","203","1","25","LIED10MEAS/LLN0$Measurement","309","307","307"
"1395","30.812695856","ipcas_21:73:33","149","1","26","LIED10CTRL/LLN0$Status","1","1","0"
"1396","30.812702568","ipcas_21:73:33","146","1","26","LIED10PROT/LLN0$Alarm","1","",""
"1397","30.812703691","ipcas_21:73:33","203","1","26","LIED10MEAS/LLN0$Measurement","305","311","314"
"1448","31.869279114","ipcas_21:73:33","149","1","27","LIED10CTRL/LLN0$Status","1","1","0"
"1449","31.869284317","ipcas_21:73:33","146","1","27","LIED10PROT/LLN0$Alarm","1","",""
"1450","31.869284754","ipcas_21:73:33","203","1","27","LIED10MEAS/LLN0$Measurement","313","306","312"
"1501","32.915307236","ipcas_21:73:33","149","1","28","LIED10CTRL/LLN0$Status","1","1","0"
"1502","32.915314450","ipcas_21:73:33","146","1","28","LIED10PROT/LLN0$Alarm","1","",""
"1503","32.915315345","ipcas_21:73:33","203","1","28","LIED10MEAS/LLN0$Measurement","312","309","315"
"1554","33.968940726","ipcas_21:73:33","149","1","29","LIED10CTRL/LLN0$Status","1","1","0"
"1555","33.968947692","ipcas_21:73:33","146","1","29","LIED10PROT/LLN0$Alarm","1","",""
"1556","33.968948825","ipcas_21:73:33","203","1","29","LIED10MEAS/LLN0$Measurement","312","314","305"
"1610","35.037544628","ipcas_21:73:33","149","1","30","LIED10CTRL/LLN0$Status","1","1","0"
"1611","35.037551551","ipcas_21:73:33","146","1","30","LIED10PROT/LLN0$Alarm","1","",""
"1612","35.037686498","ipcas_21:73:33","203","1","30","LIED10MEAS/LLN0$Measurement","305","313","312"
"1663","36.093829610","ipcas_21:73:33","149","1","31","LIED10CTRL/LLN0$Status","1","1","0"
"1664","36.093837224","ipcas_21:73:33","146","1","31","LIED10PROT/LLN0$Alarm","1","",""
"1665","36.093838146","ipcas_21:73:33","203","1","31","LIED10MEAS/LLN0$Measurement","308","313","308"
"1716","37.153888521","ipcas_21:73:33","149","1","32","LIED10CTRL/LLN0$Status","1","1","0"
"1717","37.153894024","ipcas_21:73:33","146","1","32","LIED10PROT/LLN0$Alarm","1","",""
"1718","37.153895011","ipcas_21:73:33","203","1","32","LIED10MEAS/LLN0$Measurement","308","308","315"
"1769","38.204980684","ipcas_21:73:33","149","1","33","LIED10CTRL/LLN0$Status","1","1","0"
"1770","38.204988435","ipcas_21:73:33","146","1","33","LIED10PROT/LLN0$Alarm","1","",""
"1771","38.204989692","ipcas_21:73:33","203","1","33","LIED10MEAS/LLN0$Measurement","305","311","312"
