"No.","Time","Source","Length","stNum","sqNum","goID","integer","integer","integer"
"1","0.000000000","ipcas_21:73:33","149","1","0","LIED10CTRL/LLN0$Status","1","1","0"
"2","0.000009332","ipcas_21:73:33","146","1","0","LIED10PROT/LLN0$Alarm","1","",""
"3","0.001600599","ipcas_21:73:33","203","1","0","LIED10MEAS/LLN0$Measurement","313","308","315"
"54","1.032162288","ipcas_21:73:33","149","1","1","LIED10CTRL/LLN0$Status","1","1","0"
"55","1.032168098","ipcas_21:73:33","146","1","1","LIED10PROT/LLN0$Alarm","1","",""
"56","1.032168906","ipcas_21:73:33","203","1","1","LIED10MEAS/LLN0$Measurement","308","312","313"
"107","2.075954243","ipcas_21:73:33","149","1","2","LIED10CTRL/LLN0$Status","1","1","0"
"108","2.075959422","ipcas_21:73:33","146","1","2","LIED10PROT/LLN0$Alarm","1","",""
"109","2.075976795","ipcas_21:73:33","203","1","2","LIED10MEAS/LLN0$Measurement","314","306","305"
"160","3.122588851","ipcas_21:73:33","149","1","3","LIED10CTRL/LLN0$Status","1","1","0"
"161","3.122606679","ipcas_21:73:33","146","1","3","LIED10PROT/LLN0$Alarm","1","",""
"162","3.122607327","ipcas_21:73:33","203","1","3","LIED10MEAS/LLN0$Measurement","310","315","307"
"213","4.165556841","ipcas_21:73:33","149","1","4","LIED10CTRL/LLN0$Status","1","1","0"
"214","4.165561951","ipcas_21:73:33","146","1","4","LIED10PROT/LLN0$Alarm","1","",""
"215","4.165562280","ipcas_21:73:33","203","1","4","LIED10MEAS/LLN0$Measurement","311","315","311"
"266","5.215121385","ipcas_21:73:33","149","1","5","LIED10CTRL/LLN0$Status","1","1","0"
"267","5.215128819","ipcas_21:73:33","146","1","5","LIED10PROT/LLN0$Alarm","1","",""
"268","5.216289369","ipcas_21:73:33","203","1","5","LIED10MEAS/LLN0$Measurement","314","314","315"
"319","6.274624153","ipcas_21:73:33","149","1","6","LIED10CTRL/LLN0$Status","1","1","0"
"320","6.274626921","ipcas_21:73:33","146","1","6","LIED10PROT/LLN0$Alarm","1","",""
"321","6.274627627","ipcas_21:73:33","203","1","6","LIED10MEAS/LLN0$Measurement","308","305","312"
"372","7.337709747","ipcas_21:73:33","149","1","7","LIED10CTRL/LLN0$Status","1","1","0"
"373","7.337816786","ipcas_21:73:33","146","1","7","LIED10PROT/LLN0$Alarm","1","",""
"374","7.337989994","ipcas_21:73:33","203","1","7","LIED10MEAS/LLN0$Measurement","314","313","308"
"425","8.395707034","ipcas_21:73:33","149","1","8","LIED10CTRL/LLN0$Status","1","1","0"
"426","8.395710505","ipcas_21:73:33","146","1","8","LIED10PROT/LLN0$Alarm","1","",""
"427","8.395710989","ipcas_21:73:33","203","1","8","LIED10MEAS/LLN0$Measurement","306","311","310"
"478","9.445537282","ipcas_21:73:33","149","1","9","LIED10CTRL/LLN0$Status","1","1","0"
"479","9.445688843","ipcas_21:73:33","146","1","9","LIED10PROT/LLN0$Alarm","1","",""
"480","9.445777717","ipcas_21:73:33","203","1","9","LIED10MEAS/LLN0$Measurement","314","305","309"
"531","10.491758219","ipcas_21:73:33","149","1","10","LIED10CTRL/LLN0$Status","1","1","0"
"532","10.491763234","ipcas_21:73:33","146","1","10","LIED10PROT/LLN0$Alarm","1","",""
"533","10.491764561","ipcas_21:73:33","203","1","10","LIED10MEAS/LLN0$Measurement","311","305","309"
"534","10.498219056","ipcas_21:73:33","150","9999","0","LIED10CTRL/LLN0$Status","1","1","0"
"585","11.553736003","ipcas_21:73:33","149","1","11","LIED10CTRL/LLN0$Status","1","1","0"
"586","11.555653158","ipcas_21:73:33","146","1","11","LIED10PROT/LLN0$Alarm","1","",""
"587","11.555657712","ipcas_21:73:33","203","1","11","LIED10MEAS/LLN0$Measurement","311","314","306"
"638","12.613515285","ipcas_21:73:33","149","1","12","LIED10CTRL/LLN0$Status","1","1","0"
"639","12.613522194","ipcas_21:73:33","146","1","12","LIED10PROT/LLN0$Alarm","1","",""
"640","12.613523411","ipcas_21:73:33","203","1","12","LIED10MEAS/LLN0$Measurement","307","309","315"
"691","13.666032260","ipcas_21:73:33","149","1","13","LIED10CTRL/LLN0$Status","1","1","0"
"692","13.666041652","ipcas_21:73:33","146","1","13","LIED10PROT/LLN0$Alarm","1","",""
"693","13.666170308","ipcas_21:73:33","203","1","13","LIED10MEAS/LLN0$Measurement","314","313","313"
"744","14.729349954","ipcas_21:73:33","149","1","14","LIED10CTRL/LLN0$Status","1","1","0"
"745","14.729356435","ipcas_21:73:33","146","1","14","LIED10PROT/LLN0$Alarm","1","",""
"746","14.729357611","ipcas_21:73:33","203","1","14","LIED10MEAS/LLN0$Measurement","313","313","312"
"798","15.784501562","ipcas_21:73:33","149","1","15","LIED10CTRL/LLN0$Status","1","1","0"
"799","15.784509280","ipcas_21:73:33","146","1","15","LIED10PROT/LLN0$Alarm","1","",""
"800","15.784936121","ipcas_21:73:33","203","1","15","LIED10MEAS/LLN0$Measurement","310","310","305"
"851","16.836784357","ipcas_21:73:33","149","1","16","LIED10CTRL/LLN0$Status","1","1","0"
"852","16.836791430","ipcas_21:73:33","146","1","16","LIED10PROT/LLN0$Alarm","1","",""
"853","16.836792729","ipcas_21:73:33","203","1","16","LIED10MEAS/LLN0$Measurement","315","310","315"
"904","17.878699377","ipcas_21:73:33","149","1","17","LIED10CTRL/LLN0$Status","1","1","0"
"905","17.878787309","ipcas_21:73:33","146","1","17","LIED10PROT/LLN0$Alarm","1","",""
"906","17.878790127","ipcas_21:73:33","203","1","17","LIED10MEAS/LLN0$Measurement","314","308","309"
"957","18.937373471","ipcas_21:73:33","149","1","18","LIED10CTRL/LLN0$Status","1","1","0"
"958","18.938420935","ipcas_21:73:33","146","1","18","LIED10PROT/LLN0$Alarm","1","",""
"959","18.938425555","ipcas_21:73:33","203","1","18","LIED10MEAS/LLN0$Measurement","310","307","307"
"1010","19.992253130","ipcas_21:73:33","149","1","19","LIED10CTRL/LLN0$Status","1","1","0"
"1011","19.992258870","ipcas_21:73:33","146","1","19","LIED10PROT/LLN0$Alarm","1","",""
"1012","19.992259915","ipcas_21:73:33","203","1","19","LIED10MEAS/LLN0$Measurement","310","311","305"
"1063","21.031152328","ipcas_21:73:33","149","1","20","LIED10CTRL/LLN0$Status","1","1","0"
"1064","21.031157753","ipcas_21:73:33","146","1","20","LIED10PROT/LLN0$Alarm","1","",""
"1065","21.031166380","ipcas_21:73:33","203","1","20","LIED10MEAS/LLN0$Measurement","309","310","307"
"1116","22.092386974","ipcas_21:73:33","149","1","21","LIED10CTRL/LLN0$Status","1","1","0"
"1117","22.092885039","ipcas_21:73:33","146","1","21","LIED10PROT/LLN0$Alarm","1","",""
"1118","22.092889105","ipcas_21:73:33","203","1","21","LIED10MEAS/LLN0$Measurement","315","307","309"
"1169","23.156580114","ipcas_21:73:33","149","1","22","LIED10CTRL/LLN0$Status","1","1","0"
"1170","23.163410872","ipcas_21:73:33","146","1","22","LIED10PROT/LLN0$Alarm","1","",""
"1171","23.163417572","ipcas_21:73:33","203","1","22","LIED10MEAS/LLN0$Measurement","307","313","307"
"1222","24.202754059","ipcas_21:73:33","149","1","23","LIED10CTRL/LLN0$Status","1","1","0"
"1223","24.202758915","ipcas_21:73:33","146","1","23","LIED10PROT/LLN0$Alarm","1","",""
"1224","24.202759292","ipcas_21:73:33","203","1","23","LIED10MEAS/LLN0$Measurement","311","309","312"
"1275","25.264245859","ipcas_21:73:33","149","1","24","LIED10CTRL/LLN0$Status","1","1","0"
"1276","25.264255374","ipcas_21:73:33","146","1","24","LIED10PROT/LLN0$Alarm","1","",""
"1277","25.264256848","ipcas_21:73:33","203","1","24","LIED10MEAS/LLN0$Measurement","313","312","311"
"1328","26.339716271","ipcas_21:73:33","149","1","25","LIED10CTRL/LLN0$Status","1","1","0"
"1329","26.339724156","ipcas_21:73:33","146","1","25","LIED10PROT/LLN0$Alarm","1","",""
"1330","26.339725278","ipcas_21:73:33","203","1","25","LIED10MEAS/LLN0$Measurement","309","307","307"
"1381","27.370110412","ipcas_21:73:33","149","1","26","LIED10CTRL/LLN0$Status","1","1","0"
"1382","27.370403806","ipcas_21:73:33","146","1","26","LIED10PROT/LLN0$Alarm","1","",""
"1383","27.370408878","ipcas_21:73:33","203","1","26","LIED10MEAS/LLN0$Measurement","305","311","314"
"1434","28.438235823","ipcas_21:73:33","149","1","27","LIED10CTRL/LLN0$Status","1","1","0"
"1435","28.438241098","ipcas_21:73:33","146","1","27","LIED10PROT/LLN0$Alarm","1","",""
"1436","28.438241836","ipcas_21:73:33","203","1","27","LIED10MEAS/LLN0$Measurement","313","306","312"
