"No.","Time","Source","Length","stNum","sqNum","goID","integer","integer","integer"
"5","0.863555835","ipcas_21:73:32","149","1","0","LIED11CTRL/LLN0$Status","1","1","0"
"6","0.863564249","ipcas_21:73:32","146","1","0","LIED11PROT/LLN0$Alarm","1","",""
"7","0.863565369","ipcas_21:73:32","203","1","0","LIED11MEAS/LLN0$Measurement","310","305","311"
"60","1.900083991","ipcas_21:73:32","149","1","1","LIED11CTRL/LLN0$Status","1","1","0"
"61","1.900096907","ipcas_21:73:32","146","1","1","LIED11PROT/LLN0$Alarm","1","",""
"62","1.900098501","ipcas_21:73:32","203","1","1","LIED11MEAS/LLN0$Measurement","311","309","310"
"113","2.940691602","ipcas_21:73:32","149","1","2","LIED11CTRL/LLN0$Status","1","1","0"
"114","2.940698057","ipcas_21:73:32","146","1","2","LIED11PROT/LLN0$Alarm","1","",""
"115","2.940699220","ipcas_21:73:32","203","1","2","LIED11MEAS/LLN0$Measurement","306","314","315"
"166","4.006599636","ipcas_21:73:32","149","1","3","LIED11CTRL/LLN0$Status","1","1","0"
"167","4.006603091","ipcas_21:73:32","146","1","3","LIED11PROT/LLN0$Alarm","1","",""
"168","4.006603794","ipcas_21:73:32","203","1","3","LIED11MEAS/LLN0$Measurement","314","311","309"
"220","5.030549163","ipcas_21:73:32","149","1","4","LIED11CTRL/LLN0$Status","1","1","0"
"221","5.032325564","ipcas_21:73:32","146","1","4","LIED11PROT/LLN0$Alarm","1","",""
"222","5.032331147","ipcas_21:73:32","203","1","4","LIED11MEAS/LLN0$Measurement","313","315","314"
"273","6.090804025","ipcas_21:73:32","149","1","5","LIED11CTRL/LLN0$Status","1","1","0"
"274","6.090806604","ipcas_21:73:32","146","1","5","LIED11PROT/LLN0$Alarm","1","",""
"275","6.090884497","ipcas_21:73:32","203","1","5","LIED11MEAS/LLN0$Measurement","305","306","306"
"326","7.145048924","ipcas_21:73:32","149","1","6","LIED11CTRL/LLN0$Status","1","1","0"
"327","7.145250300","ipcas_21:73:32","146","1","6","LIED11PROT/LLN0$Alarm","1","",""
"328","7.145427291","ipcas_21:73:32","203","1","6","LIED11MEAS/LLN0$Measurement","305","315","309"
"379","8.202776538","ipcas_21:73:32","149","1","7","LIED11CTRL/LLN0$Status","1","1","0"
"380","8.202921769","ipcas_21:73:32","146","1","7","LIED11PROT/LLN0$Alarm","1","",""
"381","8.202925427","ipcas_21:73:32","203","1","7","LIED11MEAS/LLN0$Measurement","315","311","311"
"432","9.263517923","ipcas_21:73:32","149","1","8","LIED11CTRL/LLN0$Status","1","1","0"
"433","9.264756669","ipcas_21:73:32","146","1","8","LIED11PROT/LLN0$Alarm","1","",""
"434","9.264759358","ipcas_21:73:32","203","1","8","LIED11MEAS/LLN0$Measurement","315","306","309"
"486","10.309045606","ipcas_21:73:32","149","1","9","LIED11CTRL/LLN0$Status","1","1","0"
"487","10.309470039","ipcas_21:73:32","146","1","9","LIED11PROT/LLN0$Alarm","1","",""
"488","10.310507737","ipcas_21:73:32","203","1","9","LIED11MEAS/LLN0$Measurement","312","307","313"
"539","11.362088209","ipcas_21:73:32","149","1","10","LIED11CTRL/LLN0$Status","1","1","0"
"540","11.362093762","ipcas_21:73:32","146","1","10","LIED11PROT/LLN0$Alarm","1","",""
"541","11.362280709","ipcas_21:73:32","203","1","10","LIED11MEAS/LLN0$Measurement","315","310","311"
"542","11.366868813","ipcas_21:73:32","150","9999","0","LIED11CTRL/LLN0$Status","1","1","0"
"593","12.423963501","ipcas_21:73:32","149","1","11","LIED11CTRL/LLN0$Status","1","1","0"
"594","12.423969455","ipcas_21:73:32","146","1","11","LIED11PROT/LLN0$Alarm","1","",""
"595","12.423970471","ipcas_21:73:32","203","1","11","LIED11MEAS/LLN0$Measurement","310","314","310"
"647","13.478013193","ipcas_21:73:32","149","1","12","LIED11CTRL/LLN0$Status","1","1","0"
"648","13.478019104","ipcas_21:73:32","146","1","12","LIED11PROT/LLN0$Alarm","1","",""
"649","13.478020540","ipcas_21:73:32","203","1","12","LIED11MEAS/LLN0$Measurement","309","314","314"
"701","14.536842913","ipcas_21:73:32","149","1","13","LIED11CTRL/LLN0$Status","1","1","0"
"702","14.536848817","ipcas_21:73:32","146","1","13","LIED11PROT/LLN0$Alarm","1","",""
"703","14.536849896","ipcas_21:73:32","203","1","13","LIED11MEAS/LLN0$Measurement","312","313","306"
"759","15.602556955","ipcas_21:73:32","149","1","14","LIED11CTRL/LLN0$Status","1","1","0"
"760","15.602891612","ipcas_21:73:32","146","1","14","LIED11PROT/LLN0$Alarm","1","",""
"761","15.602895398","ipcas_21:73:32","203","1","14","LIED11MEAS/LLN0$Measurement","310","308","315"
"792","16.367363458","ipcas_21:73:32","149","2","0","LIED11CTRL/LLN0$Status","0","1","0"
"822","16.648983173","ipcas_21:73:32","149","1","15","LIED11CTRL/LLN0$Status","1","1","0"
"823","16.649393086","ipcas_21:73:32","146","1","15","LIED11PROT/LLN0$Alarm","1","",""
"824","16.649918637","ipcas_21:73:32","203","1","15","LIED11MEAS/LLN0$Measurement","306","309","309"
"878","17.700876604","ipcas_21:73:32","149","1","16","LIED11CTRL/LLN0$Status","1","1","0"
"879","17.701646926","ipcas_21:73:32","146","1","16","LIED11PROT/LLN0$Alarm","1","",""
"880","17.701652506","ipcas_21:73:32","203","1","16","LIED11MEAS/LLN0$Measurement","314","309","308"
"933","18.743350410","ipcas_21:73:32","149","1","17","LIED11CTRL/LLN0$Status","1","1","0"
"934","18.743353672","ipcas_21:73:32","146","1","17","LIED11PROT/LLN0$Alarm","1","",""
"935","18.744111172","ipcas_21:73:32","203","1","17","LIED11MEAS/LLN0$Measurement","310","309","306"
"987","19.803723818","ipcas_21:73:32","149","1","18","LIED11CTRL/LLN0$Status","1","1","0"
"988","19.803726370","ipcas_21:73:32","146","1","18","LIED11PROT/LLN0$Alarm","1","",""
"989","19.803807162","ipcas_21:73:32","203","1","18","LIED11MEAS/LLN0$Measurement","314","305","313"
"1042","20.856510023","ipcas_21:73:32","149","1","19","LIED11CTRL/LLN0$Status","1","1","0"
"1043","20.856516308","ipcas_21:73:32","146","1","19","LIED11PROT/LLN0$Alarm","1","",""
"1044","20.856517480","ipcas_21:73:32","203","1","19","LIED11MEAS/LLN0$Measurement","305","313","311"
"1095","21.896951766","ipcas_21:73:32","149","1","20","LIED11CTRL/LLN0$Status","1","1","0"
"1096","21.896957876","ipcas_21:73:32","146","1","20","LIED11PROT/LLN0$Alarm","1","",""
"1097","21.897150052","ipcas_21:73:32","203","1","20","LIED11MEAS/LLN0$Measurement","307","310","306"
"1148","22.964619533","ipcas_21:73:32","149","1","21","LIED11CTRL/LLN0$Status","1","1","0"
"1149","22.965314630","ipcas_21:73:32","146","1","21","LIED11PROT/LLN0$Alarm","1","",""
"1150","22.965853119","ipcas_21:73:32","203","1","21","LIED11MEAS/LLN0$Measurement","310","308","312"
