"No.","Time","Source","Length","stNum","sqNum","Data","goID","integer","integer","integer"
"1","0.000000000","ipcas_21:73:33","149","1","0","integer,integer,integer,integer,boolean","LIED10CTRL/LLN0$Status","1","1","0"
"2","0.000012555","ipcas_21:73:33","146","1","0","boolean,integer,boolean,boolean,boolean","LIED10PROT/LLN0$Alarm","1","",""
"3","0.000014390","ipcas_21:73:33","203","1","0","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED10MEAS/LLN0$Measurement","313","308","315"
"31","0.999662378","ipcas_21:73:33","149","1","1","integer,integer,integer,integer,boolean","LIED10CTRL/LLN0$Status","1","1","0"
"32","0.999672421","ipcas_21:73:33","146","1","1","boolean,integer,boolean,boolean,boolean","LIED10PROT/LLN0$Alarm","1","",""
"33","0.999673831","ipcas_21:73:33","203","1","1","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED10MEAS/LLN0$Measurement","308","312","313"
"84","2.028264147","ipcas_21:73:33","149","1","2","integer,integer,integer,integer,boolean","LIED10CTRL/LLN0$Status","1","1","0"
"85","2.029051525","ipcas_21:73:33","146","1","2","boolean,integer,boolean,boolean,boolean","LIED10PROT/LLN0$Alarm","1","",""
"86","2.029056396","ipcas_21:73:33","203","1","2","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED10MEAS/LLN0$Measurement","314","306","305"
"137","3.069948726","ipcas_21:73:33","149","1","3","integer,integer,integer,integer,boolean","LIED10CTRL/LLN0$Status","1","1","0"
"138","3.069959140","ipcas_21:73:33","146","1","3","boolean,integer,boolean,boolean,boolean","LIED10PROT/LLN0$Alarm","1","",""
"139","3.070150419","ipcas_21:73:33","203","1","3","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED10MEAS/LLN0$Measurement","310","315","307"
"190","4.103176917","ipcas_21:73:33","149","1","4","integer,integer,integer,integer,boolean","LIED10CTRL/LLN0$Status","1","1","0"
"191","4.103186816","ipcas_21:73:33","146","1","4","boolean,integer,boolean,boolean,boolean","LIED10PROT/LLN0$Alarm","1","",""
"192","4.103188086","ipcas_21:73:33","203","1","4","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED10MEAS/LLN0$Measurement","311","315","311"
"243","5.147205442","ipcas_21:73:33","149","1","5","integer,integer,integer,integer,boolean","LIED10CTRL/LLN0$Status","1","1","0"
"244","5.147214018","ipcas_21:73:33","146","1","5","boolean,integer,boolean,boolean,boolean","LIED10PROT/LLN0$Alarm","1","",""
"245","5.147214997","ipcas_21:73:33","203","1","5","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED10MEAS/LLN0$Measurement","314","314","315"
"296","6.173473470","ipcas_21:73:33","149","1","6","integer,integer,integer,integer,boolean","LIED10CTRL/LLN0$Status","1","1","0"
"297","6.173483246","ipcas_21:73:33","146","1","6","boolean,integer,boolean,boolean,boolean","LIED10PROT/LLN0$Alarm","1","",""
"298","6.173484358","ipcas_21:73:33","203","1","6","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED10MEAS/LLN0$Measurement","308","305","312"
"349","7.194997646","ipcas_21:73:33","149","1","7","integer,integer,integer,integer,boolean","LIED10CTRL/LLN0$Status","1","1","0"
"350","7.195073950","ipcas_21:73:33","146","1","7","boolean,integer,boolean,boolean,boolean","LIED10PROT/LLN0$Alarm","1","",""
"351","7.195079971","ipcas_21:73:33","203","1","7","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED10MEAS/LLN0$Measurement","314","313","308"
"402","8.225687184","ipcas_21:73:33","149","1","8","integer,integer,integer,integer,boolean","LIED10CTRL/LLN0$Status","1","1","0"
"403","8.225697308","ipcas_21:73:33","146","1","8","boolean,integer,boolean,boolean,boolean","LIED10PROT/LLN0$Alarm","1","",""
"404","8.225698386","ipcas_21:73:33","203","1","8","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED10MEAS/LLN0$Measurement","306","311","310"
"455","9.258869936","ipcas_21:73:33","149","1","9","integer,integer,integer,integer,boolean","LIED10CTRL/LLN0$Status","1","1","0"
"456","9.259443090","ipcas_21:73:33","146","1","9","boolean,integer,boolean,boolean,boolean","LIED10PROT/LLN0$Alarm","1","",""
"457","9.259450036","ipcas_21:73:33","203","1","9","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED10MEAS/LLN0$Measurement","314","305","309"
"508","10.294632688","ipcas_21:73:33","149","2","0","integer,integer,integer,integer,boolean","LIED10CTRL/LLN0$Status","1","1","0"
"509","10.294642611","ipcas_21:73:33","146","2","0","boolean,integer,boolean,boolean,boolean","LIED10PROT/LLN0$Alarm","1","",""
"510","10.294643697","ipcas_21:73:33","200","2","0","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED10MEAS/LLN0$Measurement","6000","6000","6000"
"561","11.326299522","ipcas_21:73:33","149","3","0","integer,integer,integer,integer,boolean","LIED10CTRL/LLN0$Status","0","1","0"
"562","11.326312221","ipcas_21:73:33","146","3","0","boolean,integer,boolean,boolean,boolean","LIED10PROT/LLN0$Alarm","1","",""
"563","11.326313321","ipcas_21:73:33","188","3","0","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED10MEAS/LLN0$Measurement","0","0","0"
"614","12.372405070","ipcas_21:73:33","149","3","1","integer,integer,integer,integer,boolean","LIED10CTRL/LLN0$Status","0","1","0"
"615","12.372415942","ipcas_21:73:33","146","3","1","boolean,integer,boolean,boolean,boolean","LIED10PROT/LLN0$Alarm","1","",""
