"No.","Time","Source","Length","stNum","sqNum","Data","goID","integer","integer","integer"
"82","1.248293568","ipcas_21:73:16","131","1","0","boolean","UFIEDPROT/LLN0$Alarm","","",""
"83","1.248296144","ipcas_21:73:16","166","1","0","integer,integer,integer,floating-point","UFIEDMEAS/LLN0$Measurement","6354","6355","6357"
"135","2.275186067","ipcas_21:73:16","131","1","1","boolean","UFIEDPROT/LLN0$Alarm","","",""
"136","2.275192282","ipcas_21:73:16","166","1","1","integer,integer,integer,floating-point","UFIEDMEAS/LLN0$Measurement","6348","6356","6349"
"188","3.306233206","ipcas_21:73:16","131","1","2","boolean","UFIEDPROT/LLN0$Alarm","","",""
"189","3.306233544","ipcas_21:73:16","166","1","2","integer,integer,integer,floating-point","UFIEDMEAS/LLN0$Measurement","6351","6352","6359"
"241","4.334286048","ipcas_21:73:16","131","1","3","boolean","UFIEDPROT/LLN0$Alarm","","",""
"242","4.334297557","ipcas_21:73:16","166","1","3","integer,integer,integer,floating-point","UFIEDMEAS/LLN0$Measurement","6351","6355","6351"
"294","5.374989566","ipcas_21:73:16","131","1","4","boolean","UFIEDPROT/LLN0$Alarm","","",""
"295","5.374995055","ipcas_21:73:16","166","1","4","integer,integer,integer,floating-point","UFIEDMEAS/LLN0$Measurement","6357","6355","6357"
"347","6.399765527","ipcas_21:73:16","131","1","5","boolean","UFIEDPROT/LLN0$Alarm","","",""
"348","6.399768220","ipcas_21:73:16","166","1","5","integer,integer,integer,floating-point","UFIEDMEAS/LLN0$Measurement","6356","6344","6354"
"400","7.431515198","ipcas_21:73:16","131","1","6","boolean","UFIEDPROT/LLN0$Alarm","","",""
"401","7.431522431","ipcas_21:73:16","166","1","6","integer,integer,integer,floating-point","UFIEDMEAS/LLN0$Measurement","6354","6361","6357"
"453","8.464951503","ipcas_21:73:16","131","1","7","boolean","UFIEDPROT/LLN0$Alarm","","",""
"454","8.464960311","ipcas_21:73:16","166","1","7","integer,integer,integer,floating-point","UFIEDMEAS/LLN0$Measurement","6353","6343","6351"
"506","9.489247967","ipcas_21:73:16","131","1","8","boolean","UFIEDPROT/LLN0$Alarm","","",""
"507","9.489248691","ipcas_21:73:16","166","1","8","integer,integer,integer,floating-point","UFIEDMEAS/LLN0$Measurement","6342","6350","6351"
"559","10.537117396","ipcas_21:73:16","131","1","9","boolean","UFIEDPROT/LLN0$Alarm","","",""
"560","10.537125844","ipcas_21:73:16","166","1","9","integer,integer,integer,floating-point","UFIEDMEAS/LLN0$Measurement","6346","6350","6357"
"612","11.570598037","ipcas_21:73:16","131","1","10","boolean","UFIEDPROT/LLN0$Alarm","","",""
"613","11.570606252","ipcas_21:73:16","166","1","10","integer,integer,integer,floating-point","UFIEDMEAS/LLN0$Measurement","6356","6360","6352"
"665","12.614477351","ipcas_21:73:16","131","1","11","boolean","UFIEDPROT/LLN0$Alarm","","",""
"666","12.614477699","ipcas_21:73:16","166","1","11","integer,integer,integer,floating-point","UFIEDMEAS/LLN0$Measurement","6353","6346","6360"
"718","13.610533911","ipcas_21:73:16","131","1","12","boolean","UFIEDPROT/LLN0$Alarm","","",""
"719","13.610534401","ipcas_21:73:16","166","1","12","integer,integer,integer,floating-point","UFIEDMEAS/LLN0$Measurement","6346","6351","6355"
"771","14.621672098","ipcas_21:73:16","131","1","13","boolean","UFIEDPROT/LLN0$Alarm","","",""
"772","14.621672853","ipcas_21:73:16","166","1","13","integer,integer,integer,floating-point","UFIEDMEAS/LLN0$Measurement","6342","6359","6341"
"824","15.663617457","ipcas_21:73:16","131","1","14","boolean","UFIEDPROT/LLN0$Alarm","","",""
"825","15.663617809","ipcas_21:73:16","166","1","14","integer,integer,integer,floating-point","UFIEDMEAS/LLN0$Measurement","6348","6353","6350"
"877","16.673342245","ipcas_21:73:16","131","1","15","boolean","UFIEDPROT/LLN0$Alarm","","",""
"878","16.673343082","ipcas_21:73:16","166","1","15","integer,integer,integer,floating-point","UFIEDMEAS/LLN0$Measurement","6359","6349","6360"
"924","17.698208610","ipcas_21:73:16","131","1","16","boolean","UFIEDPROT/LLN0$Alarm","","",""
"925","17.698208939","ipcas_21:73:16","166","1","16","integer,integer,integer,floating-point","UFIEDMEAS/LLN0$Measurement","6350","6356","6354"
"962","18.731003299","ipcas_21:73:16","131","1","17","boolean","UFIEDPROT/LLN0$Alarm","","",""
"963","18.731003965","ipcas_21:73:16","166","1","17","integer,integer,integer,floating-point","UFIEDMEAS/LLN0$Measurement","6352","6360","6354"
"1006","19.771583512","ipcas_21:73:16","131","1","18","boolean","UFIEDPROT/LLN0$Alarm","","",""
