"No.","Time","Source","Length","stNum","sqNum","Data","goID","integer","integer","integer"
"25","0.000081123","ipcas_21:73:25","152","1","0","integer,integer,integer,integer,boolean","BIED100CTRL/LLN0$Status","0","1","0"
"26","0.000081948","ipcas_21:73:25","143","1","0","boolean,integer,boolean","BIED100PROT/LLN0$Alarm","1","",""
"27","0.000082807","ipcas_21:73:25","191","1","0","integer,integer,integer,integer,integer,integer,floating-point,floating-point","BIED100MEAS/LLN0$Measurement","1","5","-4"
"55","1.024804669","ipcas_21:73:25","152","1","1","integer,integer,integer,integer,boolean","BIED100CTRL/LLN0$Status","0","1","0"
"56","1.024808835","ipcas_21:73:25","143","1","1","boolean,integer,boolean","BIED100PROT/LLN0$Alarm","1","",""
"57","1.024809338","ipcas_21:73:25","191","1","1","integer,integer,integer,integer,integer,integer,floating-point,floating-point","BIED100MEAS/LLN0$Measurement","0","1","1"
"108","2.060472507","ipcas_21:73:25","152","1","2","integer,integer,integer,integer,boolean","BIED100CTRL/LLN0$Status","0","1","0"
"109","2.060478190","ipcas_21:73:25","143","1","2","boolean,integer,boolean","BIED100PROT/LLN0$Alarm","1","",""
"110","2.060734562","ipcas_21:73:25","191","1","2","integer,integer,integer,integer,integer,integer,floating-point,floating-point","BIED100MEAS/LLN0$Measurement","2","0","3"
"161","3.099887533","ipcas_21:73:25","152","1","3","integer,integer,integer,integer,boolean","BIED100CTRL/LLN0$Status","0","1","0"
"162","3.099888073","ipcas_21:73:25","143","1","3","boolean,integer,boolean","BIED100PROT/LLN0$Alarm","1","",""
"163","3.099888354","ipcas_21:73:25","191","1","3","integer,integer,integer,integer,integer,integer,floating-point,floating-point","BIED100MEAS/LLN0$Measurement","-5","-1","3"
"214","4.141923944","ipcas_21:73:25","152","1","4","integer,integer,integer,integer,boolean","BIED100CTRL/LLN0$Status","0","1","0"
"215","4.141926525","ipcas_21:73:25","143","1","4","boolean,integer,boolean","BIED100PROT/LLN0$Alarm","1","",""
"216","4.141927432","ipcas_21:73:25","191","1","4","integer,integer,integer,integer,integer,integer,floating-point,floating-point","BIED100MEAS/LLN0$Measurement","-4","-1","-4"
"267","5.167539230","ipcas_21:73:25","152","1","5","integer,integer,integer,integer,boolean","BIED100CTRL/LLN0$Status","0","1","0"
"268","5.167541651","ipcas_21:73:25","143","1","5","boolean,integer,boolean","BIED100PROT/LLN0$Alarm","1","",""
"269","5.167542150","ipcas_21:73:25","191","1","5","integer,integer,integer,integer,integer,integer,floating-point,floating-point","BIED100MEAS/LLN0$Measurement","0","5","3"
"320","6.189437840","ipcas_21:73:25","152","1","6","integer,integer,integer,integer,boolean","BIED100CTRL/LLN0$Status","0","1","0"
"321","6.189440478","ipcas_21:73:25","143","1","6","boolean,integer,boolean","BIED100PROT/LLN0$Alarm","1","",""
"322","6.189440823","ipcas_21:73:25","191","1","6","integer,integer,integer,integer,integer,integer,floating-point,floating-point","BIED100MEAS/LLN0$Measurement","-5","1","0"
"373","7.219578600","ipcas_21:73:25","152","1","7","integer,integer,integer,integer,boolean","BIED100CTRL/LLN0$Status","0","1","0"
"374","7.219584247","ipcas_21:73:25","143","1","7","boolean,integer,boolean","BIED100PROT/LLN0$Alarm","1","",""
"375","7.219585630","ipcas_21:73:25","191","1","7","integer,integer,integer,integer,integer,integer,floating-point,floating-point","BIED100MEAS/LLN0$Measurement","-1","2","-2"
"426","8.253829209","ipcas_21:73:25","152","1","8","integer,integer,integer,integer,boolean","BIED100CTRL/LLN0$Status","0","1","0"
"427","8.253837437","ipcas_21:73:25","143","1","8","boolean,integer,boolean","BIED100PROT/LLN0$Alarm","1","",""
"428","8.253838307","ipcas_21:73:25","191","1","8","integer,integer,integer,integer,integer,integer,floating-point,floating-point","BIED100MEAS/LLN0$Measurement","-1","2","-5"
"479","9.286247671","ipcas_21:73:25","152","1","9","integer,integer,integer,integer,boolean","BIED100CTRL/LLN0$Status","0","1","0"
"480","9.286257915","ipcas_21:73:25","143","1","9","boolean,integer,boolean","BIED100PROT/LLN0$Alarm","1","",""
"481","9.286259782","ipcas_21:73:25","191","1","9","integer,integer,integer,integer,integer,integer,floating-point,floating-point","BIED100MEAS/LLN0$Measurement","-2","2","-5"
"532","10.322240328","ipcas_21:73:25","152","1","10","integer,integer,integer,integer,boolean","BIED100CTRL/LLN0$Status","0","1","0"
"533","10.322240892","ipcas_21:73:25","143","1","10","boolean,integer,boolean","BIED100PROT/LLN0$Alarm","1","",""
"534","10.322241490","ipcas_21:73:25","191","1","10","integer,integer,integer,integer,integer,integer,floating-point,floating-point","BIED100MEAS/LLN0$Measurement","-5","3","1"
"585","11.366040688","ipcas_21:73:25","152","2","0","integer,integer,integer,integer,boolean","BIED100CTRL/LLN0$Status","0","1","0"
"586","11.366043675","ipcas_21:73:25","143","2","0","boolean,integer,boolean","BIED100PROT/LLN0$Alarm","1","",""
"587","11.366044109","ipcas_21:73:25","191","2","0","integer,integer,integer,integer,integer,integer,floating-point,floating-point","BIED100MEAS/LLN0$Measurement","0","-4","2"
"638","12.400460096","ipcas_21:73:25","152","2","1","integer,integer,integer,integer,boolean","BIED100CTRL/LLN0$Status","0","1","0"
"639","12.400465574","ipcas_21:73:25","143","2","1","boolean,integer,boolean","BIED100PROT/LLN0$Alarm","1","",""
"640","12.400466003","ipcas_21:73:25","191","2","1","integer,integer,integer,integer,integer,integer,floating-point,floating-point","BIED100MEAS/LLN0$Measurement","-5","4","5"
"691","13.565183436","ipcas_21:73:25","152","2","2","integer,integer,integer,integer,boolean","BIED100CTRL/LLN0$Status","0","1","0"
"692","13.565189901","ipcas_21:73:25","143","2","2","boolean,integer,boolean","BIED100PROT/LLN0$Alarm","1","",""
"693","13.565190829","ipcas_21:73:25","191","2","2","integer,integer,integer,integer,integer,integer,floating-point,floating-point","BIED100MEAS/LLN0$Measurement","3","-2","0"
"744","14.589108997","ipcas_21:73:25","152","2","3","integer,integer,integer,integer,boolean","BIED100CTRL/LLN0$Status","0","1","0"
"745","14.589390291","ipcas_21:73:25","143","2","3","boolean,integer,boolean","BIED100PROT/LLN0$Alarm","1","",""
"746","14.589833594","ipcas_21:73:25","191","2","3","integer,integer,integer,integer,integer,integer,floating-point,floating-point","BIED100MEAS/LLN0$Measurement","-5","0","-1"
"812","15.663611756","ipcas_21:73:25","152","2","4","integer,integer,integer,integer,boolean","BIED100CTRL/LLN0$Status","0","1","0"
"813","15.663612121","ipcas_21:73:25","143","2","4","boolean,integer,boolean","BIED100PROT/LLN0$Alarm","1","",""
"814","15.663612537","ipcas_21:73:25","191","2","4","integer,integer,integer,integer,integer,integer,floating-point,floating-point","BIED100MEAS/LLN0$Measurement","3","-2","1"
"862","16.663604179","ipcas_21:73:25","152","2","5","integer,integer,integer,integer,boolean","BIED100CTRL/LLN0$Status","0","1","0"
"863","16.663604889","ipcas_21:73:25","143","2","5","boolean,integer,boolean","BIED100PROT/LLN0$Alarm","1","",""
"864","16.663605633","ipcas_21:73:25","191","2","5","integer,integer,integer,integer,integer,integer,floating-point,floating-point","BIED100MEAS/LLN0$Measurement","2","5","4"
"926","17.698209296","ipcas_21:73:25","152","2","6","integer,integer,integer,integer,boolean","BIED100CTRL/LLN0$Status","0","1","0"
"927","17.698209569","ipcas_21:73:25","143","2","6","boolean,integer,boolean","BIED100PROT/LLN0$Alarm","1","",""
"928","17.698209845","ipcas_21:73:25","191","2","6","integer,integer,integer,integer,integer,integer,floating-point,floating-point","BIED100MEAS/LLN0$Measurement","-1","-3","-4"
"979","18.748981083","ipcas_21:73:25","152","2","7","integer,integer,integer,integer,boolean","BIED100CTRL/LLN0$Status","0","1","0"
"980","18.749101878","ipcas_21:73:25","143","2","7","boolean,integer,boolean","BIED100PROT/LLN0$Alarm","1","",""
"981","18.749105020","ipcas_21:73:25","191","2","7","integer,integer,integer,integer,integer,integer,floating-point,floating-point","BIED100MEAS/LLN0$Measurement","5","5","4"
"1032","19.871780686","ipcas_21:73:25","152","2","8","integer,integer,integer,integer,boolean","BIED100CTRL/LLN0$Status","0","1","0"
"1033","19.871786940","ipcas_21:73:25","143","2","8","boolean,integer,boolean","BIED100PROT/LLN0$Alarm","1","",""
"1034","19.871787967","ipcas_21:73:25","191","2","8","integer,integer,integer,integer,integer,integer,floating-point,floating-point","BIED100MEAS/LLN0$Measurement","0","-3","-2"
"1085","21.162464251","ipcas_21:73:25","152","2","9","integer,integer,integer,integer,boolean","BIED100CTRL/LLN0$Status","0","1","0"
"1086","21.163182154","ipcas_21:73:25","143","2","9","boolean,integer,boolean","BIED100PROT/LLN0$Alarm","1","",""
"1087","21.163458408","ipcas_21:73:25","191","2","9","integer,integer,integer,integer,integer,integer,floating-point,floating-point","BIED100MEAS/LLN0$Measurement","4","-4","-5"
"1138","22.252673199","ipcas_21:73:25","152","2","10","integer,integer,integer,integer,boolean","BIED100CTRL/LLN0$Status","0","1","0"
"1139","22.252676799","ipcas_21:73:25","143","2","10","boolean,integer,boolean","BIED100PROT/LLN0$Alarm","1","",""
"1140","22.252677663","ipcas_21:73:25","191","2","10","integer,integer,integer,integer,integer,integer,floating-point,floating-point","BIED100MEAS/LLN0$Measurement","-3","0","-4"
"1191","23.287316622","ipcas_21:73:25","152","2","11","integer,integer,integer,integer,boolean","BIED100CTRL/LLN0$Status","0","1","0"
"1192","23.287317050","ipcas_21:73:25","143","2","11","boolean,integer,boolean","BIED100PROT/LLN0$Alarm","1","",""
"1193","23.287317455","ipcas_21:73:25","191","2","11","integer,integer,integer,integer,integer,integer,floating-point,floating-point","BIED100MEAS/LLN0$Measurement","2","-5","-1"
"1244","24.314337950","ipcas_21:73:25","152","2","12","integer,integer,integer,integer,boolean","BIED100CTRL/LLN0$Status","0","1","0"
"1245","24.314338217","ipcas_21:73:25","143","2","12","boolean,integer,boolean","BIED100PROT/LLN0$Alarm","1","",""
"1246","24.314338491","ipcas_21:73:25","191","2","12","integer,integer,integer,integer,integer,integer,floating-point,floating-point","BIED100MEAS/LLN0$Measurement","-2","-1","1"
"1297","25.357756585","ipcas_21:73:25","152","2","13","integer,integer,integer,integer,boolean","BIED100CTRL/LLN0$Status","0","1","0"
"1298","25.357757029","ipcas_21:73:25","143","2","13","boolean,integer,boolean","BIED100PROT/LLN0$Alarm","1","",""
"1299","25.357757382","ipcas_21:73:25","191","2","13","integer,integer,integer,integer,integer,integer,floating-point,floating-point","BIED100MEAS/LLN0$Measurement","-5","-5","-5"
"1350","26.392548470","ipcas_21:73:25","152","2","14","integer,integer,integer,integer,boolean","BIED100CTRL/LLN0$Status","0","1","0"
"1351","26.392549288","ipcas_21:73:25","143","2","14","boolean,integer,boolean","BIED100PROT/LLN0$Alarm","1","",""
"1352","26.392550257","ipcas_21:73:25","191","2","14","integer,integer,integer,integer,integer,integer,floating-point,floating-point","BIED100MEAS/LLN0$Measurement","-2","0","-1"
