"No.","Time","Source","Length","stNum","sqNum","Data","goID","integer","integer","integer"
"4","0.000015936","ipcas_21:73:32","149","1","0","integer,integer,integer,integer,boolean","LIED11CTRL/LLN0$Status","1","1","0"
"5","0.000017179","ipcas_21:73:32","146","1","0","boolean,integer,boolean,boolean,boolean","LIED11PROT/LLN0$Alarm","1","",""
"6","0.000017951","ipcas_21:73:32","203","1","0","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED11MEAS/LLN0$Measurement","310","305","311"
"34","1.002174318","ipcas_21:73:32","149","1","1","integer,integer,integer,integer,boolean","LIED11CTRL/LLN0$Status","1","1","0"
"35","1.002181420","ipcas_21:73:32","146","1","1","boolean,integer,boolean,boolean,boolean","LIED11PROT/LLN0$Alarm","1","",""
"36","1.002182573","ipcas_21:73:32","203","1","1","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED11MEAS/LLN0$Measurement","311","309","310"
"87","2.032365505","ipcas_21:73:32","149","1","2","integer,integer,integer,integer,boolean","LIED11CTRL/LLN0$Status","1","1","0"
"88","2.033707516","ipcas_21:73:32","146","1","2","boolean,integer,boolean,boolean,boolean","LIED11PROT/LLN0$Alarm","1","",""
"89","2.033712514","ipcas_21:73:32","203","1","2","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED11MEAS/LLN0$Measurement","306","314","315"
"140","3.072824262","ipcas_21:73:32","149","1","3","integer,integer,integer,integer,boolean","LIED11CTRL/LLN0$Status","1","1","0"
"141","3.072829959","ipcas_21:73:32","146","1","3","boolean,integer,boolean,boolean,boolean","LIED11PROT/LLN0$Alarm","1","",""
"142","3.072831018","ipcas_21:73:32","203","1","3","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED11MEAS/LLN0$Measurement","314","311","309"
"193","4.105316721","ipcas_21:73:32","149","1","4","integer,integer,integer,integer,boolean","LIED11CTRL/LLN0$Status","1","1","0"
"194","4.105686129","ipcas_21:73:32","146","1","4","boolean,integer,boolean,boolean,boolean","LIED11PROT/LLN0$Alarm","1","",""
"195","4.105690696","ipcas_21:73:32","203","1","4","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED11MEAS/LLN0$Measurement","313","315","314"
"246","5.151742798","ipcas_21:73:32","149","1","5","integer,integer,integer,integer,boolean","LIED11CTRL/LLN0$Status","1","1","0"
"247","5.151748304","ipcas_21:73:32","146","1","5","boolean,integer,boolean,boolean,boolean","LIED11PROT/LLN0$Alarm","1","",""
"248","5.151749754","ipcas_21:73:32","203","1","5","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED11MEAS/LLN0$Measurement","305","306","306"
"299","6.175604259","ipcas_21:73:32","149","1","6","integer,integer,integer,integer,boolean","LIED11CTRL/LLN0$Status","1","1","0"
"300","6.175608342","ipcas_21:73:32","146","1","6","boolean,integer,boolean,boolean,boolean","LIED11PROT/LLN0$Alarm","1","",""
"301","6.175608915","ipcas_21:73:32","203","1","6","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED11MEAS/LLN0$Measurement","305","315","309"
"352","7.197679214","ipcas_21:73:32","149","1","7","integer,integer,integer,integer,boolean","LIED11CTRL/LLN0$Status","1","1","0"
"353","7.197685027","ipcas_21:73:32","146","1","7","boolean,integer,boolean,boolean,boolean","LIED11PROT/LLN0$Alarm","1","",""
"354","7.197686320","ipcas_21:73:32","203","1","7","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED11MEAS/LLN0$Measurement","315","311","311"
"405","8.230804063","ipcas_21:73:32","149","1","8","integer,integer,integer,integer,boolean","LIED11CTRL/LLN0$Status","1","1","0"
"406","8.230810791","ipcas_21:73:32","146","1","8","boolean,integer,boolean,boolean,boolean","LIED11PROT/LLN0$Alarm","1","",""
"407","8.230811781","ipcas_21:73:32","203","1","8","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED11MEAS/LLN0$Measurement","315","306","309"
"458","9.262231121","ipcas_21:73:32","149","1","9","integer,integer,integer,integer,boolean","LIED11CTRL/LLN0$Status","1","1","0"
"459","9.262544685","ipcas_21:73:32","146","1","9","boolean,integer,boolean,boolean,boolean","LIED11PROT/LLN0$Alarm","1","",""
"460","9.262840647","ipcas_21:73:32","203","1","9","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED11MEAS/LLN0$Measurement","312","308","310"
"511","10.294644639","ipcas_21:73:32","149","2","0","integer,integer,integer,integer,boolean","LIED11CTRL/LLN0$Status","1","1","0"
"512","10.294645591","ipcas_21:73:32","146","2","0","boolean,integer,boolean,boolean,boolean","LIED11PROT/LLN0$Alarm","0","",""
"513","10.294646730","ipcas_21:73:32","200","2","0","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED11MEAS/LLN0$Measurement","6000","6000","6000"
"564","11.329345206","ipcas_21:73:32","149","3","0","integer,integer,integer,integer,boolean","LIED11CTRL/LLN0$Status","1","1","0"
"565","11.329351009","ipcas_21:73:32","146","3","0","boolean,integer,boolean,boolean,boolean","LIED11PROT/LLN0$Alarm","0","",""
"566","11.329351938","ipcas_21:73:32","188","3","0","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED11MEAS/LLN0$Measurement","0","0","0"
"617","12.375552194","ipcas_21:73:32","149","3","1","integer,integer,integer,integer,boolean","LIED11CTRL/LLN0$Status","1","1","0"
"618","12.375557202","ipcas_21:73:32","146","3","1","boolean,integer,boolean,boolean,boolean","LIED11PROT/LLN0$Alarm","0","",""
"619","12.376177319","ipcas_21:73:32","188","3","1","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED11MEAS/LLN0$Measurement","0","0","0"
"670","13.412501027","ipcas_21:73:32","149","3","2","integer,integer,integer,integer,boolean","LIED11CTRL/LLN0$Status","1","1","0"
"671","13.412501550","ipcas_21:73:32","146","3","2","boolean,integer,boolean,boolean,boolean","LIED11PROT/LLN0$Alarm","0","",""
"672","13.412502068","ipcas_21:73:32","188","3","2","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED11MEAS/LLN0$Measurement","0","0","0"
"723","14.574878541","ipcas_21:73:32","149","3","3","integer,integer,integer,integer,boolean","LIED11CTRL/LLN0$Status","1","1","0"
"724","14.574883245","ipcas_21:73:32","146","3","3","boolean,integer,boolean,boolean,boolean","LIED11PROT/LLN0$Alarm","0","",""
"725","14.574884377","ipcas_21:73:32","188","3","3","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED11MEAS/LLN0$Measurement","0","0","0"
"776","15.597346908","ipcas_21:73:32","149","3","4","integer,integer,integer,integer,boolean","LIED11CTRL/LLN0$Status","1","1","0"
"777","15.597350555","ipcas_21:73:32","146","3","4","boolean,integer,boolean,boolean,boolean","LIED11PROT/LLN0$Alarm","0","",""
"778","15.597351350","ipcas_21:73:32","188","3","4","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED11MEAS/LLN0$Measurement","0","0","0"
"829","16.652873344","ipcas_21:73:32","149","3","5","integer,integer,integer,integer,boolean","LIED11CTRL/LLN0$Status","1","1","0"
"830","16.652873641","ipcas_21:73:32","146","3","5","boolean,integer,boolean,boolean,boolean","LIED11PROT/LLN0$Alarm","0","",""
"831","16.652874009","ipcas_21:73:32","188","3","5","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED11MEAS/LLN0$Measurement","0","0","0"
"882","17.673158347","ipcas_21:73:32","149","3","6","integer,integer,integer,integer,boolean","LIED11CTRL/LLN0$Status","1","1","0"
"883","17.673162794","ipcas_21:73:32","146","3","6","boolean,integer,boolean,boolean,boolean","LIED11PROT/LLN0$Alarm","0","",""
"884","17.673164201","ipcas_21:73:32","188","3","6","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED11MEAS/LLN0$Measurement","0","0","0"
"950","18.730986896","ipcas_21:73:32","149","3","7","integer,integer,integer,integer,boolean","LIED11CTRL/LLN0$Status","1","1","0"
"951","18.730997413","ipcas_21:73:32","146","3","7","boolean,integer,boolean,boolean,boolean","LIED11PROT/LLN0$Alarm","0","",""
"952","18.730998147","ipcas_21:73:32","188","3","7","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED11MEAS/LLN0$Measurement","0","0","0"
"1011","19.834786859","ipcas_21:73:32","149","3","8","integer,integer,integer,integer,boolean","LIED11CTRL/LLN0$Status","1","1","0"
"1012","19.835539691","ipcas_21:73:32","146","3","8","boolean,integer,boolean,boolean,boolean","LIED11PROT/LLN0$Alarm","0","",""
"1013","19.836048161","ipcas_21:73:32","188","3","8","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED11MEAS/LLN0$Measurement","0","0","0"
"1064","21.065993744","ipcas_21:73:32","149","3","9","integer,integer,integer,integer,boolean","LIED11CTRL/LLN0$Status","1","1","0"
"1065","21.066699503","ipcas_21:73:32","146","3","9","boolean,integer,boolean,boolean,boolean","LIED11PROT/LLN0$Alarm","0","",""
"1066","21.067224502","ipcas_21:73:32","188","3","9","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED11MEAS/LLN0$Measurement","0","0","0"
"1117","22.236629326","ipcas_21:73:32","149","3","10","integer,integer,integer,integer,boolean","LIED11CTRL/LLN0$Status","1","1","0"
"1118","22.236967627","ipcas_21:73:32","146","3","10","boolean,integer,boolean,boolean,boolean","LIED11PROT/LLN0$Alarm","0","",""
"1119","22.237603327","ipcas_21:73:32","188","3","10","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED11MEAS/LLN0$Measurement","0","0","0"
"1170","23.262108884","ipcas_21:73:32","149","3","11","integer,integer,integer,integer,boolean","LIED11CTRL/LLN0$Status","1","1","0"
"1171","23.262937944","ipcas_21:73:32","146","3","11","boolean,integer,boolean,boolean,boolean","LIED11PROT/LLN0$Alarm","0","",""
"1172","23.263754192","ipcas_21:73:32","188","3","11","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED11MEAS/LLN0$Measurement","0","0","0"
"1223","24.298565989","ipcas_21:73:32","149","3","12","integer,integer,integer,integer,boolean","LIED11CTRL/LLN0$Status","1","1","0"
"1224","24.298566861","ipcas_21:73:32","146","3","12","boolean,integer,boolean,boolean,boolean","LIED11PROT/LLN0$Alarm","0","",""
"1225","24.298567730","ipcas_21:73:32","188","3","12","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED11MEAS/LLN0$Measurement","0","0","0"
"1276","25.323393042","ipcas_21:73:32","149","3","13","integer,integer,integer,integer,boolean","LIED11CTRL/LLN0$Status","1","1","0"
"1277","25.323401187","ipcas_21:73:32","146","3","13","boolean,integer,boolean,boolean,boolean","LIED11PROT/LLN0$Alarm","0","",""
"1278","25.323402283","ipcas_21:73:32","188","3","13","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED11MEAS/LLN0$Measurement","0","0","0"
"1329","26.366075770","ipcas_21:73:32","149","3","14","integer,integer,integer,integer,boolean","LIED11CTRL/LLN0$Status","1","1","0"
"1330","26.366081606","ipcas_21:73:32","146","3","14","boolean,integer,boolean,boolean,boolean","LIED11PROT/LLN0$Alarm","0","",""
"1331","26.366082862","ipcas_21:73:32","188","3","14","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED11MEAS/LLN0$Measurement","0","0","0"
