"No.","Time","Source","Length","stNum","sqNum","Data","goID","integer","integer","integer"
"19","0.000075827","ipcas_21:73:27","149","1","0","integer,integer,integer,integer,boolean","TIED13CTRL/LLN0$Status","1","1","0"
"20","0.000076602","ipcas_21:73:27","149","1","0","boolean,integer,boolean,boolean,boolean,boolean","TIED13PROT/LLN0$Alarm","1","",""
"21","0.000077468","ipcas_21:73:27","206","1","0","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point,integer","TIED13MEAS/LLN0$Measurement","154","158","151"
"49","1.022149560","ipcas_21:73:27","149","1","1","integer,integer,integer,integer,boolean","TIED13CTRL/LLN0$Status","1","1","0"
"50","1.022159777","ipcas_21:73:27","149","1","1","boolean,integer,boolean,boolean,boolean,boolean","TIED13PROT/LLN0$Alarm","1","",""
"51","1.022160193","ipcas_21:73:27","206","1","1","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point,integer","TIED13MEAS/LLN0$Measurement","159","158","152"
"102","2.053812604","ipcas_21:73:27","149","1","2","integer,integer,integer,integer,boolean","TIED13CTRL/LLN0$Status","1","1","0"
"103","2.053818925","ipcas_21:73:27","149","1","2","boolean,integer,boolean,boolean,boolean,boolean","TIED13PROT/LLN0$Alarm","1","",""
"104","2.053820248","ipcas_21:73:27","206","1","2","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point,integer","TIED13MEAS/LLN0$Measurement","158","153","149"
"155","3.095064572","ipcas_21:73:27","149","1","3","integer,integer,integer,integer,boolean","TIED13CTRL/LLN0$Status","1","1","0"
"156","3.095069635","ipcas_21:73:27","149","1","3","boolean,integer,boolean,boolean,boolean,boolean","TIED13PROT/LLN0$Alarm","1","",""
"157","3.095070209","ipcas_21:73:27","206","1","3","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point,integer","TIED13MEAS/LLN0$Measurement","158","150","155"
"208","4.141885029","ipcas_21:73:27","149","1","4","integer,integer,integer,integer,boolean","TIED13CTRL/LLN0$Status","1","1","0"
"209","4.141893485","ipcas_21:73:27","149","1","4","boolean,integer,boolean,boolean,boolean,boolean","TIED13PROT/LLN0$Alarm","1","",""
"210","4.141894430","ipcas_21:73:27","206","1","4","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point,integer","TIED13MEAS/LLN0$Measurement","153","152","158"
"261","5.165243536","ipcas_21:73:27","149","1","5","integer,integer,integer,integer,boolean","TIED13CTRL/LLN0$Status","1","1","0"
"262","5.165246021","ipcas_21:73:27","149","1","5","boolean,integer,boolean,boolean,boolean,boolean","TIED13PROT/LLN0$Alarm","1","",""
"263","5.165246473","ipcas_21:73:27","206","1","5","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point,integer","TIED13MEAS/LLN0$Measurement","153","152","159"
"314","6.186215532","ipcas_21:73:27","149","1","6","integer,integer,integer,integer,boolean","TIED13CTRL/LLN0$Status","1","1","0"
"315","6.186215846","ipcas_21:73:27","149","1","6","boolean,integer,boolean,boolean,boolean,boolean","TIED13PROT/LLN0$Alarm","1","",""
"316","6.186216293","ipcas_21:73:27","206","1","6","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point,integer","TIED13MEAS/LLN0$Measurement","152","149","156"
"367","7.214981360","ipcas_21:73:27","149","1","7","integer,integer,integer,integer,boolean","TIED13CTRL/LLN0$Status","1","1","0"
"368","7.214987823","ipcas_21:73:27","149","1","7","boolean,integer,boolean,boolean,boolean,boolean","TIED13PROT/LLN0$Alarm","1","",""
"369","7.214988794","ipcas_21:73:27","206","1","7","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point,integer","TIED13MEAS/LLN0$Measurement","158","153","154"
"420","8.248833487","ipcas_21:73:27","149","1","8","integer,integer,integer,integer,boolean","TIED13CTRL/LLN0$Status","1","1","0"
"421","8.248838749","ipcas_21:73:27","149","1","8","boolean,integer,boolean,boolean,boolean,boolean","TIED13PROT/LLN0$Alarm","1","",""
"422","8.249888234","ipcas_21:73:27","206","1","8","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point,integer","TIED13MEAS/LLN0$Measurement","149","155","152"
"473","9.280408422","ipcas_21:73:27","149","1","9","integer,integer,integer,integer,boolean","TIED13CTRL/LLN0$Status","1","1","0"
"474","9.280416607","ipcas_21:73:27","149","1","9","boolean,integer,boolean,boolean,boolean,boolean","TIED13PROT/LLN0$Alarm","1","",""
"475","9.280418479","ipcas_21:73:27","206","1","9","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point,integer","TIED13MEAS/LLN0$Measurement","150","152","153"
"526","10.322228970","ipcas_21:73:27","149","1","10","integer,integer,integer,integer,boolean","TIED13CTRL/LLN0$Status","1","1","0"
"527","10.322237225","ipcas_21:73:27","149","1","10","boolean,integer,boolean,boolean,boolean,boolean","TIED13PROT/LLN0$Alarm","1","",""
"528","10.322237826","ipcas_21:73:27","191","1","10","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point,integer","TIED13MEAS/LLN0$Measurement","0","0","0"
"579","11.344674846","ipcas_21:73:27","149","2","0","integer,integer,integer,integer,boolean","TIED13CTRL/LLN0$Status","0","1","0"
"580","11.344678002","ipcas_21:73:27","149","2","0","boolean,integer,boolean,boolean,boolean,boolean","TIED13PROT/LLN0$Alarm","1","",""
"581","11.344678418","ipcas_21:73:27","191","2","0","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point,integer","TIED13MEAS/LLN0$Measurement","0","0","0"
"632","12.395084339","ipcas_21:73:27","149","2","1","integer,integer,integer,integer,boolean","TIED13CTRL/LLN0$Status","0","1","0"
"633","12.395430162","ipcas_21:73:27","149","2","1","boolean,integer,boolean,boolean,boolean,boolean","TIED13PROT/LLN0$Alarm","1","",""
"634","12.395650141","ipcas_21:73:27","191","2","1","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point,integer","TIED13MEAS/LLN0$Measurement","0","0","0"
"685","13.458519710","ipcas_21:73:27","149","2","2","integer,integer,integer,integer,boolean","TIED13CTRL/LLN0$Status","0","1","0"
"686","13.458528467","ipcas_21:73:27","149","2","2","boolean,integer,boolean,boolean,boolean,boolean","TIED13PROT/LLN0$Alarm","1","",""
"687","13.458528894","ipcas_21:73:27","191","2","2","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point,integer","TIED13MEAS/LLN0$Measurement","0","0","0"
"738","14.586844322","ipcas_21:73:27","149","2","3","integer,integer,integer,integer,boolean","TIED13CTRL/LLN0$Status","0","1","0"
"739","14.586856415","ipcas_21:73:27","149","2","3","boolean,integer,boolean,boolean,boolean,boolean","TIED13PROT/LLN0$Alarm","1","",""
