"No.","Time","Source","Length","stNum","sqNum","goID","integer","integer","integer"
"82","1.439567632","ipcas_21:73:16","131","1","0","UFIEDPROT/LLN0$Alarm","","",""
"83","1.439568808","ipcas_21:73:16","166","1","0","UFIEDMEAS/LLN0$Measurement","6354","6355","6357"
"135","2.466691680","ipcas_21:73:16","131","1","1","UFIEDPROT/LLN0$Alarm","","",""
"136","2.466697183","ipcas_21:73:16","166","1","1","UFIEDMEAS/LLN0$Measurement","6348","6356","6349"
"188","3.488078576","ipcas_21:73:16","131","1","2","UFIEDPROT/LLN0$Alarm","","",""
"189","3.488078866","ipcas_21:73:16","166","1","2","UFIEDMEAS/LLN0$Measurement","6351","6352","6359"
"241","4.510795243","ipcas_21:73:16","131","1","3","UFIEDPROT/LLN0$Alarm","","",""
"242","4.510799628","ipcas_21:73:16","166","1","3","UFIEDMEAS/LLN0$Measurement","6351","6355","6351"
"294","5.541247211","ipcas_21:73:16","131","1","4","UFIEDPROT/LLN0$Alarm","","",""
"295","5.541253011","ipcas_21:73:16","166","1","4","UFIEDMEAS/LLN0$Measurement","6357","6355","6357"
"347","6.571011703","ipcas_21:73:16","131","1","5","UFIEDPROT/LLN0$Alarm","","",""
"348","6.571018793","ipcas_21:73:16","166","1","5","UFIEDMEAS/LLN0$Measurement","6356","6344","6354"
"400","7.596354664","ipcas_21:73:16","131","1","6","UFIEDPROT/LLN0$Alarm","","",""
"401","7.596358037","ipcas_21:73:16","166","1","6","UFIEDMEAS/LLN0$Measurement","6354","6361","6357"
"453","8.620153216","ipcas_21:73:16","131","1","7","UFIEDPROT/LLN0$Alarm","","",""
"454","8.620158568","ipcas_21:73:16","166","1","7","UFIEDMEAS/LLN0$Measurement","6353","6343","6351"
"506","9.813287427","ipcas_21:73:16","131","1","8","UFIEDPROT/LLN0$Alarm","","",""
"507","9.813291757","ipcas_21:73:16","166","1","8","UFIEDMEAS/LLN0$Measurement","6342","6350","6351"
"559","10.835352370","ipcas_21:73:16","131","1","9","UFIEDPROT/LLN0$Alarm","","",""
"560","10.835355379","ipcas_21:73:16","166","1","9","UFIEDMEAS/LLN0$Measurement","6346","6350","6357"
"612","11.860916651","ipcas_21:73:16","131","1","10","UFIEDPROT/LLN0$Alarm","","",""
"613","11.860922197","ipcas_21:73:16","166","1","10","UFIEDMEAS/LLN0$Measurement","6356","6360","6352"
"665","12.892562230","ipcas_21:73:16","131","1","11","UFIEDPROT/LLN0$Alarm","","",""
"666","12.892568407","ipcas_21:73:16","166","1","11","UFIEDMEAS/LLN0$Measurement","6353","6346","6360"
"718","13.920452903","ipcas_21:73:16","131","1","12","UFIEDPROT/LLN0$Alarm","","",""
"719","13.920453762","ipcas_21:73:16","166","1","12","UFIEDMEAS/LLN0$Measurement","6346","6351","6355"
"771","14.944099731","ipcas_21:73:16","131","1","13","UFIEDPROT/LLN0$Alarm","","",""
"772","14.944103139","ipcas_21:73:16","166","1","13","UFIEDMEAS/LLN0$Measurement","6342","6359","6341"
"824","15.971000629","ipcas_21:73:16","131","1","14","UFIEDPROT/LLN0$Alarm","","",""
