"No.","Time","Source","Length","stNum","sqNum","goID","integer","integer","integer"
"25","0.055168928","ipcas_21:73:25","152","1","0","BIED100CTRL/LLN0$Status","0","1","0"
"26","0.055176875","ipcas_21:73:25","143","1","0","BIED100PROT/LLN0$Alarm","1","",""
"27","0.055177636","ipcas_21:73:25","191","1","0","BIED100MEAS/LLN0$Measurement","1","5","-4"
"55","1.084581526","ipcas_21:73:25","152","1","1","BIED100CTRL/LLN0$Status","0","1","0"
"56","1.084588148","ipcas_21:73:25","143","1","1","BIED100PROT/LLN0$Alarm","1","",""
"57","1.084589093","ipcas_21:73:25","191","1","1","BIED100MEAS/LLN0$Measurement","0","1","1"
"108","2.136284810","ipcas_21:73:25","152","1","2","BIED100CTRL/LLN0$Status","0","1","0"
"109","2.136285502","ipcas_21:73:25","143","1","2","BIED100PROT/LLN0$Alarm","1","",""
"110","2.136286119","ipcas_21:73:25","191","1","2","BIED100MEAS/LLN0$Measurement","2","0","3"
"161","3.179768551","ipcas_21:73:25","152","1","3","BIED100CTRL/LLN0$Status","0","1","0"
"162","3.179769249","ipcas_21:73:25","143","1","3","BIED100PROT/LLN0$Alarm","1","",""
"163","3.179770282","ipcas_21:73:25","191","1","3","BIED100MEAS/LLN0$Measurement","-5","-1","3"
"214","4.210070186","ipcas_21:73:25","152","1","4","BIED100CTRL/LLN0$Status","0","1","0"
"215","4.210088687","ipcas_21:73:25","143","1","4","BIED100PROT/LLN0$Alarm","1","",""
"216","4.210089498","ipcas_21:73:25","191","1","4","BIED100MEAS/LLN0$Measurement","-4","-1","-4"
"267","5.241389539","ipcas_21:73:25","152","1","5","BIED100CTRL/LLN0$Status","0","1","0"
"268","5.241395503","ipcas_21:73:25","143","1","5","BIED100PROT/LLN0$Alarm","1","",""
"269","5.241396485","ipcas_21:73:25","191","1","5","BIED100MEAS/LLN0$Measurement","0","5","3"
"320","6.274311796","ipcas_21:73:25","152","1","6","BIED100CTRL/LLN0$Status","0","1","0"
"321","6.274317275","ipcas_21:73:25","143","1","6","BIED100PROT/LLN0$Alarm","1","",""
"322","6.274317740","ipcas_21:73:25","191","1","6","BIED100MEAS/LLN0$Measurement","-5","1","0"
"373","7.308106520","ipcas_21:73:25","152","1","7","BIED100CTRL/LLN0$Status","0","1","0"
"374","7.308107027","ipcas_21:73:25","143","1","7","BIED100PROT/LLN0$Alarm","1","",""
"375","7.308107734","ipcas_21:73:25","191","1","7","BIED100MEAS/LLN0$Measurement","-1","2","-2"
"426","8.337993898","ipcas_21:73:25","152","1","8","BIED100CTRL/LLN0$Status","0","1","0"
"427","8.337994827","ipcas_21:73:25","143","1","8","BIED100PROT/LLN0$Alarm","1","",""
"428","8.337995996","ipcas_21:73:25","191","1","8","BIED100MEAS/LLN0$Measurement","-1","2","-5"
"479","9.371778700","ipcas_21:73:25","152","1","9","BIED100CTRL/LLN0$Status","0","1","0"
"480","9.371783382","ipcas_21:73:25","143","1","9","BIED100PROT/LLN0$Alarm","1","",""
"481","9.371784137","ipcas_21:73:25","191","1","9","BIED100MEAS/LLN0$Measurement","-2","2","-5"
"532","10.427268840","ipcas_21:73:25","152","1","10","BIED100CTRL/LLN0$Status","0","1","0"
"533","10.427273207","ipcas_21:73:25","143","1","10","BIED100PROT/LLN0$Alarm","1","",""
"534","10.427273730","ipcas_21:73:25","191","1","10","BIED100MEAS/LLN0$Measurement","-5","3","1"
"585","11.463303541","ipcas_21:73:25","152","2","0","BIED100CTRL/LLN0$Status","0","1","0"
"586","11.463304295","ipcas_21:73:25","143","2","0","BIED100PROT/LLN0$Alarm","1","",""
"587","11.463305161","ipcas_21:73:25","191","2","0","BIED100MEAS/LLN0$Measurement","0","-4","2"
"638","12.486717266","ipcas_21:73:25","152","2","1","BIED100CTRL/LLN0$Status","0","1","0"
"639","12.486717743","ipcas_21:73:25","143","2","1","BIED100PROT/LLN0$Alarm","1","",""
"640","12.486718513","ipcas_21:73:25","191","2","1","BIED100MEAS/LLN0$Measurement","-5","4","5"
"691","13.519566799","ipcas_21:73:25","152","2","2","BIED100CTRL/LLN0$Status","0","1","0"
"692","13.519572620","ipcas_21:73:25","143","2","2","BIED100PROT/LLN0$Alarm","1","",""
"693","13.519574076","ipcas_21:73:25","191","2","2","BIED100MEAS/LLN0$Measurement","3","-2","0"
"744","14.605815858","ipcas_21:73:25","152","2","3","BIED100CTRL/LLN0$Status","0","1","0"
"745","14.605816168","ipcas_21:73:25","143","2","3","BIED100PROT/LLN0$Alarm","1","",""
"746","14.605816459","ipcas_21:73:25","191","2","3","BIED100MEAS/LLN0$Measurement","-5","0","-1"
"797","15.636874613","ipcas_21:73:25","152","2","4","BIED100CTRL/LLN0$Status","0","1","0"
"798","15.636880976","ipcas_21:73:25","143","2","4","BIED100PROT/LLN0$Alarm","1","",""
"799","15.636881360","ipcas_21:73:25","191","2","4","BIED100MEAS/LLN0$Measurement","3","-2","1"
"850","16.660985024","ipcas_21:73:25","152","2","5","BIED100CTRL/LLN0$Status","0","1","0"
"851","16.660989377","ipcas_21:73:25","143","2","5","BIED100PROT/LLN0$Alarm","1","",""
"852","16.660989960","ipcas_21:73:25","191","2","5","BIED100MEAS/LLN0$Measurement","2","5","4"
"903","17.709393596","ipcas_21:73:25","152","2","6","BIED100CTRL/LLN0$Status","0","1","0"
"904","17.709488107","ipcas_21:73:25","143","2","6","BIED100PROT/LLN0$Alarm","1","",""
"905","17.709711888","ipcas_21:73:25","191","2","6","BIED100MEAS/LLN0$Measurement","-1","-3","-4"
"956","18.745853928","ipcas_21:73:25","152","2","7","BIED100CTRL/LLN0$Status","0","1","0"
"957","18.745859535","ipcas_21:73:25","143","2","7","BIED100PROT/LLN0$Alarm","1","",""
"958","18.745860788","ipcas_21:73:25","191","2","7","BIED100MEAS/LLN0$Measurement","5","5","4"
"1009","19.768535607","ipcas_21:73:25","152","2","8","BIED100CTRL/LLN0$Status","0","1","0"
"1010","19.768538037","ipcas_21:73:25","143","2","8","BIED100PROT/LLN0$Alarm","1","",""
"1011","19.768684107","ipcas_21:73:25","191","2","8","BIED100MEAS/LLN0$Measurement","0","-3","-2"
"1062","20.797220868","ipcas_21:73:25","152","2","9","BIED100CTRL/LLN0$Status","0","1","0"
"1063","20.797224976","ipcas_21:73:25","143","2","9","BIED100PROT/LLN0$Alarm","1","",""
"1064","20.797225915","ipcas_21:73:25","191","2","9","BIED100MEAS/LLN0$Measurement","4","-4","-5"
"1115","21.816251373","ipcas_21:73:25","152","2","10","BIED100CTRL/LLN0$Status","0","1","0"
"1116","21.816254903","ipcas_21:73:25","143","2","10","BIED100PROT/LLN0$Alarm","1","",""
"1117","21.816256148","ipcas_21:73:25","191","2","10","BIED100MEAS/LLN0$Measurement","-3","0","-4"
"1168","22.870628092","ipcas_21:73:25","152","2","11","BIED100CTRL/LLN0$Status","0","1","0"
