"No.","Time","Source","Length","stNum","sqNum","goID","integer","integer","integer"
"1","0.000000000","ipcas_21:73:33","149","1","0","LIED10CTRL/LLN0$Status","1","1","0"
"2","0.000671602","ipcas_21:73:33","146","1","0","LIED10PROT/LLN0$Alarm","1","",""
"3","0.000676237","ipcas_21:73:33","203","1","0","LIED10MEAS/LLN0$Measurement","313","308","315"
"31","1.080763417","ipcas_21:73:33","149","1","1","LIED10CTRL/LLN0$Status","1","1","0"
"32","1.080775943","ipcas_21:73:33","146","1","1","LIED10PROT/LLN0$Alarm","1","",""
"33","1.080908490","ipcas_21:73:33","203","1","1","LIED10MEAS/LLN0$Measurement","308","312","313"
"84","2.092443150","ipcas_21:73:33","149","1","2","LIED10CTRL/LLN0$Status","1","1","0"
"85","2.092452744","ipcas_21:73:33","146","1","2","LIED10PROT/LLN0$Alarm","1","",""
"86","2.092453660","ipcas_21:73:33","203","1","2","LIED10MEAS/LLN0$Measurement","314","306","305"
"137","3.178895859","ipcas_21:73:33","149","1","3","LIED10CTRL/LLN0$Status","1","1","0"
"138","3.179425986","ipcas_21:73:33","146","1","3","LIED10PROT/LLN0$Alarm","1","",""
"139","3.179427938","ipcas_21:73:33","203","1","3","LIED10MEAS/LLN0$Measurement","310","315","307"
"190","4.173173983","ipcas_21:73:33","149","1","4","LIED10CTRL/LLN0$Status","1","1","0"
"191","4.173368793","ipcas_21:73:33","146","1","4","LIED10PROT/LLN0$Alarm","1","",""
"192","4.173540091","ipcas_21:73:33","203","1","4","LIED10MEAS/LLN0$Measurement","311","315","311"
"243","5.219307775","ipcas_21:73:33","149","1","5","LIED10CTRL/LLN0$Status","1","1","0"
"244","5.219317360","ipcas_21:73:33","146","1","5","LIED10PROT/LLN0$Alarm","1","",""
"245","5.219318907","ipcas_21:73:33","203","1","5","LIED10MEAS/LLN0$Measurement","314","314","315"
"296","6.247578488","ipcas_21:73:33","149","1","6","LIED10CTRL/LLN0$Status","1","1","0"
"297","6.247588233","ipcas_21:73:33","146","1","6","LIED10PROT/LLN0$Alarm","1","",""
"298","6.247589726","ipcas_21:73:33","203","1","6","LIED10MEAS/LLN0$Measurement","308","305","312"
"349","7.279831621","ipcas_21:73:33","149","1","7","LIED10CTRL/LLN0$Status","1","1","0"
"350","7.279843208","ipcas_21:73:33","146","1","7","LIED10PROT/LLN0$Alarm","1","",""
"351","7.279844457","ipcas_21:73:33","203","1","7","LIED10MEAS/LLN0$Measurement","314","313","308"
"402","8.301172174","ipcas_21:73:33","149","1","8","LIED10CTRL/LLN0$Status","1","1","0"
"403","8.301226546","ipcas_21:73:33","146","1","8","LIED10PROT/LLN0$Alarm","1","",""
"404","8.301230087","ipcas_21:73:33","203","1","8","LIED10MEAS/LLN0$Measurement","306","311","310"
"455","9.330175256","ipcas_21:73:33","149","1","9","LIED10CTRL/LLN0$Status","1","1","0"
"456","9.330185510","ipcas_21:73:33","146","1","9","LIED10PROT/LLN0$Alarm","1","",""
"457","9.330186579","ipcas_21:73:33","203","1","9","LIED10MEAS/LLN0$Measurement","314","305","309"
"508","10.377470410","ipcas_21:73:33","149","2","0","LIED10CTRL/LLN0$Status","1","1","0"
"509","10.377480556","ipcas_21:73:33","146","2","0","LIED10PROT/LLN0$Alarm","1","",""
"510","10.377482243","ipcas_21:73:33","200","2","0","LIED10MEAS/LLN0$Measurement","6000","6000","6000"
"561","11.432812210","ipcas_21:73:33","149","3","0","LIED10CTRL/LLN0$Status","0","1","0"
"562","11.432822036","ipcas_21:73:33","146","3","0","LIED10PROT/LLN0$Alarm","1","",""
"563","11.432823549","ipcas_21:73:33","188","3","0","LIED10MEAS/LLN0$Measurement","0","0","0"
"614","12.470382415","ipcas_21:73:33","149","3","1","LIED10CTRL/LLN0$Status","0","1","0"
"615","12.470394516","ipcas_21:73:33","146","3","1","LIED10PROT/LLN0$Alarm","1","",""
"616","12.470395859","ipcas_21:73:33","188","3","1","LIED10MEAS/LLN0$Measurement","0","0","0"
"667","13.491509661","ipcas_21:73:33","149","3","2","LIED10CTRL/LLN0$Status","0","1","0"
"668","13.491520670","ipcas_21:73:33","146","3","2","LIED10PROT/LLN0$Alarm","1","",""
"669","13.491522401","ipcas_21:73:33","188","3","2","LIED10MEAS/LLN0$Measurement","0","0","0"
"720","14.525396772","ipcas_21:73:33","149","3","3","LIED10CTRL/LLN0$Status","0","1","0"
"721","14.525407858","ipcas_21:73:33","146","3","3","LIED10PROT/LLN0$Alarm","1","",""
"722","14.525409134","ipcas_21:73:33","188","3","3","LIED10MEAS/LLN0$Measurement","0","0","0"
"773","15.610338073","ipcas_21:73:33","149","3","4","LIED10CTRL/LLN0$Status","0","1","0"
"774","15.610347367","ipcas_21:73:33","146","3","4","LIED10PROT/LLN0$Alarm","1","",""
"775","15.610348493","ipcas_21:73:33","188","3","4","LIED10MEAS/LLN0$Measurement","0","0","0"
