"No.","Time","Source","Length","stNum","sqNum","goID","integer","integer","integer"
"19","0.022857071","ipcas_21:73:27","149","1","0","TIED13CTRL/LLN0$Status","1","1","0"
"20","0.022862443","ipcas_21:73:27","149","1","0","TIED13PROT/LLN0$Alarm","1","",""
"21","0.022863499","ipcas_21:73:27","206","1","0","TIED13MEAS/LLN0$Measurement","154","158","151"
"49","1.080931617","ipcas_21:73:27","149","1","1","TIED13CTRL/LLN0$Status","1","1","0"
"50","1.080932489","ipcas_21:73:27","149","1","1","TIED13PROT/LLN0$Alarm","1","",""
"51","1.080933875","ipcas_21:73:27","206","1","1","TIED13MEAS/LLN0$Measurement","159","158","152"
"102","2.132511273","ipcas_21:73:27","149","1","2","TIED13CTRL/LLN0$Status","1","1","0"
"103","2.132551537","ipcas_21:73:27","149","1","2","TIED13PROT/LLN0$Alarm","1","",""
"104","2.132554856","ipcas_21:73:27","206","1","2","TIED13MEAS/LLN0$Measurement","158","153","149"
"155","3.179762797","ipcas_21:73:27","149","1","3","TIED13CTRL/LLN0$Status","1","1","0"
"156","3.179763620","ipcas_21:73:27","149","1","3","TIED13PROT/LLN0$Alarm","1","",""
"157","3.179764529","ipcas_21:73:27","206","1","3","TIED13MEAS/LLN0$Measurement","158","150","155"
"208","4.205354302","ipcas_21:73:27","149","1","4","TIED13CTRL/LLN0$Status","1","1","0"
"209","4.205358426","ipcas_21:73:27","149","1","4","TIED13PROT/LLN0$Alarm","1","",""
"210","4.205359322","ipcas_21:73:27","206","1","4","TIED13MEAS/LLN0$Measurement","153","152","158"
"261","5.234183301","ipcas_21:73:27","149","1","5","TIED13CTRL/LLN0$Status","1","1","0"
"262","5.234188640","ipcas_21:73:27","149","1","5","TIED13PROT/LLN0$Alarm","1","",""
"263","5.234189640","ipcas_21:73:27","206","1","5","TIED13MEAS/LLN0$Measurement","153","152","159"
"314","6.268075254","ipcas_21:73:27","149","1","6","TIED13CTRL/LLN0$Status","1","1","0"
"315","6.268082370","ipcas_21:73:27","149","1","6","TIED13PROT/LLN0$Alarm","1","",""
"316","6.268084746","ipcas_21:73:27","206","1","6","TIED13MEAS/LLN0$Measurement","152","149","156"
"367","7.308102822","ipcas_21:73:27","149","1","7","TIED13CTRL/LLN0$Status","1","1","0"
