"No.","Time","Source","Length","stNum","sqNum","goID","integer","integer","integer"
"46","3.839652306","ipcas_21:73:19","149","1","0","LIED41CTRL/LLN0$Status","1","1","0"
"47","3.839652847","ipcas_21:73:19","146","1","0","LIED41PROT/LLN0$Alarm","1","",""
"48","3.839653798","ipcas_21:73:19","198","1","0","LIED41MEAS/LLN0$Measurement","371","367","369"
"101","4.857301548","ipcas_21:73:19","149","1","1","LIED41CTRL/LLN0$Status","1","1","0"
"102","4.857303028","ipcas_21:73:19","146","1","1","LIED41PROT/LLN0$Alarm","1","",""
"103","4.857303880","ipcas_21:73:19","198","1","1","LIED41MEAS/LLN0$Measurement","373","370","373"
"154","5.954852565","ipcas_21:73:19","149","1","2","LIED41CTRL/LLN0$Status","1","1","0"
"155","5.954858882","ipcas_21:73:19","146","1","2","LIED41PROT/LLN0$Alarm","1","",""
"156","5.954859476","ipcas_21:73:19","198","1","2","LIED41MEAS/LLN0$Measurement","371","370","374"
"209","6.977419911","ipcas_21:73:19","149","1","3","LIED41CTRL/LLN0$Status","1","1","0"
"210","6.977424718","ipcas_21:73:19","146","1","3","LIED41PROT/LLN0$Alarm","1","",""
"211","6.977426028","ipcas_21:73:19","198","1","3","LIED41MEAS/LLN0$Measurement","373","366","371"
"265","8.056435618","ipcas_21:73:19","149","1","4","LIED41CTRL/LLN0$Status","1","1","0"
"266","8.056443372","ipcas_21:73:19","146","1","4","LIED41PROT/LLN0$Alarm","1","",""
"267","8.056444326","ipcas_21:73:19","198","1","4","LIED41MEAS/LLN0$Measurement","372","373","366"
"321","9.082451708","ipcas_21:73:19","149","1","5","LIED41CTRL/LLN0$Status","1","1","0"
"322","9.082751293","ipcas_21:73:19","146","1","5","LIED41PROT/LLN0$Alarm","1","",""
"323","9.083273539","ipcas_21:73:19","198","1","5","LIED41MEAS/LLN0$Measurement","368","366","372"
"375","10.109686225","ipcas_21:73:19","149","1","6","LIED41CTRL/LLN0$Status","1","1","0"
"376","10.109687505","ipcas_21:73:19","146","1","6","LIED41PROT/LLN0$Alarm","1","",""
"377","10.109689255","ipcas_21:73:19","198","1","6","LIED41MEAS/LLN0$Measurement","375","367","375"
"428","11.138172330","ipcas_21:73:19","149","1","7","LIED41CTRL/LLN0$Status","1","1","0"
"429","11.138383745","ipcas_21:73:19","146","1","7","LIED41PROT/LLN0$Alarm","1","",""
"430","11.138387899","ipcas_21:73:19","198","1","7","LIED41MEAS/LLN0$Measurement","375","367","368"
"482","12.167194384","ipcas_21:73:19","149","1","8","LIED41CTRL/LLN0$Status","1","1","0"
"483","12.167199863","ipcas_21:73:19","146","1","8","LIED41PROT/LLN0$Alarm","1","",""
"484","12.167200798","ipcas_21:73:19","198","1","8","LIED41MEAS/LLN0$Measurement","372","369","365"
"535","13.189525831","ipcas_21:73:19","149","1","9","LIED41CTRL/LLN0$Status","1","1","0"
