"No.","Time","Source","Length","stNum","sqNum","goID","integer","integer","integer"
"25","2.523080089","ipcas_21:73:26","149","1","0","TIED23CTRL/LLN0$Status","1","1","0"
"26","2.523080610","ipcas_21:73:26","149","1","0","TIED23PROT/LLN0$Alarm","1","",""
"27","2.523081355","ipcas_21:73:26","206","1","0","TIED23MEAS/LLN0$Measurement","154","158","151"
"78","4.049500515","ipcas_21:73:26","149","1","1","TIED23CTRL/LLN0$Status","1","1","0"
"79","4.049621023","ipcas_21:73:26","149","1","1","TIED23PROT/LLN0$Alarm","1","",""
"80","4.049625020","ipcas_21:73:26","206","1","1","TIED23MEAS/LLN0$Measurement","159","158","152"
"133","5.131641130","ipcas_21:73:26","149","1","2","TIED23CTRL/LLN0$Status","1","1","0"
"134","5.131641474","ipcas_21:73:26","149","1","2","TIED23PROT/LLN0$Alarm","1","",""
"135","5.131642215","ipcas_21:73:26","206","1","2","TIED23MEAS/LLN0$Measurement","158","153","149"
"186","6.168300029","ipcas_21:73:26","149","1","3","TIED23CTRL/LLN0$Status","1","1","0"
"187","6.168311591","ipcas_21:73:26","149","1","3","TIED23PROT/LLN0$Alarm","1","",""
"188","6.168313205","ipcas_21:73:26","206","1","3","TIED23MEAS/LLN0$Measurement","158","150","155"
"242","7.212424748","ipcas_21:73:26","149","1","4","TIED23CTRL/LLN0$Status","1","1","0"
"243","7.212433097","ipcas_21:73:26","149","1","4","TIED23PROT/LLN0$Alarm","1","",""
"244","7.212434172","ipcas_21:73:26","206","1","4","TIED23MEAS/LLN0$Measurement","153","152","158"
"297","8.248377954","ipcas_21:73:26","149","1","5","TIED23CTRL/LLN0$Status","1","1","0"
"298","8.248382006","ipcas_21:73:26","149","1","5","TIED23PROT/LLN0$Alarm","1","",""
"299","8.248382603","ipcas_21:73:26","206","1","5","TIED23MEAS/LLN0$Measurement","153","152","159"
"353","9.293372220","ipcas_21:73:26","149","1","6","TIED23CTRL/LLN0$Status","1","1","0"
"354","9.293372700","ipcas_21:73:26","149","1","6","TIED23PROT/LLN0$Alarm","1","",""
"355","9.293373808","ipcas_21:73:26","206","1","6","TIED23MEAS/LLN0$Measurement","152","149","156"
"407","10.319156983","ipcas_21:73:26","149","1","7","TIED23CTRL/LLN0$Status","1","1","0"
"408","10.319157273","ipcas_21:73:26","149","1","7","TIED23PROT/LLN0$Alarm","1","",""
"409","10.319157640","ipcas_21:73:26","206","1","7","TIED23MEAS/LLN0$Measurement","158","153","154"
"460","11.350979396","ipcas_21:73:26","149","1","8","TIED23CTRL/LLN0$Status","1","1","0"
"461","11.352774839","ipcas_21:73:26","149","1","8","TIED23PROT/LLN0$Alarm","1","",""
"462","11.352781725","ipcas_21:73:26","206","1","8","TIED23MEAS/LLN0$Measurement","149","155","152"
"514","12.398101055","ipcas_21:73:26","149","1","9","TIED23CTRL/LLN0$Status","1","1","0"
"515","12.398104468","ipcas_21:73:26","149","1","9","TIED23PROT/LLN0$Alarm","1","",""
"516","12.398104799","ipcas_21:73:26","206","1","9","TIED23MEAS/LLN0$Measurement","159","150","149"
"567","13.453451077","ipcas_21:73:26","149","1","10","TIED23CTRL/LLN0$Status","1","1","0"
"568","13.453458757","ipcas_21:73:26","149","1","10","TIED23PROT/LLN0$Alarm","1","",""
"569","13.453459697","ipcas_21:73:26","206","1","10","TIED23MEAS/LLN0$Measurement","171","177","175"
"620","14.499498988","ipcas_21:73:26","149","1","11","TIED23CTRL/LLN0$Status","1","1","0"
"621","14.499499371","ipcas_21:73:26","149","1","11","TIED23PROT/LLN0$Alarm","1","",""
"622","14.499499666","ipcas_21:73:26","206","1","11","TIED23MEAS/LLN0$Measurement","179","175","175"
"674","15.532210486","ipcas_21:73:26","149","1","12","TIED23CTRL/LLN0$Status","1","1","0"
"675","15.532468466","ipcas_21:73:26","149","1","12","TIED23PROT/LLN0$Alarm","1","",""
"676","15.532691702","ipcas_21:73:26","206","1","12","TIED23MEAS/LLN0$Measurement","179","180","179"
"729","16.572186857","ipcas_21:73:26","149","1","13","TIED23CTRL/LLN0$Status","1","1","0"
