"No.","Time","Source","Length","stNum","sqNum","goID","integer","integer","integer"
"55","3.839659755","ipcas_21:73:16","131","1","0","UFIEDPROT/LLN0$Alarm","","",""
"56","3.839660303","ipcas_21:73:16","166","1","0","UFIEDMEAS/LLN0$Measurement","6354","6355","6357"
"110","4.864784314","ipcas_21:73:16","131","1","1","UFIEDPROT/LLN0$Alarm","","",""
"111","4.864785707","ipcas_21:73:16","166","1","1","UFIEDMEAS/LLN0$Measurement","6348","6356","6349"
"163","5.959171134","ipcas_21:73:16","131","1","2","UFIEDPROT/LLN0$Alarm","","",""
"164","5.960079953","ipcas_21:73:16","166","1","2","UFIEDMEAS/LLN0$Measurement","6351","6352","6359"
"218","6.982605080","ipcas_21:73:16","131","1","3","UFIEDPROT/LLN0$Alarm","","",""
"219","6.982605373","ipcas_21:73:16","166","1","3","UFIEDMEAS/LLN0$Measurement","6351","6355","6351"
"274","8.060258690","ipcas_21:73:16","131","1","4","UFIEDPROT/LLN0$Alarm","","",""
"275","8.060262240","ipcas_21:73:16","166","1","4","UFIEDMEAS/LLN0$Measurement","6357","6355","6357"
"330","9.090288501","ipcas_21:73:16","131","1","5","UFIEDPROT/LLN0$Alarm","","",""
"331","9.090293641","ipcas_21:73:16","166","1","5","UFIEDMEAS/LLN0$Measurement","6356","6344","6354"
"384","10.116306416","ipcas_21:73:16","131","1","6","UFIEDPROT/LLN0$Alarm","","",""
"385","10.116307401","ipcas_21:73:16","166","1","6","UFIEDMEAS/LLN0$Measurement","6354","6361","6357"
"437","11.146969809","ipcas_21:73:16","131","1","7","UFIEDPROT/LLN0$Alarm","","",""
"438","11.147330474","ipcas_21:73:16","166","1","7","UFIEDMEAS/LLN0$Measurement","6353","6343","6351"
"491","12.172775983","ipcas_21:73:16","131","1","8","UFIEDPROT/LLN0$Alarm","","",""
"492","12.172776373","ipcas_21:73:16","166","1","8","UFIEDMEAS/LLN0$Measurement","6342","6350","6351"
"544","13.195402829","ipcas_21:73:16","131","1","9","UFIEDPROT/LLN0$Alarm","","",""
"545","13.195406107","ipcas_21:73:16","166","1","9","UFIEDMEAS/LLN0$Measurement","6346","6350","6357"
"597","14.216833749","ipcas_21:73:16","131","1","10","UFIEDPROT/LLN0$Alarm","","",""
"598","14.216834159","ipcas_21:73:16","166","1","10","UFIEDMEAS/LLN0$Measurement","5745","5750","5748"
"650","15.241707350","ipcas_21:73:16","131","1","11","UFIEDPROT/LLN0$Alarm","","",""
"651","15.241949440","ipcas_21:73:16","166","1","11","UFIEDMEAS/LLN0$Measurement","5743","5740","5753"
"706","16.266217950","ipcas_21:73:16","131","1","12","UFIEDPROT/LLN0$Alarm","","",""
"707","16.266219317","ipcas_21:73:16","166","1","12","UFIEDMEAS/LLN0$Measurement","5760","5750","5745"
"759","17.304889769","ipcas_21:73:16","131","1","13","UFIEDPROT/LLN0$Alarm","","",""
"760","17.305652020","ipcas_21:73:16","166","1","13","UFIEDMEAS/LLN0$Measurement","5746","5749","5750"
"813","18.357812955","ipcas_21:73:16","131","1","14","UFIEDPROT/LLN0$Alarm","","",""
"814","18.357817173","ipcas_21:73:16","166","1","14","UFIEDMEAS/LLN0$Measurement","5750","5749","5758"
"866","19.408372482","ipcas_21:73:16","131","1","15","UFIEDPROT/LLN0$Alarm","","",""
"867","19.408373281","ipcas_21:73:16","166","1","15","UFIEDMEAS/LLN0$Measurement","6359","6349","6360"
"920","20.446423380","ipcas_21:73:16","131","1","16","UFIEDPROT/LLN0$Alarm","","",""
"921","20.446477762","ipcas_21:73:16","166","1","16","UFIEDMEAS/LLN0$Measurement","6350","6356","6354"
"990","21.472997192","ipcas_21:73:16","131","1","17","UFIEDPROT/LLN0$Alarm","","",""
"991","21.472997587","ipcas_21:73:16","166","1","17","UFIEDMEAS/LLN0$Measurement","6352","6360","6354"
"1044","22.493214455","ipcas_21:73:16","131","1","18","UFIEDPROT/LLN0$Alarm","","",""
"1045","22.493214867","ipcas_21:73:16","166","1","18","UFIEDMEAS/LLN0$Measurement","6360","6354","6345"
"1097","23.514829781","ipcas_21:73:16","131","1","19","UFIEDPROT/LLN0$Alarm","","",""
"1098","23.514830267","ipcas_21:73:16","166","1","19","UFIEDMEAS/LLN0$Measurement","6349","6348","6359"
"1150","24.536994508","ipcas_21:73:16","131","1","20","UFIEDPROT/LLN0$Alarm","","",""
"1151","24.536999269","ipcas_21:73:16","166","1","20","UFIEDMEAS/LLN0$Measurement","6347","6359","6357"
"1203","25.563208188","ipcas_21:73:16","131","1","21","UFIEDPROT/LLN0$Alarm","","",""
"1204","25.563440718","ipcas_21:73:16","166","1","21","UFIEDMEAS/LLN0$Measurement","6350","6345","6356"
"1256","26.596463000","ipcas_21:73:16","131","1","22","UFIEDPROT/LLN0$Alarm","","",""
"1257","26.596464012","ipcas_21:73:16","166","1","22","UFIEDMEAS/LLN0$Measurement","6359","6359","6347"
"1309","27.620560321","ipcas_21:73:16","131","1","23","UFIEDPROT/LLN0$Alarm","","",""
"1310","27.620563102","ipcas_21:73:16","166","1","23","UFIEDMEAS/LLN0$Measurement","6351","6347","6359"
"1362","28.643323070","ipcas_21:73:16","131","1","24","UFIEDPROT/LLN0$Alarm","","",""
"1363","28.643327313","ipcas_21:73:16","166","1","24","UFIEDMEAS/LLN0$Measurement","6361","6347","6346"
"1415","29.665771598","ipcas_21:73:16","131","1","25","UFIEDPROT/LLN0$Alarm","","",""
"1416","29.666087629","ipcas_21:73:16","166","1","25","UFIEDMEAS/LLN0$Measurement","6355","6356","6355"
"1468","30.697545013","ipcas_21:73:16","131","1","26","UFIEDPROT/LLN0$Alarm","","",""
"1469","30.697550689","ipcas_21:73:16","166","1","26","UFIEDMEAS/LLN0$Measurement","6344","6357","6361"
"1521","31.717851349","ipcas_21:73:16","131","1","27","UFIEDPROT/LLN0$Alarm","","",""
"1522","31.717854543","ipcas_21:73:16","166","1","27","UFIEDMEAS/LLN0$Measurement","6352","6344","6354"
"1574","32.741524444","ipcas_21:73:16","131","1","28","UFIEDPROT/LLN0$Alarm","","",""
"1575","32.741529820","ipcas_21:73:16","166","1","28","UFIEDMEAS/LLN0$Measurement","6351","6361","6343"
"1627","33.765733922","ipcas_21:73:16","131","1","29","UFIEDPROT/LLN0$Alarm","","",""
"1628","33.765739427","ipcas_21:73:16","166","1","29","UFIEDMEAS/LLN0$Measurement","6352","6359","6354"
"1680","34.794535174","ipcas_21:73:16","131","1","30","UFIEDPROT/LLN0$Alarm","","",""
"1681","34.794539502","ipcas_21:73:16","166","1","30","UFIEDMEAS/LLN0$Measurement","6342","6360","6349"
"1733","35.819285570","ipcas_21:73:16","131","1","31","UFIEDPROT/LLN0$Alarm","","",""
"1734","35.819288584","ipcas_21:73:16","166","1","31","UFIEDMEAS/LLN0$Measurement","6348","6341","6352"
"1786","36.843639429","ipcas_21:73:16","131","1","32","UFIEDPROT/LLN0$Alarm","","",""
"1787","36.843645145","ipcas_21:73:16","166","1","32","UFIEDMEAS/LLN0$Measurement","6358","6359","6357"
"1839","37.870408551","ipcas_21:73:16","131","1","33","UFIEDPROT/LLN0$Alarm","","",""
"1840","37.870414828","ipcas_21:73:16","166","1","33","UFIEDMEAS/LLN0$Measurement","6356","6342","6345"
"1892","38.895637035","ipcas_21:73:16","131","1","34","UFIEDPROT/LLN0$Alarm","","",""
"1893","38.895638633","ipcas_21:73:16","166","1","34","UFIEDMEAS/LLN0$Measurement","6342","6359","6347"
"1945","39.934864937","ipcas_21:73:16","131","1","35","UFIEDPROT/LLN0$Alarm","","",""
"1946","39.934865404","ipcas_21:73:16","166","1","35","UFIEDMEAS/LLN0$Measurement","6358","6344","6354"
"1998","40.972741325","ipcas_21:73:16","131","1","36","UFIEDPROT/LLN0$Alarm","","",""
"1999","40.972915799","ipcas_21:73:16","166","1","36","UFIEDMEAS/LLN0$Measurement","6347","6344","6350"
"2051","42.009556132","ipcas_21:73:16","131","1","37","UFIEDPROT/LLN0$Alarm","","",""
"2052","42.009557051","ipcas_21:73:16","166","1","37","UFIEDMEAS/LLN0$Measurement","6351","6354","6354"
"2104","43.044940570","ipcas_21:73:16","131","1","38","UFIEDPROT/LLN0$Alarm","","",""
"2105","43.045568589","ipcas_21:73:16","166","1","38","UFIEDMEAS/LLN0$Measurement","6341","6348","6354"
"2157","44.065100297","ipcas_21:73:16","131","1","39","UFIEDPROT/LLN0$Alarm","","",""
"2158","44.065100971","ipcas_21:73:16","166","1","39","UFIEDMEAS/LLN0$Measurement","6348","6360","6352"
"2210","45.099603567","ipcas_21:73:16","131","1","40","UFIEDPROT/LLN0$Alarm","","",""
"2211","45.099604920","ipcas_21:73:16","166","1","40","UFIEDMEAS/LLN0$Measurement","6350","6360","6347"
"2263","46.120505183","ipcas_21:73:16","131","1","41","UFIEDPROT/LLN0$Alarm","","",""
"2264","46.120506038","ipcas_21:73:16","166","1","41","UFIEDMEAS/LLN0$Measurement","6342","6349","6349"
"2316","47.147910850","ipcas_21:73:16","131","1","42","UFIEDPROT/LLN0$Alarm","","",""
"2317","47.147916145","ipcas_21:73:16","166","1","42","UFIEDMEAS/LLN0$Measurement","6346","6355","6343"
"2369","48.167456695","ipcas_21:73:16","131","1","43","UFIEDPROT/LLN0$Alarm","","",""
"2370","48.167462558","ipcas_21:73:16","166","1","43","UFIEDMEAS/LLN0$Measurement","6343","6357","6351"
"2422","49.188870443","ipcas_21:73:16","131","1","44","UFIEDPROT/LLN0$Alarm","","",""
"2423","49.188875602","ipcas_21:73:16","166","1","44","UFIEDMEAS/LLN0$Measurement","6348","6351","6345"
"2475","50.212033183","ipcas_21:73:16","131","1","45","UFIEDPROT/LLN0$Alarm","","",""
"2476","50.212340352","ipcas_21:73:16","166","1","45","UFIEDMEAS/LLN0$Measurement","6354","6342","6347"
"2528","51.257264805","ipcas_21:73:16","131","1","46","UFIEDPROT/LLN0$Alarm","","",""
