"No.","Time","Source","Length","stNum","sqNum","goID","integer","integer","integer"
"28","2.523082424","ipcas_21:73:25","152","1","0","BIED100CTRL/LLN0$Status","0","1","0"
"29","2.523082807","ipcas_21:73:25","143","1","0","BIED100PROT/LLN0$Alarm","1","",""
"30","2.523083090","ipcas_21:73:25","191","1","0","BIED100MEAS/LLN0$Measurement","1","5","-4"
"81","4.051503733","ipcas_21:73:25","152","1","1","BIED100CTRL/LLN0$Status","0","1","0"
"82","4.051508842","ipcas_21:73:25","143","1","1","BIED100PROT/LLN0$Alarm","1","",""
"83","4.051509868","ipcas_21:73:25","191","1","1","BIED100MEAS/LLN0$Measurement","0","1","1"
"136","5.131642608","ipcas_21:73:25","152","1","2","BIED100CTRL/LLN0$Status","0","1","0"
"137","5.131643207","ipcas_21:73:25","143","1","2","BIED100PROT/LLN0$Alarm","1","",""
"138","5.131643600","ipcas_21:73:25","191","1","2","BIED100MEAS/LLN0$Measurement","2","0","3"
"189","6.170576433","ipcas_21:73:25","152","1","3","BIED100CTRL/LLN0$Status","0","1","0"
"190","6.170582162","ipcas_21:73:25","143","1","3","BIED100PROT/LLN0$Alarm","1","",""
"191","6.171587140","ipcas_21:73:25","191","1","3","BIED100MEAS/LLN0$Measurement","-5","-1","3"
"245","7.215791742","ipcas_21:73:25","152","1","4","BIED100CTRL/LLN0$Status","0","1","0"
"246","7.215797964","ipcas_21:73:25","143","1","4","BIED100PROT/LLN0$Alarm","1","",""
"247","7.215798916","ipcas_21:73:25","191","1","4","BIED100MEAS/LLN0$Measurement","-4","-1","-4"
"300","8.249646297","ipcas_21:73:25","152","1","5","BIED100CTRL/LLN0$Status","0","1","0"
"301","8.249650749","ipcas_21:73:25","143","1","5","BIED100PROT/LLN0$Alarm","1","",""
"302","8.249651965","ipcas_21:73:25","191","1","5","BIED100MEAS/LLN0$Measurement","0","5","3"
"356","9.293374568","ipcas_21:73:25","152","1","6","BIED100CTRL/LLN0$Status","0","1","0"
"357","9.293375896","ipcas_21:73:25","143","1","6","BIED100PROT/LLN0$Alarm","1","",""
"358","9.293376827","ipcas_21:73:25","191","1","6","BIED100MEAS/LLN0$Measurement","-5","1","0"
"410","10.319158047","ipcas_21:73:25","152","1","7","BIED100CTRL/LLN0$Status","0","1","0"
"411","10.319158558","ipcas_21:73:25","143","1","7","BIED100PROT/LLN0$Alarm","1","",""
"412","10.319158999","ipcas_21:73:25","191","1","7","BIED100MEAS/LLN0$Measurement","-1","2","-2"
"463","11.354795774","ipcas_21:73:25","152","1","8","BIED100CTRL/LLN0$Status","0","1","0"
"464","11.354801954","ipcas_21:73:25","143","1","8","BIED100PROT/LLN0$Alarm","1","",""
"465","11.355093217","ipcas_21:73:25","191","1","8","BIED100MEAS/LLN0$Measurement","-1","2","-5"
"517","12.399495787","ipcas_21:73:25","152","1","9","BIED100CTRL/LLN0$Status","0","1","0"
"518","12.399498280","ipcas_21:73:25","143","1","9","BIED100PROT/LLN0$Alarm","1","",""
"519","12.399498907","ipcas_21:73:25","191","1","9","BIED100MEAS/LLN0$Measurement","-2","2","-5"
"570","13.454630425","ipcas_21:73:25","152","1","10","BIED100CTRL/LLN0$Status","0","1","0"
"571","13.454634675","ipcas_21:73:25","143","1","10","BIED100PROT/LLN0$Alarm","1","",""
"572","13.454635753","ipcas_21:73:25","191","1","10","BIED100MEAS/LLN0$Measurement","-5","3","1"
"623","14.499500445","ipcas_21:73:25","152","1","11","BIED100CTRL/LLN0$Status","0","1","0"
"624","14.499503616","ipcas_21:73:25","143","1","11","BIED100PROT/LLN0$Alarm","1","",""
"625","14.499504328","ipcas_21:73:25","191","1","11","BIED100MEAS/LLN0$Measurement","0","-4","2"
"677","15.534305359","ipcas_21:73:25","152","1","12","BIED100CTRL/LLN0$Status","0","1","0"
"678","15.534309650","ipcas_21:73:25","143","1","12","BIED100PROT/LLN0$Alarm","1","",""
"679","15.534310728","ipcas_21:73:25","191","1","12","BIED100MEAS/LLN0$Measurement","-5","4","5"
"732","16.577296379","ipcas_21:73:25","152","1","13","BIED100CTRL/LLN0$Status","0","1","0"
"733","16.578108240","ipcas_21:73:25","143","1","13","BIED100PROT/LLN0$Alarm","1","",""
"734","16.578112533","ipcas_21:73:25","191","1","13","BIED100MEAS/LLN0$Measurement","3","-2","0"
"785","17.616794771","ipcas_21:73:25","152","1","14","BIED100CTRL/LLN0$Status","0","1","0"
"786","17.616801016","ipcas_21:73:25","143","1","14","BIED100PROT/LLN0$Alarm","1","",""
"787","17.617493321","ipcas_21:73:25","191","1","14","BIED100MEAS/LLN0$Measurement","-5","0","-1"
