"No.","Time","Source","Length","stNum","sqNum","goID","integer","integer","integer"
"19","2.523075928","ipcas_21:73:28","149","1","0","LIED22CTRL/LLN0$Status","1","1","0"
"20","2.523077557","ipcas_21:73:28","146","1","0","LIED22PROT/LLN0$Alarm","1","",""
"21","2.523078015","ipcas_21:73:28","203","1","0","LIED22MEAS/LLN0$Measurement","313","308","315"
"72","4.044893269","ipcas_21:73:28","149","1","1","LIED22CTRL/LLN0$Status","1","1","0"
"73","4.045653111","ipcas_21:73:28","146","1","1","LIED22PROT/LLN0$Alarm","1","",""
"74","4.045656805","ipcas_21:73:28","203","1","1","LIED22MEAS/LLN0$Measurement","308","312","313"
"127","5.131638459","ipcas_21:73:28","149","1","2","LIED22CTRL/LLN0$Status","1","1","0"
"128","5.131638765","ipcas_21:73:28","146","1","2","LIED22PROT/LLN0$Alarm","1","",""
"129","5.131639323","ipcas_21:73:28","203","1","2","LIED22MEAS/LLN0$Measurement","314","306","305"
"180","6.161871099","ipcas_21:73:28","149","1","3","LIED22CTRL/LLN0$Status","1","1","0"
"181","6.161879762","ipcas_21:73:28","146","1","3","LIED22PROT/LLN0$Alarm","1","",""
"182","6.161881941","ipcas_21:73:28","203","1","3","LIED22MEAS/LLN0$Measurement","310","315","307"
"236","7.200321721","ipcas_21:73:28","149","1","4","LIED22CTRL/LLN0$Status","1","1","0"
"237","7.200326703","ipcas_21:73:28","146","1","4","LIED22PROT/LLN0$Alarm","1","",""
"238","7.200882162","ipcas_21:73:28","203","1","4","LIED22MEAS/LLN0$Measurement","311","315","311"
"291","8.244776010","ipcas_21:73:28","149","1","5","LIED22CTRL/LLN0$Status","1","1","0"
"292","8.244780005","ipcas_21:73:28","146","1","5","LIED22PROT/LLN0$Alarm","1","",""
"293","8.244780914","ipcas_21:73:28","203","1","5","LIED22MEAS/LLN0$Measurement","314","314","315"
"347","9.282264765","ipcas_21:73:28","149","1","6","LIED22CTRL/LLN0$Status","1","1","0"
"348","9.282272102","ipcas_21:73:28","146","1","6","LIED22PROT/LLN0$Alarm","1","",""
"349","9.282273556","ipcas_21:73:28","203","1","6","LIED22MEAS/LLN0$Measurement","308","305","312"
"401","10.319151274","ipcas_21:73:28","149","1","7","LIED22CTRL/LLN0$Status","1","1","0"
"402","10.319151916","ipcas_21:73:28","146","1","7","LIED22PROT/LLN0$Alarm","1","",""
"403","10.319153867","ipcas_21:73:28","203","1","7","LIED22MEAS/LLN0$Measurement","314","313","308"
"454","11.342094624","ipcas_21:73:28","149","1","8","LIED22CTRL/LLN0$Status","1","1","0"
"455","11.342100949","ipcas_21:73:28","146","1","8","LIED22PROT/LLN0$Alarm","1","",""
"456","11.342102763","ipcas_21:73:28","203","1","8","LIED22MEAS/LLN0$Measurement","306","311","310"
"508","12.367717509","ipcas_21:73:28","149","1","9","LIED22CTRL/LLN0$Status","1","1","0"
"509","12.367798768","ipcas_21:73:28","146","1","9","LIED22PROT/LLN0$Alarm","1","",""
"510","12.367799456","ipcas_21:73:28","203","1","9","LIED22MEAS/LLN0$Measurement","314","305","309"
"561","13.445181442","ipcas_21:73:28","149","1","10","LIED22CTRL/LLN0$Status","1","1","0"
"562","13.445185337","ipcas_21:73:28","146","1","10","LIED22PROT/LLN0$Alarm","1","",""
"563","13.445185975","ipcas_21:73:28","203","1","10","LIED22MEAS/LLN0$Measurement","353","350","350"
"614","14.499493204","ipcas_21:73:28","149","1","11","LIED22CTRL/LLN0$Status","1","1","0"
