"No.","Time","Source","Length","stNum","sqNum","goID","integer","integer","integer"
"22","2.523078421","ipcas_21:73:27","149","1","0","TIED13CTRL/LLN0$Status","1","1","0"
"23","2.523078738","ipcas_21:73:27","149","1","0","TIED13PROT/LLN0$Alarm","1","",""
"24","2.523079657","ipcas_21:73:27","206","1","0","TIED13MEAS/LLN0$Measurement","154","158","151"
"75","4.047247903","ipcas_21:73:27","149","1","1","TIED13CTRL/LLN0$Status","1","1","0"
"76","4.047605255","ipcas_21:73:27","149","1","1","TIED13PROT/LLN0$Alarm","1","",""
"77","4.047608941","ipcas_21:73:27","206","1","1","TIED13MEAS/LLN0$Measurement","159","158","152"
"130","5.131639916","ipcas_21:73:27","149","1","2","TIED13CTRL/LLN0$Status","1","1","0"
"131","5.131640300","ipcas_21:73:27","149","1","2","TIED13PROT/LLN0$Alarm","1","",""
"132","5.131640688","ipcas_21:73:27","206","1","2","TIED13MEAS/LLN0$Measurement","158","153","149"
"183","6.164258187","ipcas_21:73:27","149","1","3","TIED13CTRL/LLN0$Status","1","1","0"
"184","6.164265951","ipcas_21:73:27","149","1","3","TIED13PROT/LLN0$Alarm","1","",""
"185","6.164267745","ipcas_21:73:27","206","1","3","TIED13MEAS/LLN0$Measurement","158","150","155"
"239","7.207463709","ipcas_21:73:27","149","1","4","TIED13CTRL/LLN0$Status","1","1","0"
"240","7.207472769","ipcas_21:73:27","149","1","4","TIED13PROT/LLN0$Alarm","1","",""
"241","7.207473849","ipcas_21:73:27","206","1","4","TIED13MEAS/LLN0$Measurement","153","152","158"
"294","8.246652505","ipcas_21:73:27","149","1","5","TIED13CTRL/LLN0$Status","1","1","0"
"295","8.246656042","ipcas_21:73:27","149","1","5","TIED13PROT/LLN0$Alarm","1","",""
"296","8.246760087","ipcas_21:73:27","206","1","5","TIED13MEAS/LLN0$Measurement","153","152","159"
"350","9.293363613","ipcas_21:73:27","149","1","6","TIED13CTRL/LLN0$Status","1","1","0"
"351","9.293370779","ipcas_21:73:27","149","1","6","TIED13PROT/LLN0$Alarm","1","",""
"352","9.293371280","ipcas_21:73:27","206","1","6","TIED13MEAS/LLN0$Measurement","152","149","156"
"404","10.319154500","ipcas_21:73:27","149","1","7","TIED13CTRL/LLN0$Status","1","1","0"
"405","10.319155461","ipcas_21:73:27","149","1","7","TIED13PROT/LLN0$Alarm","1","",""
"406","10.319155969","ipcas_21:73:27","206","1","7","TIED13MEAS/LLN0$Measurement","158","153","154"
"457","11.345939644","ipcas_21:73:27","149","1","8","TIED13CTRL/LLN0$Status","1","1","0"
"458","11.346314087","ipcas_21:73:27","149","1","8","TIED13PROT/LLN0$Alarm","1","",""
"459","11.346645877","ipcas_21:73:27","206","1","8","TIED13MEAS/LLN0$Measurement","149","155","152"
"511","12.368431590","ipcas_21:73:27","149","1","9","TIED13CTRL/LLN0$Status","1","1","0"
"512","12.396548180","ipcas_21:73:27","149","1","9","TIED13PROT/LLN0$Alarm","1","",""
"513","12.396551612","ipcas_21:73:27","206","1","9","TIED13MEAS/LLN0$Measurement","159","150","149"
"564","13.446623813","ipcas_21:73:27","149","1","10","TIED13CTRL/LLN0$Status","1","1","0"
"565","13.446627963","ipcas_21:73:27","149","1","10","TIED13PROT/LLN0$Alarm","1","",""
"566","13.446628814","ipcas_21:73:27","206","1","10","TIED13MEAS/LLN0$Measurement","171","177","175"
"617","14.499497029","ipcas_21:73:27","149","1","11","TIED13CTRL/LLN0$Status","1","1","0"
"618","14.499497660","ipcas_21:73:27","149","1","11","TIED13PROT/LLN0$Alarm","1","",""
"619","14.499498703","ipcas_21:73:27","206","1","11","TIED13MEAS/LLN0$Measurement","179","175","175"
