"No.","Time","Source","Length","stNum","sqNum","goID","integer","integer","integer"
"52","0.990211921","ipcas_21:73:16","131","1","0","UFIEDPROT/LLN0$Alarm","","",""
"53","0.990313318","ipcas_21:73:16","166","1","0","UFIEDMEAS/LLN0$Measurement","6354","6355","6357"
"105","2.018423141","ipcas_21:73:16","131","1","1","UFIEDPROT/LLN0$Alarm","","",""
"106","2.018423420","ipcas_21:73:16","166","1","1","UFIEDMEAS/LLN0$Measurement","6348","6356","6349"
"158","3.041203968","ipcas_21:73:16","131","1","2","UFIEDPROT/LLN0$Alarm","","",""
"159","3.041206994","ipcas_21:73:16","166","1","2","UFIEDMEAS/LLN0$Measurement","6351","6352","6359"
"211","4.084313074","ipcas_21:73:16","131","1","3","UFIEDPROT/LLN0$Alarm","","",""
"212","4.084317350","ipcas_21:73:16","166","1","3","UFIEDMEAS/LLN0$Measurement","6351","6355","6351"
"264","5.095734125","ipcas_21:73:16","131","1","4","UFIEDPROT/LLN0$Alarm","","",""
"265","5.095738193","ipcas_21:73:16","166","1","4","UFIEDMEAS/LLN0$Measurement","6357","6355","6357"
"317","6.142676771","ipcas_21:73:16","131","1","5","UFIEDPROT/LLN0$Alarm","","",""
"318","6.142679950","ipcas_21:73:16","166","1","5","UFIEDMEAS/LLN0$Measurement","6356","6344","6354"
"370","7.188954671","ipcas_21:73:16","131","1","6","UFIEDPROT/LLN0$Alarm","","",""
"371","7.188959114","ipcas_21:73:16","166","1","6","UFIEDMEAS/LLN0$Measurement","6354","6361","6357"
"423","8.227356780","ipcas_21:73:16","131","1","7","UFIEDPROT/LLN0$Alarm","","",""
"424","8.227357146","ipcas_21:73:16","166","1","7","UFIEDMEAS/LLN0$Measurement","6353","6343","6351"
"476","9.265493938","ipcas_21:73:16","131","1","8","UFIEDPROT/LLN0$Alarm","","",""
"477","9.265498433","ipcas_21:73:16","166","1","8","UFIEDMEAS/LLN0$Measurement","6342","6350","6351"
"529","10.324465161","ipcas_21:73:16","131","1","9","UFIEDPROT/LLN0$Alarm","","",""
"530","10.324468059","ipcas_21:73:16","166","1","9","UFIEDMEAS/LLN0$Measurement","6346","6350","6357"
"582","11.362562089","ipcas_21:73:16","131","1","10","UFIEDPROT/LLN0$Alarm","","",""
"583","11.362564667","ipcas_21:73:16","166","1","10","UFIEDMEAS/LLN0$Measurement","6356","6360","6352"
"635","12.408109998","ipcas_21:73:16","131","1","11","UFIEDPROT/LLN0$Alarm","","",""
"636","12.408112915","ipcas_21:73:16","166","1","11","UFIEDMEAS/LLN0$Measurement","6353","6346","6360"
"688","13.461272266","ipcas_21:73:16","131","1","12","UFIEDPROT/LLN0$Alarm","","",""
"689","13.461275095","ipcas_21:73:16","166","1","12","UFIEDMEAS/LLN0$Measurement","6346","6351","6355"
"741","14.512083920","ipcas_21:73:16","131","1","13","UFIEDPROT/LLN0$Alarm","","",""
"742","14.512086946","ipcas_21:73:16","166","1","13","UFIEDMEAS/LLN0$Measurement","6342","6359","6341"
"794","15.558759984","ipcas_21:73:16","131","1","14","UFIEDPROT/LLN0$Alarm","","",""
"795","15.559008876","ipcas_21:73:16","166","1","14","UFIEDMEAS/LLN0$Measurement","6348","6353","6350"
"847","16.590123923","ipcas_21:73:16","131","1","15","UFIEDPROT/LLN0$Alarm","","",""
"848","16.590126966","ipcas_21:73:16","166","1","15","UFIEDMEAS/LLN0$Measurement","6359","6349","6360"
"900","17.631347265","ipcas_21:73:16","131","1","16","UFIEDPROT/LLN0$Alarm","","",""
"901","17.631354839","ipcas_21:73:16","166","1","16","UFIEDMEAS/LLN0$Measurement","6350","6356","6354"
"953","18.680139685","ipcas_21:73:16","131","1","17","UFIEDPROT/LLN0$Alarm","","",""
"954","18.680142734","ipcas_21:73:16","166","1","17","UFIEDMEAS/LLN0$Measurement","6352","6360","6354"
"1006","19.739690774","ipcas_21:73:16","131","1","18","UFIEDPROT/LLN0$Alarm","","",""
"1007","19.739691196","ipcas_21:73:16","166","1","18","UFIEDMEAS/LLN0$Measurement","6360","6354","6345"
"1059","20.804937684","ipcas_21:73:16","131","1","19","UFIEDPROT/LLN0$Alarm","","",""
"1060","20.804943463","ipcas_21:73:16","166","1","19","UFIEDMEAS/LLN0$Measurement","6349","6348","6359"
"1112","21.858287286","ipcas_21:73:16","131","1","20","UFIEDPROT/LLN0$Alarm","","",""
"1113","21.858290437","ipcas_21:73:16","166","1","20","UFIEDMEAS/LLN0$Measurement","6347","6359","6357"
"1165","22.896726960","ipcas_21:73:16","131","1","21","UFIEDPROT/LLN0$Alarm","","",""
"1166","22.896829522","ipcas_21:73:16","166","1","21","UFIEDMEAS/LLN0$Measurement","6350","6345","6356"
"1218","23.942149620","ipcas_21:73:16","131","1","22","UFIEDPROT/LLN0$Alarm","","",""
"1219","23.942319226","ipcas_21:73:16","166","1","22","UFIEDMEAS/LLN0$Measurement","6359","6359","6347"
"1271","24.997870419","ipcas_21:73:16","131","1","23","UFIEDPROT/LLN0$Alarm","","",""
"1272","24.997870904","ipcas_21:73:16","166","1","23","UFIEDMEAS/LLN0$Measurement","6351","6347","6359"
"1324","26.033212473","ipcas_21:73:16","131","1","24","UFIEDPROT/LLN0$Alarm","","",""
"1325","26.033217533","ipcas_21:73:16","166","1","24","UFIEDMEAS/LLN0$Measurement","6361","6347","6346"
"1377","27.067329116","ipcas_21:73:16","131","1","25","UFIEDPROT/LLN0$Alarm","","",""
"1378","27.067691235","ipcas_21:73:16","166","1","25","UFIEDMEAS/LLN0$Measurement","6355","6356","6355"
"1430","28.108089564","ipcas_21:73:16","131","1","26","UFIEDPROT/LLN0$Alarm","","",""
"1431","28.108090098","ipcas_21:73:16","166","1","26","UFIEDMEAS/LLN0$Measurement","6344","6357","6361"
"1483","29.154289785","ipcas_21:73:16","131","1","27","UFIEDPROT/LLN0$Alarm","","",""
"1484","29.154292764","ipcas_21:73:16","166","1","27","UFIEDMEAS/LLN0$Measurement","6352","6344","6354"
"1536","30.210654590","ipcas_21:73:16","131","1","28","UFIEDPROT/LLN0$Alarm","","",""
"1537","30.210657279","ipcas_21:73:16","166","1","28","UFIEDMEAS/LLN0$Measurement","6351","6361","6343"
"1589","31.268227876","ipcas_21:73:16","131","1","29","UFIEDPROT/LLN0$Alarm","","",""
"1590","31.268228437","ipcas_21:73:16","166","1","29","UFIEDMEAS/LLN0$Measurement","6352","6359","6354"
"1642","32.301089684","ipcas_21:73:16","131","1","30","UFIEDPROT/LLN0$Alarm","","",""
"1643","32.301443711","ipcas_21:73:16","166","1","30","UFIEDMEAS/LLN0$Measurement","6342","6360","6349"
"1695","33.342901194","ipcas_21:73:16","131","1","31","UFIEDPROT/LLN0$Alarm","","",""
"1696","33.342903971","ipcas_21:73:16","166","1","31","UFIEDMEAS/LLN0$Measurement","6348","6341","6352"
"1748","34.392054643","ipcas_21:73:16","131","1","32","UFIEDPROT/LLN0$Alarm","","",""
"1749","34.392309970","ipcas_21:73:16","166","1","32","UFIEDMEAS/LLN0$Measurement","6358","6359","6357"
"1801","35.447148403","ipcas_21:73:16","131","1","33","UFIEDPROT/LLN0$Alarm","","",""
"1802","35.447151232","ipcas_21:73:16","166","1","33","UFIEDMEAS/LLN0$Measurement","6356","6342","6345"
"1854","36.504724623","ipcas_21:73:16","131","1","34","UFIEDPROT/LLN0$Alarm","","",""
"1855","36.504910489","ipcas_21:73:16","166","1","34","UFIEDMEAS/LLN0$Measurement","6342","6359","6347"
"1907","37.567001423","ipcas_21:73:16","131","1","35","UFIEDPROT/LLN0$Alarm","","",""
"1908","37.567063628","ipcas_21:73:16","166","1","35","UFIEDMEAS/LLN0$Measurement","6358","6344","6354"
"1960","38.600032900","ipcas_21:73:16","131","1","36","UFIEDPROT/LLN0$Alarm","","",""
"1961","38.600033311","ipcas_21:73:16","166","1","36","UFIEDMEAS/LLN0$Measurement","6347","6344","6350"
"2013","39.627924366","ipcas_21:73:16","131","1","37","UFIEDPROT/LLN0$Alarm","","",""
"2014","39.628307767","ipcas_21:73:16","166","1","37","UFIEDMEAS/LLN0$Measurement","6351","6354","6354"
"2066","40.675602991","ipcas_21:73:16","131","1","38","UFIEDPROT/LLN0$Alarm","","",""
"2067","40.675603415","ipcas_21:73:16","166","1","38","UFIEDMEAS/LLN0$Measurement","6341","6348","6354"
"2119","41.729581788","ipcas_21:73:16","131","1","39","UFIEDPROT/LLN0$Alarm","","",""
"2120","41.729584652","ipcas_21:73:16","166","1","39","UFIEDMEAS/LLN0$Measurement","6348","6360","6352"
"2172","42.781275062","ipcas_21:73:16","131","1","40","UFIEDPROT/LLN0$Alarm","","",""
"2173","42.781277574","ipcas_21:73:16","166","1","40","UFIEDMEAS/LLN0$Measurement","6350","6360","6347"
"2225","43.827518748","ipcas_21:73:16","131","1","41","UFIEDPROT/LLN0$Alarm","","",""
"2226","43.827833846","ipcas_21:73:16","166","1","41","UFIEDMEAS/LLN0$Measurement","6342","6349","6349"
"2278","44.865286767","ipcas_21:73:16","131","1","42","UFIEDPROT/LLN0$Alarm","","",""
"2279","44.865294752","ipcas_21:73:16","166","1","42","UFIEDMEAS/LLN0$Measurement","6346","6355","6343"
"2331","45.939339036","ipcas_21:73:16","131","1","43","UFIEDPROT/LLN0$Alarm","","",""
"2332","45.939347743","ipcas_21:73:16","166","1","43","UFIEDMEAS/LLN0$Measurement","6343","6357","6351"
"2384","46.997719328","ipcas_21:73:16","131","1","44","UFIEDPROT/LLN0$Alarm","","",""
"2385","46.998152893","ipcas_21:73:16","166","1","44","UFIEDMEAS/LLN0$Measurement","6348","6351","6345"
"2437","48.049600371","ipcas_21:73:16","131","1","45","UFIEDPROT/LLN0$Alarm","","",""
"2438","48.049604715","ipcas_21:73:16","166","1","45","UFIEDMEAS/LLN0$Measurement","6354","6342","6347"
"2490","49.105480203","ipcas_21:73:16","131","1","46","UFIEDPROT/LLN0$Alarm","","",""
"2491","49.105878715","ipcas_21:73:16","166","1","46","UFIEDMEAS/LLN0$Measurement","6360","6352","6357"
"2543","50.179237872","ipcas_21:73:16","131","1","47","UFIEDPROT/LLN0$Alarm","","",""
"2544","50.179240899","ipcas_21:73:16","166","1","47","UFIEDMEAS/LLN0$Measurement","6357","6342","6347"
"2596","51.231100200","ipcas_21:73:16","131","1","48","UFIEDPROT/LLN0$Alarm","","",""
"2597","51.231377441","ipcas_21:73:16","166","1","48","UFIEDMEAS/LLN0$Measurement","6348","6353","6352"
"2649","52.291773814","ipcas_21:73:16","131","1","49","UFIEDPROT/LLN0$Alarm","","",""
"2650","52.291932006","ipcas_21:73:16","166","1","49","UFIEDMEAS/LLN0$Measurement","6341","6360","6360"
"2702","53.336342716","ipcas_21:73:16","131","1","50","UFIEDPROT/LLN0$Alarm","","",""
"2703","53.336346511","ipcas_21:73:16","166","1","50","UFIEDMEAS/LLN0$Measurement","6344","6354","6348"
"2755","54.383366746","ipcas_21:73:16","131","1","51","UFIEDPROT/LLN0$Alarm","","",""
"2756","54.383411231","ipcas_21:73:16","166","1","51","UFIEDMEAS/LLN0$Measurement","6351","6353","6349"
"2808","55.452641522","ipcas_21:73:16","131","1","52","UFIEDPROT/LLN0$Alarm","","",""
