"No.","Time","Source","Length","stNum","sqNum","goID","integer","integer","integer"
"25","0.016562978","ipcas_21:73:25","152","1","0","BIED100CTRL/LLN0$Status","0","1","0"
"26","0.016563780","ipcas_21:73:25","143","1","0","BIED100PROT/LLN0$Alarm","1","",""
"27","0.016564653","ipcas_21:73:25","191","1","0","BIED100MEAS/LLN0$Measurement","1","5","-4"
"78","1.069467581","ipcas_21:73:25","152","1","1","BIED100CTRL/LLN0$Status","0","1","0"
"79","1.069470798","ipcas_21:73:25","143","1","1","BIED100PROT/LLN0$Alarm","1","",""
"80","1.069471342","ipcas_21:73:25","191","1","1","BIED100MEAS/LLN0$Measurement","0","1","1"
"131","2.112212469","ipcas_21:73:25","152","1","2","BIED100CTRL/LLN0$Status","0","1","0"
"132","2.112218016","ipcas_21:73:25","143","1","2","BIED100PROT/LLN0$Alarm","1","",""
"133","2.112218804","ipcas_21:73:25","191","1","2","BIED100MEAS/LLN0$Measurement","2","0","3"
"184","3.145341602","ipcas_21:73:25","152","1","3","BIED100CTRL/LLN0$Status","0","1","0"
"185","3.145341944","ipcas_21:73:25","143","1","3","BIED100PROT/LLN0$Alarm","1","",""
"186","3.145342666","ipcas_21:73:25","191","1","3","BIED100MEAS/LLN0$Measurement","-5","-1","3"
"237","4.200783927","ipcas_21:73:25","152","1","4","BIED100CTRL/LLN0$Status","0","1","0"
"238","4.200786577","ipcas_21:73:25","143","1","4","BIED100PROT/LLN0$Alarm","1","",""
"239","4.201149004","ipcas_21:73:25","191","1","4","BIED100MEAS/LLN0$Measurement","-4","-1","-4"
"290","5.261377704","ipcas_21:73:25","152","1","5","BIED100CTRL/LLN0$Status","0","1","0"
"291","5.261380505","ipcas_21:73:25","143","1","5","BIED100PROT/LLN0$Alarm","1","",""
"292","5.261380906","ipcas_21:73:25","191","1","5","BIED100MEAS/LLN0$Measurement","0","5","3"
"343","6.329133765","ipcas_21:73:25","152","1","6","BIED100CTRL/LLN0$Status","0","1","0"
"344","6.329139367","ipcas_21:73:25","143","1","6","BIED100PROT/LLN0$Alarm","1","",""
"345","6.329140002","ipcas_21:73:25","191","1","6","BIED100MEAS/LLN0$Measurement","-5","1","0"
"396","7.378788802","ipcas_21:73:25","152","1","7","BIED100CTRL/LLN0$Status","0","1","0"
"397","7.378792223","ipcas_21:73:25","143","1","7","BIED100PROT/LLN0$Alarm","1","",""
"398","7.378969110","ipcas_21:73:25","191","1","7","BIED100MEAS/LLN0$Measurement","-1","2","-2"
"449","8.435677719","ipcas_21:73:25","152","1","8","BIED100CTRL/LLN0$Status","0","1","0"
"450","8.435681744","ipcas_21:73:25","143","1","8","BIED100PROT/LLN0$Alarm","1","",""
"451","8.435924149","ipcas_21:73:25","191","1","8","BIED100MEAS/LLN0$Measurement","-1","2","-5"
"502","9.476285558","ipcas_21:73:25","152","1","9","BIED100CTRL/LLN0$Status","0","1","0"
"503","9.476291248","ipcas_21:73:25","143","1","9","BIED100PROT/LLN0$Alarm","1","",""
"504","9.476292542","ipcas_21:73:25","191","1","9","BIED100MEAS/LLN0$Measurement","-2","2","-5"
"555","10.539577965","ipcas_21:73:25","152","1","10","BIED100CTRL/LLN0$Status","0","1","0"
"556","10.539582813","ipcas_21:73:25","143","1","10","BIED100PROT/LLN0$Alarm","1","",""
"557","10.539583486","ipcas_21:73:25","191","1","10","BIED100MEAS/LLN0$Measurement","-5","3","1"
"608","11.604387657","ipcas_21:73:25","152","1","11","BIED100CTRL/LLN0$Status","0","1","0"
"609","11.604390715","ipcas_21:73:25","143","1","11","BIED100PROT/LLN0$Alarm","1","",""
"610","11.604391580","ipcas_21:73:25","191","1","11","BIED100MEAS/LLN0$Measurement","0","-4","2"
"661","12.651323183","ipcas_21:73:25","152","1","12","BIED100CTRL/LLN0$Status","0","1","0"
"662","12.651327903","ipcas_21:73:25","143","1","12","BIED100PROT/LLN0$Alarm","1","",""
"663","12.651328533","ipcas_21:73:25","191","1","12","BIED100MEAS/LLN0$Measurement","-5","4","5"
"714","13.711335840","ipcas_21:73:25","152","1","13","BIED100CTRL/LLN0$Status","0","1","0"
"715","13.711595782","ipcas_21:73:25","143","1","13","BIED100PROT/LLN0$Alarm","1","",""
"716","13.711598121","ipcas_21:73:25","191","1","13","BIED100MEAS/LLN0$Measurement","3","-2","0"
"767","14.775643813","ipcas_21:73:25","152","1","14","BIED100CTRL/LLN0$Status","0","1","0"
"768","14.775649511","ipcas_21:73:25","143","1","14","BIED100PROT/LLN0$Alarm","1","",""
"769","14.775650155","ipcas_21:73:25","191","1","14","BIED100MEAS/LLN0$Measurement","-5","0","-1"
"820","15.827853039","ipcas_21:73:25","152","1","15","BIED100CTRL/LLN0$Status","0","1","0"
"821","15.827991990","ipcas_21:73:25","143","1","15","BIED100PROT/LLN0$Alarm","1","",""
"822","15.828009007","ipcas_21:73:25","191","1","15","BIED100MEAS/LLN0$Measurement","3","-2","1"
"873","16.867088550","ipcas_21:73:25","152","1","16","BIED100CTRL/LLN0$Status","0","1","0"
"874","16.867187763","ipcas_21:73:25","143","1","16","BIED100PROT/LLN0$Alarm","1","",""
"875","16.867377817","ipcas_21:73:25","191","1","16","BIED100MEAS/LLN0$Measurement","2","5","4"
"926","17.926428667","ipcas_21:73:25","152","1","17","BIED100CTRL/LLN0$Status","0","1","0"
"927","17.926725289","ipcas_21:73:25","143","1","17","BIED100PROT/LLN0$Alarm","1","",""
"928","17.926967092","ipcas_21:73:25","191","1","17","BIED100MEAS/LLN0$Measurement","-1","-3","-4"
"979","18.973305619","ipcas_21:73:25","152","1","18","BIED100CTRL/LLN0$Status","0","1","0"
"980","18.973419953","ipcas_21:73:25","143","1","18","BIED100PROT/LLN0$Alarm","1","",""
"981","18.973489161","ipcas_21:73:25","191","1","18","BIED100MEAS/LLN0$Measurement","5","5","4"
"1032","20.022058014","ipcas_21:73:25","152","1","19","BIED100CTRL/LLN0$Status","0","1","0"
"1033","20.022174700","ipcas_21:73:25","143","1","19","BIED100PROT/LLN0$Alarm","1","",""
"1034","20.022500867","ipcas_21:73:25","191","1","19","BIED100MEAS/LLN0$Measurement","0","-3","-2"
"1085","21.078618153","ipcas_21:73:25","152","1","20","BIED100CTRL/LLN0$Status","0","1","0"
"1086","21.078825678","ipcas_21:73:25","143","1","20","BIED100PROT/LLN0$Alarm","1","",""
"1087","21.079085175","ipcas_21:73:25","191","1","20","BIED100MEAS/LLN0$Measurement","4","-4","-5"
"1138","22.146173903","ipcas_21:73:25","152","1","21","BIED100CTRL/LLN0$Status","0","1","0"
"1139","22.146530643","ipcas_21:73:25","143","1","21","BIED100PROT/LLN0$Alarm","1","",""
"1140","22.146533089","ipcas_21:73:25","191","1","21","BIED100MEAS/LLN0$Measurement","-3","0","-4"
