"No.","Time","Source","Length","stNum","sqNum","goID","integer","integer","integer"
"49","0.989938687","ipcas_21:73:17","149","1","0","LIED43CTRL/LLN0$Status","1","1","0"
"50","0.989943511","ipcas_21:73:17","146","1","0","LIED43PROT/LLN0$Alarm","1","",""
"51","0.989943915","ipcas_21:73:17","198","1","0","LIED43MEAS/LLN0$Measurement","311","308","307"
"102","2.018416585","ipcas_21:73:17","149","1","1","LIED43CTRL/LLN0$Status","1","1","0"
"103","2.018421508","ipcas_21:73:17","146","1","1","LIED43PROT/LLN0$Alarm","1","",""
"104","2.018422326","ipcas_21:73:17","198","1","1","LIED43MEAS/LLN0$Measurement","314","311","305"
"155","3.040680036","ipcas_21:73:17","149","1","2","LIED43CTRL/LLN0$Status","1","1","0"
"156","3.040683847","ipcas_21:73:17","146","1","2","LIED43PROT/LLN0$Alarm","1","",""
"157","3.040684360","ipcas_21:73:17","198","1","2","LIED43MEAS/LLN0$Measurement","304","309","307"
"208","4.061741209","ipcas_21:73:17","149","1","3","LIED43CTRL/LLN0$Status","1","1","0"
"209","4.061745805","ipcas_21:73:17","146","1","3","LIED43PROT/LLN0$Alarm","1","",""
"210","4.061746725","ipcas_21:73:17","198","1","3","LIED43MEAS/LLN0$Measurement","306","309","306"
"261","5.094084747","ipcas_21:73:17","149","1","4","LIED43CTRL/LLN0$Status","1","1","0"
"262","5.094089681","ipcas_21:73:17","146","1","4","LIED43PROT/LLN0$Alarm","1","",""
"263","5.094090690","ipcas_21:73:17","198","1","4","LIED43MEAS/LLN0$Measurement","307","305","314"
"314","6.140724300","ipcas_21:73:17","149","1","5","LIED43CTRL/LLN0$Status","1","1","0"
"315","6.141129218","ipcas_21:73:17","146","1","5","LIED43PROT/LLN0$Alarm","1","",""
"316","6.141131978","ipcas_21:73:17","198","1","5","LIED43MEAS/LLN0$Measurement","306","313","310"
"367","7.187661298","ipcas_21:73:17","149","1","6","LIED43CTRL/LLN0$Status","1","1","0"
"368","7.187666416","ipcas_21:73:17","146","1","6","LIED43PROT/LLN0$Alarm","1","",""
"369","7.187667306","ipcas_21:73:17","198","1","6","LIED43MEAS/LLN0$Measurement","311","307","313"
"420","8.227355517","ipcas_21:73:17","149","1","7","LIED43CTRL/LLN0$Status","1","1","0"
"421","8.227355924","ipcas_21:73:17","146","1","7","LIED43PROT/LLN0$Alarm","1","",""
"422","8.227356304","ipcas_21:73:17","198","1","7","LIED43MEAS/LLN0$Measurement","312","311","311"
"473","9.264398273","ipcas_21:73:17","149","1","8","LIED43CTRL/LLN0$Status","1","1","0"
"474","9.264404923","ipcas_21:73:17","146","1","8","LIED43PROT/LLN0$Alarm","1","",""
"475","9.264405781","ipcas_21:73:17","198","1","8","LIED43MEAS/LLN0$Measurement","310","314","306"
"526","10.322771082","ipcas_21:73:17","149","1","9","LIED43CTRL/LLN0$Status","1","1","0"
"527","10.322777074","ipcas_21:73:17","146","1","9","LIED43PROT/LLN0$Alarm","1","",""
"528","10.322904075","ipcas_21:73:17","198","1","9","LIED43MEAS/LLN0$Measurement","304","313","306"
"579","11.361348672","ipcas_21:73:17","149","1","10","LIED43CTRL/LLN0$Status","1","1","0"
"580","11.361809924","ipcas_21:73:17","146","1","10","LIED43PROT/LLN0$Alarm","1","",""
"581","11.361813009","ipcas_21:73:17","198","1","10","LIED43MEAS/LLN0$Measurement","310","312","312"
"632","12.407194343","ipcas_21:73:17","149","1","11","LIED43CTRL/LLN0$Status","1","1","0"
"633","12.407198609","ipcas_21:73:17","146","1","11","LIED43PROT/LLN0$Alarm","1","",""
"634","12.407199560","ipcas_21:73:17","198","1","11","LIED43MEAS/LLN0$Measurement","305","309","308"
"685","13.459345385","ipcas_21:73:17","149","1","12","LIED43CTRL/LLN0$Status","1","1","0"
"686","13.459554588","ipcas_21:73:17","146","1","12","LIED43PROT/LLN0$Alarm","1","",""
"687","13.459557645","ipcas_21:73:17","198","1","12","LIED43MEAS/LLN0$Measurement","306","310","308"
"738","14.511026864","ipcas_21:73:17","149","1","13","LIED43CTRL/LLN0$Status","1","1","0"
"739","14.511051511","ipcas_21:73:17","146","1","13","LIED43PROT/LLN0$Alarm","1","",""
"740","14.511052037","ipcas_21:73:17","198","1","13","LIED43MEAS/LLN0$Measurement","311","304","304"
"791","15.557664717","ipcas_21:73:17","149","1","14","LIED43CTRL/LLN0$Status","1","1","0"
"792","15.557667856","ipcas_21:73:17","146","1","14","LIED43PROT/LLN0$Alarm","1","",""
"793","15.557668398","ipcas_21:73:17","198","1","14","LIED43MEAS/LLN0$Measurement","312","308","313"
"844","16.589263288","ipcas_21:73:17","149","1","15","LIED43CTRL/LLN0$Status","1","1","0"
"845","16.589269468","ipcas_21:73:17","146","1","15","LIED43PROT/LLN0$Alarm","1","",""
"846","16.589270241","ipcas_21:73:17","198","1","15","LIED43MEAS/LLN0$Measurement","304","312","305"
"897","17.628621210","ipcas_21:73:17","149","1","16","LIED43CTRL/LLN0$Status","1","1","0"
"898","17.628627762","ipcas_21:73:17","146","1","16","LIED43PROT/LLN0$Alarm","1","",""
"899","17.628628805","ipcas_21:73:17","198","1","16","LIED43MEAS/LLN0$Measurement","310","309","307"
"950","18.678827819","ipcas_21:73:17","149","1","17","LIED43CTRL/LLN0$Status","1","1","0"
"951","18.678830981","ipcas_21:73:17","146","1","17","LIED43PROT/LLN0$Alarm","1","",""
"952","18.678951533","ipcas_21:73:17","198","1","17","LIED43MEAS/LLN0$Measurement","313","311","307"
"1003","19.739689419","ipcas_21:73:17","149","1","18","LIED43CTRL/LLN0$Status","1","1","0"
"1004","19.739690003","ipcas_21:73:17","146","1","18","LIED43PROT/LLN0$Alarm","1","",""
"1005","19.739690424","ipcas_21:73:17","198","1","18","LIED43MEAS/LLN0$Measurement","306","307","307"
"1056","20.803160308","ipcas_21:73:17","149","1","19","LIED43CTRL/LLN0$Status","1","1","0"
"1057","20.803165360","ipcas_21:73:17","146","1","19","LIED43PROT/LLN0$Alarm","1","",""
"1058","20.803165949","ipcas_21:73:17","198","1","19","LIED43MEAS/LLN0$Measurement","304","312","310"
"1109","21.856832139","ipcas_21:73:17","149","1","20","LIED43CTRL/LLN0$Status","1","1","0"
"1110","21.856835321","ipcas_21:73:17","146","1","20","LIED43PROT/LLN0$Alarm","1","",""
"1111","21.856878607","ipcas_21:73:17","198","1","20","LIED43MEAS/LLN0$Measurement","308","309","306"
"1162","22.893419485","ipcas_21:73:17","149","1","21","LIED43CTRL/LLN0$Status","1","1","0"
"1163","22.893420695","ipcas_21:73:17","146","1","21","LIED43PROT/LLN0$Alarm","1","",""
"1164","22.893421637","ipcas_21:73:17","198","1","21","LIED43MEAS/LLN0$Measurement","304","312","306"
"1215","23.939590230","ipcas_21:73:17","149","1","22","LIED43CTRL/LLN0$Status","1","1","0"
"1216","23.939767750","ipcas_21:73:17","146","1","22","LIED43PROT/LLN0$Alarm","1","",""
"1217","23.939771128","ipcas_21:73:17","198","1","22","LIED43MEAS/LLN0$Measurement","307","314","309"
"1268","24.997869089","ipcas_21:73:17","149","1","23","LIED43CTRL/LLN0$Status","1","1","0"
"1269","24.997869536","ipcas_21:73:17","146","1","23","LIED43PROT/LLN0$Alarm","1","",""
"1270","24.997869921","ipcas_21:73:17","198","1","23","LIED43MEAS/LLN0$Measurement","307","308","309"
"1321","26.031570351","ipcas_21:73:17","149","1","24","LIED43CTRL/LLN0$Status","1","1","0"
"1322","26.031575083","ipcas_21:73:17","146","1","24","LIED43PROT/LLN0$Alarm","1","",""
"1323","26.031696518","ipcas_21:73:17","198","1","24","LIED43MEAS/LLN0$Measurement","309","304","313"
"1374","27.067323314","ipcas_21:73:17","149","1","25","LIED43CTRL/LLN0$Status","1","1","0"
"1375","27.067327999","ipcas_21:73:17","146","1","25","LIED43PROT/LLN0$Alarm","1","",""
"1376","27.067328671","ipcas_21:73:17","198","1","25","LIED43MEAS/LLN0$Measurement","308","308","311"
"1427","28.108075067","ipcas_21:73:17","149","1","26","LIED43CTRL/LLN0$Status","1","1","0"
"1428","28.108087906","ipcas_21:73:17","146","1","26","LIED43PROT/LLN0$Alarm","1","",""
"1429","28.108088509","ipcas_21:73:17","198","1","26","LIED43MEAS/LLN0$Measurement","310","308","314"
"1480","29.152826122","ipcas_21:73:17","149","1","27","LIED43CTRL/LLN0$Status","1","1","0"
"1481","29.152830304","ipcas_21:73:17","146","1","27","LIED43PROT/LLN0$Alarm","1","",""
"1482","29.152967081","ipcas_21:73:17","198","1","27","LIED43MEAS/LLN0$Measurement","305","306","305"
"1533","30.208552148","ipcas_21:73:17","149","1","28","LIED43CTRL/LLN0$Status","1","1","0"
"1534","30.208555544","ipcas_21:73:17","146","1","28","LIED43PROT/LLN0$Alarm","1","",""
"1535","30.209128296","ipcas_21:73:17","198","1","28","LIED43MEAS/LLN0$Measurement","309","312","310"
"1586","31.268226659","ipcas_21:73:17","149","1","29","LIED43CTRL/LLN0$Status","1","1","0"
"1587","31.268226973","ipcas_21:73:17","146","1","29","LIED43PROT/LLN0$Alarm","1","",""
"1588","31.268227387","ipcas_21:73:17","198","1","29","LIED43MEAS/LLN0$Measurement","305","306","306"
"1639","32.299566569","ipcas_21:73:17","149","1","30","LIED43CTRL/LLN0$Status","1","1","0"
"1640","32.299570316","ipcas_21:73:17","146","1","30","LIED43PROT/LLN0$Alarm","1","",""
"1641","32.299789260","ipcas_21:73:17","198","1","30","LIED43MEAS/LLN0$Measurement","311","309","304"
"1692","33.341858253","ipcas_21:73:17","149","1","31","LIED43CTRL/LLN0$Status","1","1","0"
"1693","33.341863898","ipcas_21:73:17","146","1","31","LIED43PROT/LLN0$Alarm","1","",""
"1694","33.341864818","ipcas_21:73:17","198","1","31","LIED43MEAS/LLN0$Measurement","307","305","305"
"1745","34.390514758","ipcas_21:73:17","149","1","32","LIED43CTRL/LLN0$Status","1","1","0"
"1746","34.390905189","ipcas_21:73:17","146","1","32","LIED43PROT/LLN0$Alarm","1","",""
"1747","34.390907571","ipcas_21:73:17","198","1","32","LIED43MEAS/LLN0$Measurement","313","305","306"
"1798","35.445648134","ipcas_21:73:17","149","1","33","LIED43CTRL/LLN0$Status","1","1","0"
"1799","35.446077150","ipcas_21:73:17","146","1","33","LIED43PROT/LLN0$Alarm","1","",""
"1800","35.446079991","ipcas_21:73:17","198","1","33","LIED43MEAS/LLN0$Measurement","312","309","304"
"1851","36.503448462","ipcas_21:73:17","149","1","34","LIED43CTRL/LLN0$Status","1","1","0"
"1852","36.503972334","ipcas_21:73:17","146","1","34","LIED43PROT/LLN0$Alarm","1","",""
"1853","36.503975179","ipcas_21:73:17","198","1","34","LIED43MEAS/LLN0$Measurement","306","310","310"
"1904","37.565945529","ipcas_21:73:17","149","1","35","LIED43CTRL/LLN0$Status","1","1","0"
"1905","37.565950839","ipcas_21:73:17","146","1","35","LIED43PROT/LLN0$Alarm","1","",""
"1906","37.565951385","ipcas_21:73:17","198","1","35","LIED43MEAS/LLN0$Measurement","313","305","314"
"1957","38.600030305","ipcas_21:73:17","149","1","36","LIED43CTRL/LLN0$Status","1","1","0"
"1958","38.600032115","ipcas_21:73:17","146","1","36","LIED43PROT/LLN0$Alarm","1","",""
"1959","38.600032495","ipcas_21:73:17","198","1","36","LIED43MEAS/LLN0$Measurement","312","310","305"
"2010","39.627174414","ipcas_21:73:17","149","1","37","LIED43CTRL/LLN0$Status","1","1","0"
"2011","39.627181631","ipcas_21:73:17","146","1","37","LIED43PROT/LLN0$Alarm","1","",""
"2012","39.627182067","ipcas_21:73:17","198","1","37","LIED43MEAS/LLN0$Measurement","310","307","306"
"2063","40.675601858","ipcas_21:73:17","149","1","38","LIED43CTRL/LLN0$Status","1","1","0"
