"No.","Time","Source","Length","stNum","sqNum","goID","integer","integer","integer"
"22","0.013931937","ipcas_21:73:26","149","1","0","TIED23CTRL/LLN0$Status","1","1","0"
"23","0.016553588","ipcas_21:73:26","149","1","0","TIED23PROT/LLN0$Alarm","1","",""
"24","0.016562064","ipcas_21:73:26","206","1","0","TIED23MEAS/LLN0$Measurement","154","158","151"
"75","1.068356280","ipcas_21:73:26","149","1","1","TIED23CTRL/LLN0$Status","1","1","0"
"76","1.068360824","ipcas_21:73:26","149","1","1","TIED23PROT/LLN0$Alarm","1","",""
"77","1.068361122","ipcas_21:73:26","206","1","1","TIED23MEAS/LLN0$Measurement","159","158","152"
"128","2.110410615","ipcas_21:73:26","149","1","2","TIED23CTRL/LLN0$Status","1","1","0"
"129","2.110416046","ipcas_21:73:26","149","1","2","TIED23PROT/LLN0$Alarm","1","",""
"130","2.110416685","ipcas_21:73:26","206","1","2","TIED23MEAS/LLN0$Measurement","158","153","149"
"181","3.145339278","ipcas_21:73:26","149","1","3","TIED23CTRL/LLN0$Status","1","1","0"
"182","3.145339908","ipcas_21:73:26","149","1","3","TIED23PROT/LLN0$Alarm","1","",""
"183","3.145340531","ipcas_21:73:26","206","1","3","TIED23MEAS/LLN0$Measurement","158","150","155"
"234","4.197536214","ipcas_21:73:26","149","1","4","TIED23CTRL/LLN0$Status","1","1","0"
"235","4.197798116","ipcas_21:73:26","149","1","4","TIED23PROT/LLN0$Alarm","1","",""
"236","4.197801229","ipcas_21:73:26","206","1","4","TIED23MEAS/LLN0$Measurement","153","152","158"
"287","5.258479442","ipcas_21:73:26","149","1","5","TIED23CTRL/LLN0$Status","1","1","0"
"288","5.258482063","ipcas_21:73:26","149","1","5","TIED23PROT/LLN0$Alarm","1","",""
"289","5.258482588","ipcas_21:73:26","206","1","5","TIED23MEAS/LLN0$Measurement","153","152","159"
"340","6.325513022","ipcas_21:73:26","149","1","6","TIED23CTRL/LLN0$Status","1","1","0"
"341","6.326050659","ipcas_21:73:26","149","1","6","TIED23PROT/LLN0$Alarm","1","",""
"342","6.326053393","ipcas_21:73:26","206","1","6","TIED23MEAS/LLN0$Measurement","152","149","156"
"393","7.376197964","ipcas_21:73:26","149","1","7","TIED23CTRL/LLN0$Status","1","1","0"
"394","7.376202801","ipcas_21:73:26","149","1","7","TIED23PROT/LLN0$Alarm","1","",""
"395","7.376358158","ipcas_21:73:26","206","1","7","TIED23MEAS/LLN0$Measurement","158","153","154"
"446","8.431752440","ipcas_21:73:26","149","1","8","TIED23CTRL/LLN0$Status","1","1","0"
"447","8.432185346","ipcas_21:73:26","149","1","8","TIED23PROT/LLN0$Alarm","1","",""
"448","8.432295319","ipcas_21:73:26","206","1","8","TIED23MEAS/LLN0$Measurement","149","155","152"
"499","9.472489983","ipcas_21:73:26","149","1","9","TIED23CTRL/LLN0$Status","1","1","0"
