Source,Length,stNum,sqNum,goID,heartbeat,dif_stNum,dif_sqNum,Circuit breaker Open/Close Status,I-high VT,I-high VT- Tran,I-low VT- Tran,I-amongst-feeders,Label
ipcas_21:73:32,147,1,237,LIED11PROT/LLN0$Alarm,1.0318210110000052,0,1,1,310.1666666666667,259.1111111111111,926.3333333333334,305.0,0
ipcas_21:73:31,150,1,285,LIED12CTRL/LLN0$Status,1.0459307959999933,0,1,1,310.6666666666667,257.3888888888889,926.0,306.0,0
ipcas_21:73:27,207,1,240,TIED13MEAS/LLN0$Measurement,1.0564516340000123,0,1,1,309.0,256.1111111111111,931.0,308.5,0
ipcas_21:73:29,147,1,253,LIED21PROT/LLN0$Alarm,1.050619177000044,0,1,1,310.6666666666667,258.0,922.3333333333334,308.1666666666667,0
ipcas_21:73:33,147,1,388,LIED10PROT/LLN0$Alarm,1.0376838829999997,0,1,1,311.0,257.3333333333333,927.3333333333334,305.6666666666667,0
ipcas_21:73:27,150,1,572,TIED13PROT/LLN0$Alarm,1.043034724999984,0,1,1,310.8333333333333,256.3888888888889,924.3333333333334,311.1666666666667,0
ipcas_21:73:20,149,1,55,LIED33CTRL/LLN0$Status,1.0315028360000014,0,1,1,309.0,259.0555555555556,923.6666666666666,307.8333333333333,0
ipcas_21:73:32,150,1,142,LIED11CTRL/LLN0$Status,1.0477189470000212,0,1,1,311.1666666666667,257.5,923.3333333333334,306.3333333333333,0
ipcas_21:73:27,150,1,445,TIED13PROT/LLN0$Alarm,1.4458891410000092,0,1,1,310.5,257.5,925.3333333333334,308.1666666666667,0
ipcas_21:73:23,149,1,98,LIED40CTRL/LLN0$Status,1.045267285999998,0,1,1,309.6666666666667,257.8333333333333,930.3333333333334,308.1666666666667,0
ipcas_21:73:24,147,1,312,LIED30PROT/LLN0$Alarm,1.0766859710000176,0,1,1,308.6666666666667,257.8888888888889,916.0,308.3333333333333,0
ipcas_21:73:32,203,1,122,LIED11MEAS/LLN0$Measurement,1.0609196910000094,0,1,1,311.1666666666667,259.27777777777777,919.0,310.6666666666667,0
ipcas_21:73:19,147,1,517,LIED41PROT/LLN0$Alarm,1.049402758000042,0,1,1,308.0,259.1111111111111,929.6666666666666,309.5,0
ipcas_21:73:19,192,1,29,LIED41MEAS/LLN0$Measurement,1.067846994,0,1,1,309.5,257.4444444444445,928.6666666666666,307.8333333333333,0
ipcas_21:73:23,150,1,431,LIED40CTRL/LLN0$Status,1.0442726720000337,0,1,1,311.5,258.27777777777777,924.0,309.3333333333333,0
ipcas_21:73:18,199,1,598,LIED42MEAS/LLN0$Measurement,1.0499270740000384,0,1,1,313.0,258.27777777777777,922.3333333333334,306.8333333333333,0
ipcas_21:73:30,146,1,11,LIED20PROT/LLN0$Alarm,1.057560561999999,0,1,1,349.6666666666667,291.8888888888889,992.0,328.0,1
ipcas_21:73:25,192,1,353,BIED100MEAS/LLN0$Measurement,1.069785722000006,0,1,0,310.3333333333333,258.6111111111111,916.3333333333334,305.1666666666667,0
ipcas_21:73:30,150,1,492,LIED20CTRL/LLN0$Status,1.0192939479999268,0,1,1,310.3333333333333,257.16666666666663,921.6666666666666,305.1666666666667,0
ipcas_21:73:23,150,1,389,LIED40CTRL/LLN0$Status,1.035470929999974,0,1,1,308.6666666666667,257.55555555555554,930.6666666666666,308.0,0
ipcas_21:73:28,204,1,553,LIED22MEAS/LLN0$Measurement,1.340799680000032,0,1,1,309.8333333333333,258.9444444444444,923.3333333333334,309.1666666666667,0
ipcas_21:73:17,199,1,444,LIED43MEAS/LLN0$Measurement,1.0374096709999776,0,1,1,312.8333333333333,257.77777777777777,923.6666666666666,309.8333333333333,0
ipcas_21:73:24,200,1,123,LIED30MEAS/LLN0$Measurement,1.0412460600000202,0,1,1,309.3333333333333,259.27777777777777,926.3333333333334,307.0,0
ipcas_21:73:16,132,1,466,UFIEDPROT/LLN0$Alarm,1.0484098629999608,0,1,0,309.0,257.8333333333333,917.6666666666666,309.6666666666667,0
ipcas_21:73:23,150,1,145,LIED40CTRL/LLN0$Status,1.0504999590000068,0,1,1,309.0,257.6666666666667,923.6666666666666,308.5,0
ipcas_21:73:21,147,1,136,LIED32PROT/LLN0$Alarm,1.0478759030000049,0,1,1,312.1666666666667,258.9444444444445,926.0,306.3333333333333,0
ipcas_21:73:17,150,1,529,LIED43CTRL/LLN0$Status,1.0425791500000514,0,1,1,312.3333333333333,257.22222222222223,921.6666666666666,309.6666666666667,0
ipcas_21:73:25,192,1,298,BIED100MEAS/LLN0$Measurement,1.0462004290000095,0,1,0,308.1666666666667,259.0,915.6666666666666,307.3333333333333,0
ipcas_21:73:18,147,1,243,LIED42PROT/LLN0$Alarm,1.060552505000004,0,1,1,308.0,257.4444444444444,931.3333333333334,308.8333333333333,0
ipcas_21:73:25,144,1,472,BIED100PROT/LLN0$Alarm,1.02270288699998,0,1,0,310.0,258.3888888888889,926.0,308.8333333333333,0
ipcas_21:73:25,192,1,147,BIED100MEAS/LLN0$Measurement,1.029547665000024,0,1,0,310.3333333333333,258.4444444444444,924.0,305.6666666666667,0
ipcas_21:73:29,203,1,25,LIED21MEAS/LLN0$Measurement,1.0400810010000008,0,1,1,310.6666666666667,258.5555555555555,925.0,306.6666666666667,0
ipcas_21:73:25,144,1,347,BIED100PROT/LLN0$Alarm,1.053548798999998,0,1,0,309.6666666666667,257.6111111111111,928.6666666666666,309.3333333333333,0
ipcas_21:73:18,150,1,398,LIED42CTRL/LLN0$Status,1.0689136909999777,0,1,1,311.3333333333333,258.44444444444446,924.3333333333334,308.8333333333333,0
ipcas_21:73:23,146,1,2,LIED40PROT/LLN0$Alarm,1.02677944,0,1,1,308.0,257.8888888888889,926.0,307.6666666666667,0
ipcas_21:73:23,147,1,252,LIED40PROT/LLN0$Alarm,1.0529073269999571,0,1,1,310.6666666666667,258.22222222222223,924.0,304.3333333333333,0
ipcas_21:73:29,147,1,588,LIED21PROT/LLN0$Alarm,1.01947690399993,0,1,1,310.3333333333333,258.0555555555555,920.3333333333334,308.1666666666667,0
ipcas_21:73:25,153,1,370,BIED100CTRL/LLN0$Status,1.0665152189999958,0,1,0,310.6666666666667,257.9444444444444,927.6666666666666,309.0,0
ipcas_21:73:29,204,1,295,LIED21MEAS/LLN0$Measurement,1.0484022610000352,0,1,1,309.8333333333333,258.3333333333333,927.6666666666666,309.8333333333333,0
ipcas_21:73:28,147,1,313,LIED22PROT/LLN0$Alarm,1.0410918259999562,0,1,1,309.6666666666667,258.1111111111111,931.6666666666666,308.8333333333333,0
ipcas_21:73:22,147,1,365,LIED31PROT/LLN0$Alarm,1.1001835060000076,0,1,1,310.3333333333333,255.38888888888889,928.6666666666666,305.0,0
ipcas_21:73:19,147,1,483,LIED41PROT/LLN0$Alarm,1.0335250630000132,0,1,1,309.8333333333333,258.6111111111111,925.6666666666666,310.0,0
ipcas_21:73:32,203,1,27,LIED11MEAS/LLN0$Measurement,1.0534423169999982,0,1,1,308.5,258.9444444444445,922.6666666666666,306.3333333333333,0
ipcas_21:73:27,149,1,63,TIED13CTRL/LLN0$Status,1.0718929259999896,0,1,1,311.0,258.0555555555555,922.6666666666666,308.5,0
ipcas_21:73:28,204,1,441,LIED22MEAS/LLN0$Measurement,1.0590235070000062,0,1,1,310.1666666666667,256.77777777777777,925.3333333333334,308.1666666666667,0
ipcas_21:73:28,146,1,13,LIED22PROT/LLN0$Alarm,1.061110042000001,0,1,1,310.5,258.5,917.3333333333334,307.3333333333333,0
ipcas_21:73:27,150,1,450,TIED13PROT/LLN0$Alarm,1.0310237630000074,0,1,1,310.1666666666667,258.1666666666667,932.3333333333334,308.3333333333333,0
ipcas_21:73:26,150,1,596,TIED23PROT/LLN0$Alarm,1.3526289159999578,0,1,1,309.0,257.77777777777777,923.6666666666666,309.3333333333333,0
ipcas_21:73:16,167,1,202,UFIEDMEAS/LLN0$Measurement,1.0563859869999987,0,1,0,309.3333333333333,258.4444444444444,921.6666666666666,306.1666666666667,0
