Source,Length,stNum,sqNum,goID,heartbeat,dif_stNum,dif_sqNum,Circuit breaker Open/Close Status,I-high VT,I-high VT- Tran,I-low VT- Tran,I-amongst-feeders,Label
ipcas_21:73:27,150,1,400,TIED13PROT/LLN0$Alarm,1.1034119720000035,0.0,1.0,1,308.8333333333333,260.0,920.6666666666666,306.8333333333333,0
ipcas_21:73:22,199,1,391,LIED31MEAS/LLN0$Measurement,1.0812230689999751,0.0,1.0,1,311.0,258.72222222222223,920.6666666666666,309.6666666666667,0
ipcas_21:73:25,144,1,353,BIED100PROT/LLN0$Alarm,1.0697858540000311,0.0,1.0,0,310.3333333333333,258.6111111111111,916.3333333333334,305.1666666666667,0
ipcas_21:73:17,147,1,472,LIED43PROT/LLN0$Alarm,1.0418356289999906,0.0,1.0,1,310.0,258.3888888888889,926.0,308.8333333333333,0
ipcas_21:73:27,207,1,134,TIED13MEAS/LLN0$Measurement,1.0298459640000033,0.0,1.0,1,311.0,257.9444444444445,925.3333333333334,306.3333333333333,0
ipcas_21:73:23,150,1,248,LIED40CTRL/LLN0$Status,1.05072947299999,0.0,1.0,1,310.5,257.5555555555555,929.0,307.3333333333333,0
ipcas_21:73:22,146,1,58,LIED31PROT/LLN0$Alarm,1.073987576999997,0.0,1.0,1,309.6666666666667,258.44444444444446,918.6666666666666,307.0,0
ipcas_21:73:27,207,1,318,TIED13MEAS/LLN0$Measurement,1.0301119150000204,0.0,1.0,1,309.6666666666667,257.6666666666667,921.0,309.6666666666667,0
ipcas_21:73:25,192,1,452,BIED100MEAS/LLN0$Measurement,1.0536563169999908,0.0,1.0,0,309.6666666666667,258.1666666666667,917.0,307.1666666666667,0
ipcas_21:73:29,203,1,7,LIED21MEAS/LLN0$Measurement,1.0599977479999998,0.0,1.0,1,310.5,258.4444444444444,921.6666666666666,311.8333333333333,0
ipcas_21:73:25,153,1,278,BIED100CTRL/LLN0$Status,1.0396996519999675,0.0,1.0,0,309.5,258.3888888888889,918.3333333333334,308.5,0
ipcas_21:73:28,150,1,441,LIED22CTRL/LLN0$Status,1.059026642000049,0.0,1.0,1,310.1666666666667,256.77777777777777,925.3333333333334,308.1666666666667,0
ipcas_21:73:22,150,1,420,LIED31CTRL/LLN0$Status,1.016675810000038,0.0,1.0,1,311.5,258.9444444444445,918.6666666666666,307.8333333333333,0
ipcas_21:73:28,204,1,213,LIED22MEAS/LLN0$Measurement,1.0441442629999926,0.0,1.0,1,308.8333333333333,257.77777777777777,924.0,307.0,0
ipcas_21:73:24,201,1,454,LIED30MEAS/LLN0$Measurement,1.0560552209999514,0.0,1.0,1,311.3333333333333,258.27777777777777,921.6666666666666,307.6666666666667,0
ipcas_21:73:22,150,1,390,LIED31CTRL/LLN0$Status,1.0608386179999911,0.0,1.0,1,311.0,257.9444444444444,927.6666666666666,307.8333333333333,0
ipcas_21:73:16,132,1,320,UFIEDPROT/LLN0$Alarm,1.051402745999951,0.0,1.0,0,311.8333333333333,258.27777777777777,926.6666666666666,308.0,0
ipcas_21:73:28,204,1,173,LIED22MEAS/LLN0$Measurement,1.0601689449999867,0.0,1.0,1,311.5,257.5555555555555,920.3333333333334,310.0,0
ipcas_21:73:30,146,1,52,LIED20PROT/LLN0$Alarm,1.054538125999997,0.0,1.0,1,310.8333333333333,257.9444444444444,922.0,308.6666666666667,0
ipcas_21:73:22,198,1,37,LIED31MEAS/LLN0$Measurement,1.001334842999995,0.0,1.0,1,310.1666666666667,258.11111111111114,920.6666666666666,309.5,0
ipcas_21:73:29,150,1,518,LIED21CTRL/LLN0$Status,1.0408478540000488,0.0,1.0,1,309.3333333333333,258.27777777777777,922.3333333333334,306.6666666666667,0
ipcas_21:73:23,201,1,470,LIED40MEAS/LLN0$Measurement,1.0306174599999736,0.0,1.0,1,309.0,259.2777777777778,923.6666666666666,307.5,0
ipcas_21:73:25,192,1,448,BIED100MEAS/LLN0$Measurement,1.0301082549999592,0.0,1.0,0,312.0,258.3333333333333,925.0,310.3333333333333,0
ipcas_21:73:24,147,1,469,LIED30PROT/LLN0$Alarm,1.0371017809999898,0.0,1.0,1,309.3333333333333,258.5,927.0,307.8333333333333,0
ipcas_21:73:28,150,1,548,LIED22CTRL/LLN0$Status,1.0277919670000983,0.0,1.0,1,312.3333333333333,257.1666666666667,927.3333333333334,310.1666666666667,0
ipcas_21:73:31,204,1,201,LIED12MEAS/LLN0$Measurement,1.0702042000000065,0.0,1.0,1,309.3333333333333,257.22222222222223,920.6666666666666,309.0,0
ipcas_21:73:20,147,1,515,LIED33PROT/LLN0$Alarm,1.0467526950000092,0.0,1.0,1,307.0,258.4444444444445,922.0,308.3333333333333,0
ipcas_21:73:21,198,1,58,LIED32MEAS/LLN0$Measurement,1.074667067,0.0,1.0,1,309.6666666666667,258.44444444444446,918.6666666666666,307.0,0
ipcas_21:73:19,146,1,116,LIED41PROT/LLN0$Alarm,1.0577841109999897,0.0,1.0,1,309.6666666666667,258.0555555555556,922.3333333333334,311.6666666666667,0
ipcas_21:73:25,152,1,90,BIED100CTRL/LLN0$Status,1.0708865229999986,0.0,1.0,0,308.5,258.1111111111111,925.6666666666666,307.5,0
ipcas_21:73:22,199,1,145,LIED31MEAS/LLN0$Measurement,1.0508510220000176,0.0,1.0,1,309.0,257.6666666666667,923.6666666666666,308.5,0
ipcas_21:73:25,153,1,143,BIED100CTRL/LLN0$Status,1.0662912549999817,0.0,1.0,0,310.8333333333333,257.49999999999994,921.6666666666666,305.6666666666667,0
ipcas_21:73:16,132,1,438,UFIEDPROT/LLN0$Alarm,1.029650606999951,0.0,1.0,0,310.3333333333333,259.0,925.0,308.6666666666667,0
ipcas_21:73:19,146,1,18,LIED41PROT/LLN0$Alarm,1.0498561139999971,0.0,1.0,1,308.1666666666667,258.5,924.6666666666666,306.8333333333333,0
